[20:31:58] Fetching Queue items from Zotero...
[20:34:25]   Queue size: 3864
[06:53:44]   [1050/3864] discard=418 maybe=389 keep=243 err=3 rate=0.03/s eta=1660min
[06:59:44]   [1060/3864] discard=422 maybe=395 keep=243 err=3 rate=0.03/s eta=1654min
[07:05:34]   [1070/3864] discard=424 maybe=402 keep=244 err=3 rate=0.03/s eta=1648min
[07:11:27]   [1080/3864] discard=426 maybe=407 keep=247 err=3 rate=0.03/s eta=1642min
[07:17:14]   [1090/3864] discard=429 maybe=414 keep=247 err=3 rate=0.03/s eta=1636min
[07:23:21]   [1100/3864] discard=433 maybe=417 keep=250 err=3 rate=0.03/s eta=1631min
[07:29:08]   [1110/3864] discard=434 maybe=420 keep=256 err=3 rate=0.03/s eta=1624min
[07:34:52]   [1120/3864] discard=435 maybe=425 keep=260 err=3 rate=0.03/s eta=1618min
[07:40:43]   [1130/3864] discard=439 maybe=429 keep=262 err=3 rate=0.03/s eta=1612min
[07:46:31]   [1140/3864] discard=441 maybe=437 keep=262 err=3 rate=0.03/s eta=1606min
[07:52:33]   [1150/3864] discard=445 maybe=442 keep=263 err=3 rate=0.03/s eta=1600min
[07:58:32]   [1160/3864] discard=448 maybe=446 keep=266 err=3 rate=0.03/s eta=1595min
[08:04:29]   [1170/3864] discard=452 maybe=450 keep=268 err=3 rate=0.03/s eta=1589min
[08:10:36]   [1180/3864] discard=454 maybe=456 keep=270 err=3 rate=0.03/s eta=1584min
[08:16:29]   [1190/3864] discard=455 maybe=460 keep=275 err=3 rate=0.03/s eta=1578min
[08:22:14]   [1200/3864] discard=455 maybe=463 keep=282 err=3 rate=0.03/s eta=1571min
[08:28:04]   [1210/3864] discard=455 maybe=463 keep=292 err=3 rate=0.03/s eta=1565min
[08:33:52]   [1220/3864] discard=456 maybe=467 keep=297 err=3 rate=0.03/s eta=1559min
[08:39:44]   [1230/3864] discard=456 maybe=472 keep=302 err=3 rate=0.03/s eta=1553min
[08:45:33]   [1240/3864] discard=456 maybe=475 keep=309 err=3 rate=0.03/s eta=1547min
[08:51:24]   [1250/3864] discard=456 maybe=478 keep=316 err=3 rate=0.03/s eta=1541min
[08:57:10]   [1260/3864] discard=456 maybe=481 keep=323 err=3 rate=0.03/s eta=1535min
[09:03:00]   [1270/3864] discard=456 maybe=482 keep=332 err=3 rate=0.03/s eta=1529min
[09:08:46]   [1280/3864] discard=456 maybe=484 keep=340 err=3 rate=0.03/s eta=1523min
[09:14:38]   [1290/3864] discard=456 maybe=489 keep=345 err=3 rate=0.03/s eta=1517min
[09:20:23]   [1300/3864] discard=457 maybe=491 keep=352 err=3 rate=0.03/s eta=1511min
[09:26:18]   [1310/3864] discard=458 maybe=494 keep=358 err=3 rate=0.03/s eta=1505min
[09:32:08]   [1320/3864] discard=458 maybe=495 keep=367 err=3 rate=0.03/s eta=1499min
[09:37:57]   [1330/3864] discard=458 maybe=500 keep=372 err=3 rate=0.03/s eta=1493min
[09:43:46]   [1340/3864] discard=458 maybe=504 keep=378 err=3 rate=0.03/s eta=1487min
[09:49:39]   [1350/3864] discard=458 maybe=508 keep=384 err=3 rate=0.03/s eta=1481min
[09:55:25]   [1360/3864] discard=459 maybe=511 keep=390 err=3 rate=0.03/s eta=1475min
[10:01:17]   [1370/3864] discard=460 maybe=513 keep=397 err=3 rate=0.03/s eta=1469min
[10:07:03]   [1380/3864] discard=461 maybe=517 keep=402 err=3 rate=0.03/s eta=1463min
[10:12:48]   [1390/3864] discard=461 maybe=520 keep=409 err=3 rate=0.03/s eta=1457min
[10:18:33]   [1400/3864] discard=461 maybe=523 keep=416 err=3 rate=0.03/s eta=1450min
[10:24:20]   [1410/3864] discard=461 maybe=527 keep=422 err=3 rate=0.03/s eta=1444min
[10:30:07]   [1420/3864] discard=461 maybe=531 keep=428 err=3 rate=0.03/s eta=1438min
[10:35:52]   [1430/3864] discard=461 maybe=538 keep=431 err=3 rate=0.03/s eta=1432min
[10:41:35]   [1440/3864] discard=462 maybe=541 keep=437 err=3 rate=0.03/s eta=1426min
[10:47:23]   [1450/3864] discard=462 maybe=546 keep=442 err=3 rate=0.03/s eta=1420min
[10:53:09]   [1460/3864] discard=462 maybe=546 keep=452 err=3 rate=0.03/s eta=1414min
[10:58:56]   [1470/3864] discard=462 maybe=552 keep=456 err=3 rate=0.03/s eta=1408min
[11:04:44]   [1480/3864] discard=463 maybe=553 keep=464 err=3 rate=0.03/s eta=1402min
[11:10:28]   [1490/3864] discard=463 maybe=554 keep=473 err=3 rate=0.03/s eta=1396min
[11:16:15]   [1500/3864] discard=463 maybe=557 keep=480 err=3 rate=0.03/s eta=1390min
[11:22:04]   [1510/3864] discard=463 maybe=561 keep=486 err=3 rate=0.03/s eta=1384min
[11:27:54]   [1520/3864] discard=463 maybe=565 keep=492 err=3 rate=0.03/s eta=1378min
[11:33:41]   [1530/3864] discard=464 maybe=571 keep=495 err=3 rate=0.03/s eta=1372min
[11:39:30]   [1540/3864] discard=465 maybe=576 keep=499 err=3 rate=0.03/s eta=1366min
[11:45:17]   [1550/3864] discard=466 maybe=579 keep=505 err=3 rate=0.03/s eta=1360min
[11:51:10]   [1560/3864] discard=466 maybe=584 keep=510 err=3 rate=0.03/s eta=1354min
[11:57:00]   [1570/3864] discard=467 maybe=587 keep=516 err=3 rate=0.03/s eta=1348min
[12:02:56]   [1580/3864] discard=467 maybe=593 keep=520 err=3 rate=0.03/s eta=1342min
[12:08:52]   [1590/3864] discard=467 maybe=598 keep=525 err=3 rate=0.03/s eta=1336min
[12:14:44]   [1600/3864] discard=467 maybe=603 keep=530 err=3 rate=0.03/s eta=1331min
[12:20:35]   [1610/3864] discard=467 maybe=606 keep=537 err=3 rate=0.03/s eta=1325min
[12:26:28]   [1620/3864] discard=467 maybe=608 keep=545 err=3 rate=0.03/s eta=1319min
[12:32:16]   [1630/3864] discard=468 maybe=614 keep=548 err=3 rate=0.03/s eta=1313min
[12:38:05]   [1640/3864] discard=469 maybe=618 keep=553 err=3 rate=0.03/s eta=1307min
[12:43:53]   [1650/3864] discard=469 maybe=621 keep=560 err=3 rate=0.03/s eta=1301min
[12:49:44]   [1660/3864] discard=469 maybe=625 keep=566 err=3 rate=0.03/s eta=1295min
[12:55:29]   [1670/3864] discard=470 maybe=626 keep=574 err=3 rate=0.03/s eta=1289min
[13:01:18]   [1680/3864] discard=470 maybe=631 keep=579 err=3 rate=0.03/s eta=1283min
[13:07:13]   [1690/3864] discard=470 maybe=636 keep=584 err=3 rate=0.03/s eta=1277min
[13:13:00]   [1700/3864] discard=471 maybe=639 keep=590 err=3 rate=0.03/s eta=1271min
[13:18:52]   [1710/3864] discard=471 maybe=642 keep=597 err=3 rate=0.03/s eta=1265min
[13:24:41]   [1720/3864] discard=471 maybe=646 keep=603 err=3 rate=0.03/s eta=1259min
[13:30:29]   [1730/3864] discard=471 maybe=649 keep=610 err=3 rate=0.03/s eta=1253min
[13:36:22]   [1740/3864] discard=471 maybe=654 keep=615 err=3 rate=0.03/s eta=1247min
[13:42:16]   [1750/3864] discard=471 maybe=655 keep=624 err=3 rate=0.03/s eta=1242min
[13:48:05]   [1760/3864] discard=471 maybe=659 keep=630 err=3 rate=0.03/s eta=1236min
[13:53:55]   [1770/3864] discard=471 maybe=659 keep=640 err=3 rate=0.03/s eta=1230min
[13:59:47]   [1780/3864] discard=472 maybe=660 keep=648 err=3 rate=0.03/s eta=1224min
[14:05:38]   [1790/3864] discard=473 maybe=663 keep=654 err=3 rate=0.03/s eta=1218min
[14:11:30]   [1800/3864] discard=474 maybe=667 keep=659 err=3 rate=0.03/s eta=1212min
[14:17:23]   [1810/3864] discard=475 maybe=670 keep=665 err=3 rate=0.03/s eta=1206min
[14:23:20]   [1820/3864] discard=476 maybe=673 keep=671 err=3 rate=0.03/s eta=1200min
[14:29:09]   [1830/3864] discard=476 maybe=673 keep=681 err=3 rate=0.03/s eta=1195min
[14:35:01]   [1840/3864] discard=476 maybe=680 keep=684 err=3 rate=0.03/s eta=1189min
[14:40:50]   [1850/3864] discard=476 maybe=684 keep=690 err=3 rate=0.03/s eta=1183min
[14:46:41]   [1860/3864] discard=477 maybe=687 keep=696 err=3 rate=0.03/s eta=1177min
[14:52:31]   [1870/3864] discard=478 maybe=688 keep=704 err=3 rate=0.03/s eta=1171min
[14:58:25]   [1880/3864] discard=478 maybe=694 keep=708 err=3 rate=0.03/s eta=1165min
[15:04:23]   [1890/3864] discard=479 maybe=698 keep=713 err=3 rate=0.03/s eta=1159min
[15:10:16]   [1900/3864] discard=479 maybe=702 keep=719 err=3 rate=0.03/s eta=1153min
[15:16:07]   [1910/3864] discard=480 maybe=705 keep=725 err=3 rate=0.03/s eta=1148min
[15:22:00]   [1920/3864] discard=480 maybe=707 keep=733 err=3 rate=0.03/s eta=1142min
[15:28:01]   [1930/3864] discard=480 maybe=711 keep=739 err=3 rate=0.03/s eta=1136min
[15:34:01]   [1940/3864] discard=481 maybe=714 keep=745 err=3 rate=0.03/s eta=1130min
[15:39:49]   [1950/3864] discard=482 maybe=720 keep=748 err=3 rate=0.03/s eta=1124min
[15:45:44]   [1960/3864] discard=483 maybe=727 keep=750 err=3 rate=0.03/s eta=1118min
[15:51:41]   [1970/3864] discard=483 maybe=734 keep=753 err=3 rate=0.03/s eta=1113min
[15:57:37]   [1980/3864] discard=486 maybe=739 keep=755 err=3 rate=0.03/s eta=1107min
[16:03:32]   [1990/3864] discard=487 maybe=743 keep=760 err=3 rate=0.03/s eta=1101min
[16:09:23]   [2000/3864] discard=487 maybe=751 keep=762 err=3 rate=0.03/s eta=1095min
[16:15:22]   [2010/3864] discard=489 maybe=757 keep=764 err=3 rate=0.03/s eta=1089min
[16:21:10]   [2020/3864] discard=490 maybe=761 keep=769 err=3 rate=0.03/s eta=1083min
[16:27:10]   [2030/3864] discard=491 maybe=768 keep=771 err=3 rate=0.03/s eta=1078min
[16:33:00]   [2040/3864] discard=495 maybe=774 keep=771 err=3 rate=0.03/s eta=1072min
[16:38:50]   [2050/3864] discard=498 maybe=781 keep=771 err=3 rate=0.03/s eta=1066min
[16:44:39]   [2060/3864] discard=500 maybe=785 keep=775 err=3 rate=0.03/s eta=1060min
[16:50:32]   [2070/3864] discard=501 maybe=793 keep=776 err=3 rate=0.03/s eta=1054min
[16:56:23]   [2080/3864] discard=506 maybe=797 keep=777 err=3 rate=0.03/s eta=1048min
[17:02:13]   [2090/3864] discard=509 maybe=799 keep=782 err=3 rate=0.03/s eta=1042min
[17:08:03]   [2100/3864] discard=510 maybe=803 keep=787 err=3 rate=0.03/s eta=1036min
[17:13:55]   [2110/3864] discard=513 maybe=806 keep=791 err=3 rate=0.03/s eta=1030min
[17:19:41]   [2120/3864] discard=513 maybe=809 keep=798 err=3 rate=0.03/s eta=1024min
[17:25:30]   [2130/3864] discard=513 maybe=817 keep=800 err=3 rate=0.03/s eta=1018min
[17:31:23]   [2140/3864] discard=513 maybe=824 keep=803 err=3 rate=0.03/s eta=1013min
[17:37:11]   [2150/3864] discard=517 maybe=828 keep=805 err=3 rate=0.03/s eta=1007min
[17:43:02]   [2160/3864] discard=520 maybe=834 keep=806 err=3 rate=0.03/s eta=1001min
[17:48:50]   [2170/3864] discard=523 maybe=838 keep=809 err=3 rate=0.03/s eta=995min
[17:54:40]   [2180/3864] discard=525 maybe=844 keep=811 err=3 rate=0.03/s eta=989min
[18:00:35]   [2190/3864] discard=528 maybe=846 keep=816 err=3 rate=0.03/s eta=983min
[18:06:31]   [2200/3864] discard=529 maybe=850 keep=821 err=3 rate=0.03/s eta=977min
[18:12:28]   [2210/3864] discard=531 maybe=855 keep=824 err=3 rate=0.03/s eta=971min
[18:18:25]   [2220/3864] discard=535 maybe=856 keep=829 err=3 rate=0.03/s eta=966min
[18:24:17]   [2230/3864] discard=536 maybe=862 keep=832 err=3 rate=0.03/s eta=960min
[18:30:03]   [2240/3864] discard=537 maybe=867 keep=836 err=3 rate=0.03/s eta=954min
[18:35:55]   [2250/3864] discard=539 maybe=871 keep=840 err=3 rate=0.03/s eta=948min
[18:41:43]   [2260/3864] discard=540 maybe=876 keep=844 err=3 rate=0.03/s eta=942min
[18:47:27]   [2270/3864] discard=541 maybe=882 keep=847 err=3 rate=0.03/s eta=936min
[18:53:17]   [2280/3864] discard=543 maybe=886 keep=851 err=3 rate=0.03/s eta=930min
[18:59:15]   [2290/3864] discard=546 maybe=888 keep=856 err=3 rate=0.03/s eta=924min
[19:05:03]   [2300/3864] discard=549 maybe=891 keep=860 err=3 rate=0.03/s eta=918min
[19:10:58]   [2310/3864] discard=549 maybe=898 keep=863 err=3 rate=0.03/s eta=913min
[19:16:47]   [2320/3864] discard=550 maybe=901 keep=869 err=3 rate=0.03/s eta=907min
[19:22:36]   [2330/3864] discard=553 maybe=905 keep=872 err=3 rate=0.03/s eta=901min
[19:28:26]   [2340/3864] discard=553 maybe=910 keep=877 err=3 rate=0.03/s eta=895min
[19:34:23]   [2350/3864] discard=555 maybe=912 keep=883 err=3 rate=0.03/s eta=889min
[19:40:09]   [2360/3864] discard=555 maybe=917 keep=888 err=3 rate=0.03/s eta=883min
[19:46:03]   [2370/3864] discard=557 maybe=920 keep=893 err=3 rate=0.03/s eta=877min
[19:51:52]   [2380/3864] discard=558 maybe=925 keep=897 err=3 rate=0.03/s eta=871min
[19:57:40]   [2390/3864] discard=558 maybe=929 keep=903 err=3 rate=0.03/s eta=865min
[20:03:25]   [2400/3864] discard=560 maybe=929 keep=911 err=3 rate=0.03/s eta=859min
[20:09:14]   [2410/3864] discard=563 maybe=935 keep=912 err=3 rate=0.03/s eta=854min
[20:15:03]   [2420/3864] discard=564 maybe=939 keep=917 err=3 rate=0.03/s eta=848min
[20:20:47]   [2430/3864] discard=566 maybe=942 keep=922 err=3 rate=0.03/s eta=842min
[20:26:40]   [2440/3864] discard=569 maybe=947 keep=924 err=3 rate=0.03/s eta=836min
[20:32:29]   [2450/3864] discard=571 maybe=951 keep=928 err=3 rate=0.03/s eta=830min
[20:38:14]   [2460/3864] discard=574 maybe=955 keep=931 err=3 rate=0.03/s eta=824min
[20:44:00]   [2470/3864] discard=578 maybe=957 keep=935 err=3 rate=0.03/s eta=818min
[20:49:45]   [2480/3864] discard=580 maybe=962 keep=938 err=3 rate=0.03/s eta=812min
[20:55:31]   [2490/3864] discard=581 maybe=970 keep=939 err=3 rate=0.03/s eta=806min
[21:01:17]   [2500/3864] discard=582 maybe=975 keep=943 err=3 rate=0.03/s eta=800min
[21:07:09]   [2510/3864] discard=586 maybe=980 keep=944 err=3 rate=0.03/s eta=794min
[21:12:55]   [2520/3864] discard=590 maybe=984 keep=946 err=3 rate=0.03/s eta=789min
[21:18:48]   [2530/3864] discard=591 maybe=990 keep=949 err=3 rate=0.03/s eta=783min
[21:24:42]   [2540/3864] discard=595 maybe=994 keep=951 err=3 rate=0.03/s eta=777min
