key,title,role,canonical_key,current_tags,tags_to_add,has_human_decision,flagged
6ZW9QNQH,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,CANONICAL,6ZW9QNQH,LLMs|formal verification|s1:human:keep|source:acm|source:arxiv|vibe coding,,yes,
S8GHSDJM,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,SUPERSEDED,6ZW9QNQH,s1:human:keep|source:wos,review:superseded-has-decision|superseded-by:6ZW9QNQH,yes,yes
JPZCCBRW,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,SUPERSEDED,6ZW9QNQH,arxiv|cs.SE,superseded-by:6ZW9QNQH,,
8T5ZHR9Y,From image to UML: first results of image-based UML diagram generation using LLMs,CANONICAL,8T5ZHR9Y,source:wos,,,
ALD4M2Q8,From image to UML: first results of image-based UML diagram generation using LLMs,SUPERSEDED,8T5ZHR9Y,Automation|Blueprints|Computational linguistics|Different domains|Image-based|Initial design|Language model|Large Language Model|Large language model|Low-code|Model checking|Modeling languages|Pipelines|Process system|Software Models|Software engineering process|Software modeling|UML Diagram|UML diagrams|theme:oversight,superseded-by:8T5ZHR9Y,,
6U3QKX6E,From image to UML: first results of image based UML diagram generation using LLMs,SUPERSEDED,8T5ZHR9Y,arxiv|cs.SE,superseded-by:8T5ZHR9Y,,
LB84WJKI,Human-In-the-loop software development agents,CANONICAL,LB84WJKI,source:wos,,,
5VTAJISY,Human-In-the-loop software development agents,SUPERSEDED,LB84WJKI,Agent paradigm|Agents|Codes (symbols)|Computer programming|Development tasks|Engineers|Human-in-the-loop|LLM-based Agents|Language model|Large Language Models|Large language model|Large language model-based agent|Model-based OPC|Multi agent|Multi agent systems|Software Development|Software agents|Software design|Source codes|theme:oversight,superseded-by:LB84WJKI,,
GS4KIM8M,Human-In-the-loop software development agents,SUPERSEDED,LB84WJKI,arxiv|cs.SE,superseded-by:LB84WJKI,,
Y3FIWH34,RECOVER: toward requirements generation from stakeholders conversations,CANONICAL,Y3FIWH34,source:wos,,,
P4P4EB2R,RECOVER: toward requirements generation from stakeholders’ conversations,SUPERSEDED,Y3FIWH34,Actionability|Automated software engineering|Computer software|Conversational requirement engineering|Conversational requirements engineering|Language processing|Natural language processing|Natural languages|Requirement engineering|Requirement generations|Requirements elicitation|Requirements engineering|Software design|Software quality|System requirements|Verification|automated software engineering|natural language processing|theme:oversight,superseded-by:Y3FIWH34,,
AUMAQ43S,RECOVER: toward requirements generation from stakeholders' conversations,SUPERSEDED,Y3FIWH34,arxiv|cs.SE,superseded-by:Y3FIWH34,,
IQCNSPY6,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,CANONICAL,IQCNSPY6,s1:human:keep|source:wos,,yes,
CKAHXH58,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,SUPERSEDED,IQCNSPY6,Complexity theory|Computer software|Controller designs|Hazard identification|Hazardous materials|Hazards|Hazards analysis|Language model|Large language models|Learning systems|Machine learning|Machine-learning|Pro-active approach|Process analysis|Risk assessment|Software design|Software engineering|Software engineering for machine learning|Software products|System software|System theory|Systematics|Uncertainty|hazard analysis|s1:human:keep|safety engineering|software engineering for machine learning|source:arxiv|source:ieee|source:scopus,review:superseded-has-decision|superseded-by:IQCNSPY6,yes,yes
H263U4FW,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,SUPERSEDED,IQCNSPY6,arxiv|cs.SE,superseded-by:IQCNSPY6,,
A8FUW44D,Human-AI collaboration in software engineering: lessons learned from a hands-on workshop,CANONICAL,A8FUW44D,s1:human:keep|source:wos,,yes,
25RCNRY9,Human-AI collaboration in software engineering: lessons learned from a hands-on workshop,SUPERSEDED,A8FUW44D,ChatGPT|Chatbots|Code optimization|Codegeneration|Collaboration|Computer aided software engineering|Conferences|Empirical Investigation|Empirical investigation|Engineering tasks|Generative AI|Human oversight|Problem-solving|Professional software engineers|Resource management|Security|Software|Software Engineering|Thematic analysis|Workshop|empirical investigation|generative AI|s1:human:keep|software engineering|source:acm|source:ieee|source:scopus|workshop,review:superseded-has-decision|superseded-by:A8FUW44D,yes,yes
IU55NEQA,Human AI collaboration in software engineering: lessons learned from a hands on workshop,SUPERSEDED,A8FUW44D,arxiv|cs.SE,superseded-by:A8FUW44D,,
732VDKJD,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research age",CANONICAL,732VDKJD,s1:human:keep|source:wos,,yes,
FHUGCNKY,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research age",SUPERSEDED,732VDKJD,Artificial intelligence|Codes|Computer Science - Artificial Intelligence|Computer Science - Human-Computer Interaction|Computer Science - Software Engineering|Encoding|Hardware|History|Mediation|Programming|Software|Software development management|Tier 1|Translation|Vibe coding|cognitive work|generative artificial intelligence|history of software development|human–computer interaction|intent mediation|large language models (LLM)|s1:human:keep|source:arxiv|source:coursework|source:ieee,review:superseded-has-decision|superseded-by:732VDKJD,yes,yes
AVC8XR4P,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research age",SUPERSEDED,732VDKJD,arxiv|cs.SE,superseded-by:732VDKJD,,
RR4TJJ5W,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,CANONICAL,RR4TJJ5W,s1:human:discard|source:wos,,yes,
WM5VCIAA,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,SUPERSEDED,RR4TJJ5W,Analysis workflow|Benchmark|Benchmarking|Codegeneration|Codes (symbols)|Computational linguistics|GeoAI|Geographic information systems|LLM|Language agent|Language model|Large language model|Open source software|Open systems|Open-source model|Quality control|Semantics|Site selection|Spatial analysis|Spatial variables measurement|Work-flows|artificial intelligence|benchmark|benchmarking|language|language agent|research|s1:human:discard|source:arxiv|source:scopus|spatial analysis|spatiotemporal analysis|theme:orgs,review:superseded-has-decision|superseded-by:RR4TJJ5W,yes,yes
F7C9JFZ8,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,SUPERSEDED,RR4TJJ5W,arxiv|cs.SE,superseded-by:RR4TJJ5W,,
BGDGIR3Y,Get on the train or be left on the station: using LLMs for software engineering research,CANONICAL,BGDGIR3Y,s1:human:discard|source:wos,,yes,
GCPU2JP5,Get on the train or be left on the station: using LLMs for software engineering research,SUPERSEDED,BGDGIR3Y,AI4SE|Artificial intelligence|Automation|Computer software|Engineering research|Generative AI|Human agency|Information systems|LLM|Language model|Large language model|McLuhan's tetrad|McLuhan’s Tetrad|Mcluhan’s tetrad|Productivity tools|Research communities|Risk assessment|Software engineering practices|Software engineering research|generative AI|s1:human:discard|source:acm|source:arxiv|source:scopus|theme:orgs,review:superseded-has-decision|superseded-by:BGDGIR3Y,yes,yes
2PZKZISE,Get on the train or be left on the station: using LLMs for software engineering research,SUPERSEDED,BGDGIR3Y,arxiv|cs.SE,superseded-by:BGDGIR3Y,,
SIBW73L2,Open source AI-based SE tools: opportunities and challenges of collaborative software learning,CANONICAL,SIBW73L2,s1:human:discard|source:wos,,yes,
PTEHXBBL,Open source AI-based SE tools: opportunities and challenges of collaborative software learning,SUPERSEDED,SIBW73L2,Application programs|Code understanding|Collaborative softwares|Computer aided software engineering|Computer control|Computer operating systems|Computer program listings|Computer software maintenance|Computer software selection and evaluation|Damage detection|Data Privacy|Engineering tasks|Federated Learning|Language model|Open Source Code Model|Open source code model|Open source software|Open-source|Open-source code|Program processors|Search engines|Software Engineering|Software Quality|Software design|Software engineering model|Software engineering tools|Software packages|Software prototyping|Software quality|Software testing|Statistical process control|Verification|s1:human:discard|source:acm|source:arxiv|source:scopus|theme:governance,review:superseded-has-decision|superseded-by:SIBW73L2,yes,yes
G5C8EJHS,Open-source AI-based SE tools: opportunities and challenges of collaborative software learning,SUPERSEDED,SIBW73L2,arxiv|cs.SE,superseded-by:SIBW73L2,,
WBGJ4YA5,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,CANONICAL,WBGJ4YA5,s1:human:discard|source:wos,,yes,
DIW28ZHE,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,SUPERSEDED,WBGJ4YA5,Codegeneration|Codes (symbols)|Digital libraries|Domain specific|Error correction|Errors correction|Human-in-the-loop evaluation|Natural language processing systems|Pipeline codes|Pipeline construction|Pipeline laying|Procedural knowledge|Reliability|Retrieval-augmented generation|Structure-aware|Visualization|Visualization pipeline|Work-flows|code generation|error correction|human-in-the-loop evaluation|retrieval-augmented generation (RAG)|s1:human:discard|scientific visualization|source:arxiv|source:scopus|theme:orgs,review:superseded-has-decision|superseded-by:WBGJ4YA5,yes,yes
D3TJQBV3,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,SUPERSEDED,WBGJ4YA5,arxiv|cs.GR,superseded-by:WBGJ4YA5,,
44B3EMKC,From pilots to practices: a scoping review of GenAI-enabled personalization in computer science education,CANONICAL,44B3EMKC,AI literacy|adaptive learning|assessment|code review|computer science education|feedback|generative AI|large language models|personalization|privacy|s1:human:discard|source:arxiv|source:scopus,,yes,
4QQC8D7E,From pilots to practices: a scoping review of GenAI-enabled personalization in computer science education,SUPERSEDED,44B3EMKC,,superseded-by:44B3EMKC,,
KIHZUBXE,From pilots to practices: a scoping review of GenAI-enabled personalization in computer science education,SUPERSEDED,44B3EMKC,arxiv|cs.AI,superseded-by:44B3EMKC,,
VR5457IP,How Knowledge Workers Think Generative AI Will (Not) Transform Their Industries,CANONICAL,VR5457IP,s1:human:discard|source:naimi-book|source:naimi-references,,yes,
X5YTTSB5,How knowledge workers think generative AI will (not) transform their industries,SUPERSEDED,VR5457IP,generative AI|industries|knowledge work|s1:human:discard|source:acm,review:superseded-has-decision|superseded-by:VR5457IP,yes,yes
RRFXCNIV,Tracking the moving target: a framework for continuous evaluation of LLM test generation in industry,CANONICAL,RRFXCNIV,source:acm,,,
JHVHCB36,Tracking the Moving Target: A Framework for Continuous Evaluation of LLM Test Generation in Industry,SUPERSEDED,RRFXCNIV,,superseded-by:RRFXCNIV,,
4KBC2IEC,Prompting is all you need: automated android bug replay with large language models,CANONICAL,4KBC2IEC,source:acm,,,
H578FBHT,Prompting Is All You Need: Automated Android Bug Replay with Large Language Models,SUPERSEDED,4KBC2IEC,,superseded-by:4KBC2IEC,,
CPXAJD9Z,Data-prompt Co-evolution: growing test sets to refine LLM behavior,CANONICAL,CPXAJD9Z,Large language models|human-AI interaction|human-in-the-loop workflows|model behavior|responsible AI|s1:human:discard|source:acm|test set,,yes,
GDBVPE4K,Data-Prompt Co-Evolution: Growing Test Sets to Refine LLM Behavior,SUPERSEDED,CPXAJD9Z,,superseded-by:CPXAJD9Z,,
BWKLECY4,Dealing with data for RE: mitigating challenges while using NLP and generative AI,CANONICAL,BWKLECY4,Application programs|Computer aided software engineering|Computer operating systems|Computer software maintenance|Computer software selection and evaluation|Data requirements|Generative ai|Language model|Language processing|Large language model|Large language models|Natural language processing|Natural languages|Re in the light of data-centricity in software system|Re in the light of data-centricity in software systems|Requirement engineering|Requirements engineering|Search engines|Software design|Software packages|Software quality|Software-systems|source:arxiv|theme:governance,,,
FQSGHHVF,Dealing with data for RE: mitigating challenges while using NLP and generative AI,SUPERSEDED,BWKLECY4,arxiv|cs.SE,superseded-by:BWKLECY4,,
LXBF2JGJ,Automated extract method refactoring with open-source LLMs: a comparative study,CANONICAL,LXBF2JGJ,Automated Refactoring|Automated refactoring|Automation|Code|Codes (symbols)|DeepSeek|Deepseek|Extract Method|Extract method|High level languages|LLM|Language model|Large language model|Line of codes|Maintainability|Open source software|Open systems|Open-Source|Open-source|Quality control|Qwen|Refactorings|Systems analysis|source:arxiv|theme:tooling,,,
38HXTGGF,Automated extract method refactoring with open-source LLMs: a comparative study,SUPERSEDED,LXBF2JGJ,arxiv|cs.SE,superseded-by:LXBF2JGJ,,
DZYEZVFE,Human-AI experience in integrated development environments: a systematic literature review,CANONICAL,DZYEZVFE,'current|Artificial intelligence|Codes (symbols)|Computer interaction|Computer programming|Current practices|Human computer interaction|Human-computer interaction|Impact design|Integrated development environment|Integrodifferential equations|Life cycle|Programming|Quality control|Reviews|Software design|Systematic literature review|User control|User experience|User interfaces|User studies|User study|Users' experiences|Verification|source:arxiv|theme:oversight,,,
G5VZZX89,Human-AI experience in integrated development environments: a systematic literature review,SUPERSEDED,DZYEZVFE,arxiv|cs.SE,superseded-by:DZYEZVFE,,
GYDZVK9J,Leveraging large language models for cybersecurity risk assessment - a case from forestry cyber-physical systems,CANONICAL,GYDZVK9J,Assessment process|Computer software|Cybe-physical systems|Cyber Physical System|Cyber security|Cyber-Physical Systems|Cyber-physical systems|Cybersecurity|Data Sharing|Data privacy|Embedded systems|Forestry|Language model|Large Language Models|Large language model|Protection requirements|Risk Assessment|Risk assessment|Risks assessments|Safety engineering|Safety-critical software systems|Software teams|source:arxiv|theme:risk,,,
2794XQRE,Leveraging large language models for cybersecurity risk assessment -- a case from forestry cyber-physical systems,SUPERSEDED,GYDZVK9J,arxiv|cs.SE,superseded-by:GYDZVK9J,,
AUP4ADWR,Towards human-AI synergy in requirements engineering: a framework and preliminary study,CANONICAL,AUP4ADWR,Artificial Intelligence|Artificial intelligence|Conceptual frameworks|Engineering research|Ethical technology|Ethics|Explainable AI|Explainable artificial intelligence|Human engineering|Human-AI Collaboration|Human-artificial intelligence collaboration|Labour-intensive|Language model|Language processing|Manual process|Natural Language Processing|Natural language processing|Natural language processing systems|Natural languages|Requirement engineering|Requirements Engineering|Requirements engineering|Software Development|Software design|source:arxiv|theme:governance,,,
MF66QBD5,Towards human-AI synergy in requirements engineering: a framework and preliminary study,SUPERSEDED,AUP4ADWR,arxiv|cs.SE,superseded-by:AUP4ADWR,,
KHP3NTDH,Computer science achievement and writing skills predict vibe coding proficiency,CANONICAL,KHP3NTDH,education|empirical study|lab study|learning|s1:human:maybe|source:acm|source:arxiv|vibe coding,,yes,
IKX96DWE,Computer science achievement and writing skills predict vibe coding proficiency,SUPERSEDED,KHP3NTDH,arxiv|cs.HC,superseded-by:KHP3NTDH,,
PGGL9ST3,Charting uncertain waters: a socio-technical roadmap for sustaining open source communities in the age of GenAI,CANONICAL,PGGL9ST3,GenAI|OSS|Open Source Software|Socio-Technical Systems|Sustainability|s1:human:discard|source:acm|source:arxiv,,yes,
C5D8E5HC,Charting uncertain waters: a socio-technical roadmap for sustaining open source communities in the age of GenAI,SUPERSEDED,PGGL9ST3,arxiv|cs.SE,superseded-by:PGGL9ST3,,
IYFN5CRE,Exploring student-AI interactions in vibe coding,CANONICAL,IYFN5CRE,Large Language Models|Novice Programmers|Observation Study|Vibe Coding|s1:human:discard|s1:human:maybe|source:acm|source:arxiv,,yes,
P36ZCC9J,Exploring student-AI interactions in vibe coding,SUPERSEDED,IYFN5CRE,arxiv|cs.HC,superseded-by:IYFN5CRE,,
MTYM4L5D,AI in software development and its potential influence on accessibility compliance.,CANONICAL,MTYM4L5D,source:wos,,,
PCRMAEY2,AI in software development and its potential influence on accessibility compliance,SUPERSEDED,MTYM4L5D,Accessibility|Artificial Intelligence|Artificial intelligence systems|Digital services|Domain knowledge|E-health services|Electronic health record|Health Services Accessibility|Humans|Norway|Qualitative analysis|Robust domain|Service provider|Software|Software Design|Software design|User interface designs|User-Computer Interface|WCAG|artificial intelligence|computer interface|health care access|human|software|software design|software development|theme:governance,superseded-by:MTYM4L5D,,
K9A8Z32M,Generative AI for requirements engineering: a systematic literature review,CANONICAL,K9A8Z32M,source:wos,,,
IB2B9P95,Generative AI for requirements engineering: a systematic literature review,SUPERSEDED,K9A8Z32M,arxiv|cs.SE,superseded-by:K9A8Z32M,,
XC4DI5Y3,Vibe modeling: challenges and opportunities,CANONICAL,XC4DI5Y3,source:wos,,,
GBN5JCME,Vibe modeling: challenges and opportunities,SUPERSEDED,XC4DI5Y3,arxiv|cs.SE,superseded-by:XC4DI5Y3,,
FP5F53AK,When your boss is an AI bot: exploring opportunities and risks of manager clone agents in the future workplace,CANONICAL,FP5F53AK,s1:human:keep|source:wos,,yes,
2C2Z4Q8I,When your boss is an AI bot: exploring opportunities and risks of manager clone agents in the future workplace,SUPERSEDED,FP5F53AK,AI Agent|Future Workplace|Future of Work|Generative AI|Human–AI Collaboration|Manager Clone Agents,superseded-by:FP5F53AK,,
NJ4993Q6,Challenges of artificial intelligence in medicine.,CANONICAL,NJ4993Q6,s1:human:discard|source:wos,,yes,
5YRN3WRS,Challenges of artificial intelligence in medicine,SUPERSEDED,NJ4993Q6,Artificial Intelligence|Artificial intelligence|Artificial intelligence in medicine|Artificial intelligence systems|Automation bias|Delivery of Health Care|Ethical technology|Health care|Health care providers|Human oversight|Human-in-the-loop|Humans|In-control|Medical computing|Medicine|Over reliance|Patient safety|Social aspects|Social responsibilities|Transparency|artificial intelligence|automation bias|bedrock|bias mitigation|conference paper|ethics|fairness|health care delivery|health care personnel|health personnel|human|informed consent|patient coding|patient harm|patient safety|privacy|social responsibility|treatment outcome,superseded-by:NJ4993Q6,,
CKGVW7IP,"Teaching with AI: a systematic review of chatbots, generative tools, and tutoring systems in programming education",CANONICAL,CKGVW7IP,AI agents|Computer science education|Programming education|s1:human:discard|source:scopus,,yes,
7MBJ75UF,"Teaching with AI: A Systematic Review of Chatbots, Generative Tools, and Tutoring Systems in Programming Education",SUPERSEDED,CKGVW7IP,,superseded-by:CKGVW7IP,,
