item_key,attach_key,citation,year,title,filename,txt_path,exists,bytes
X7EN6DXZ,SD6Q9GAJ,Mitropoulos 2026,2026,Measuring and exploiting contextual bias in LLM-assisted security code review,Mitropoulos_et_al._-_2026_-_Measuring_and_exploiting_contextual_bias_in_LLM-assisted_security_code_review.txt,/Users/scott/Zotero/storage/SD6Q9GAJ/Mitropoulos_et_al._-_2026_-_Measuring_and_exploiting_contextual_bias_in_LLM-assisted_security_code_review.txt,1,83261
RX9SICP9,GPBC98MF,Moreira 2026,2026,IACDM: interactive adversarial convergence development methodology -- a structured framework for AI-assisted software development,Moreira_-_2026_-_IACDM_interactive_adversarial_convergence_development_methodology_--_a_structured_framework_for_AI-.txt,/Users/scott/Zotero/storage/GPBC98MF/Moreira_-_2026_-_IACDM_interactive_adversarial_convergence_development_methodology_--_a_structured_framework_for_AI-.txt,1,62791
I6FZ5GD2,M3V53ZTU,Wang 2025,2025,Illuminating LLM coding agents: visual analytics for deeper understanding and enhancement,Wang_et_al._-_2025_-_Illuminating_LLM_coding_agents_visual_analytics_for_deeper_understanding_and_enhancement.txt,/Users/scott/Zotero/storage/M3V53ZTU/Wang_et_al._-_2025_-_Illuminating_LLM_coding_agents_visual_analytics_for_deeper_understanding_and_enhancement.txt,1,73944
UB2EVUFU,6CUTGJ43,Lyu 2026,2026,Self-organizing multi-agent systems for continuous software development,Lyu_et_al._-_2026_-_Self-organizing_multi-agent_systems_for_continuous_software_development.txt,/Users/scott/Zotero/storage/6CUTGJ43/Lyu_et_al._-_2026_-_Self-organizing_multi-agent_systems_for_continuous_software_development.txt,1,77450
5RLPIA3K,4G8TGI3B,Eric Swidey 2026,2026,Adversarial verification as reference architecture for EU AI act article 14 compliance in employment AI,Eric_Swidey_-_2026_-_Adversarial_verification_as_reference_architecture_for_EU_AI_act_article_14_compliance_in_employmen.txt,/Users/scott/Zotero/storage/4G8TGI3B/Eric_Swidey_-_2026_-_Adversarial_verification_as_reference_architecture_for_EU_AI_act_article_14_compliance_in_employmen.txt,1,18439
4PSM6ZCD,EGK95498,Zhao 2025,2025,Is vibe coding safe? Benchmarking vulnerability of agent-generated code in real-world tasks,Zhao_et_al._-_2025_-_Is_vibe_coding_safe_Benchmarking_vulnerability_of_agent-generated_code_in_real-world_tasks.txt,/Users/scott/Zotero/storage/EGK95498/Zhao_et_al._-_2025_-_Is_vibe_coding_safe_Benchmarking_vulnerability_of_agent-generated_code_in_real-world_tasks.txt,1,88104
XRTVITVP,7V29XTV6,Zhou 2026,2026,Steering LLMs via scalable interactive oversight,Zhou_et_al._-_2026_-_Steering_LLMs_via_scalable_interactive_oversight.txt,/Users/scott/Zotero/storage/7V29XTV6/Zhou_et_al._-_2026_-_Steering_LLMs_via_scalable_interactive_oversight.txt,1,106886
VFNJSZD9,QUK5VCQI,Michel Hjazeen 2026,2026,Beyond SAST and DAST: a unified security testing architecture for autonomous coding agents,Michel_Hjazeen_-_2026_-_Beyond_SAST_and_DAST_a_unified_security_testing_architecture_for_autonomous_coding_agents.txt,/Users/scott/Zotero/storage/QUK5VCQI/Michel_Hjazeen_-_2026_-_Beyond_SAST_and_DAST_a_unified_security_testing_architecture_for_autonomous_coding_agents.txt,1,47864
4T5QFWZE,4DBHP49B,Huang 2026,2026,"More code, less reuse: investigating code quality and reviewer sentiment towards AI-generated pull requests",Huang_et_al._-_2026_-_More_code_less_reuse_investigating_code_quality_and_reviewer_sentiment_towards_AI-generated_pull_r.txt,/Users/scott/Zotero/storage/4DBHP49B/Huang_et_al._-_2026_-_More_code_less_reuse_investigating_code_quality_and_reviewer_sentiment_towards_AI-generated_pull_r.txt,1,26511
6F3S8IB7,K46353SJ,Bara 2026,2026,HAIF: a human-AI integration framework for hybrid team operations,Bara_-_2026_-_HAIF_a_human-AI_integration_framework_for_hybrid_team_operations.txt,/Users/scott/Zotero/storage/K46353SJ/Bara_-_2026_-_HAIF_a_human-AI_integration_framework_for_hybrid_team_operations.txt,1,62710
9R6TGN82,B6BI87PK,Yao 2025,2025,Training language models to generate quality code with program analysis feedback,Yao_et_al._-_2025_-_Training_language_models_to_generate_quality_code_with_program_analysis_feedback.txt,/Users/scott/Zotero/storage/B6BI87PK/Yao_et_al._-_2025_-_Training_language_models_to_generate_quality_code_with_program_analysis_feedback.txt,1,52989
T3XTXIXW,XI5493WU,Li 2025,2025,CoTDeceptor:adversarial code obfuscation against CoT-enhanced LLM code agents,Li_et_al._-_2025_-_CoTDeceptoradversarial_code_obfuscation_against_CoT-enhanced_LLM_code_agents.txt,/Users/scott/Zotero/storage/XI5493WU/Li_et_al._-_2025_-_CoTDeceptoradversarial_code_obfuscation_against_CoT-enhanced_LLM_code_agents.txt,1,68256
RPHK78A9,2WP9FG5I,Kim 2025,2025,"Vibe Coding: Building Production-Grade Software with GenAI, Chat, Agents, and Beyond",Kim_and_Yegge_-_2025_-_Vibe_Coding_Building_Production-Grade_Software_with_GenAI_Chat_Agents_and_Beyond.txt,/Users/scott/Zotero/storage/2WP9FG5I/Kim_and_Yegge_-_2025_-_Vibe_Coding_Building_Production-Grade_Software_with_GenAI_Chat_Agents_and_Beyond.txt,1,693577
XJAXB98T,5ADWXE7V,Yang 2026,2026,Beyond banning AI: a first look at GenAI governance in open source software communities,Yang_et_al._-_2026_-_Beyond_banning_AI_a_first_look_at_GenAI_governance_in_open_source_software_communities.txt,/Users/scott/Zotero/storage/5ADWXE7V/Yang_et_al._-_2026_-_Beyond_banning_AI_a_first_look_at_GenAI_governance_in_open_source_software_communities.txt,1,76492
2KPHQ5IV,F724FCTI,Wang 2026,2026,Scaling human-AI coding collaboration requires a governable consensus layer,Wang_et_al._-_2026_-_Scaling_human-AI_coding_collaboration_requires_a_governable_consensus_layer.txt,/Users/scott/Zotero/storage/F724FCTI/Wang_et_al._-_2026_-_Scaling_human-AI_coding_collaboration_requires_a_governable_consensus_layer.txt,1,39230
5BAZZWHG,9CU2TM94,Catalan 2026,2026,"""I'm not reading all of that"": understanding software engineers' level of cognitive engagement with agentic coding assistants",Catalan_et_al._-_2026_-_I_m_not_reading_all_of_that_understanding_software_engineers_level_of_cognitive_engagement_with.txt,/Users/scott/Zotero/storage/9CU2TM94/Catalan_et_al._-_2026_-_I_m_not_reading_all_of_that_understanding_software_engineers_level_of_cognitive_engagement_with.txt,1,37413
QTJPLBYR,BUDWHX6C,Bilal Naqvi 2026,2026,Evaluating security and inclusivity in LLM-generated code: a controlled experiment,Bilal_Naqvi_et_al._-_2026_-_Evaluating_security_and_inclusivity_in_LLM-generated_code_a_controlled_experiment.txt,/Users/scott/Zotero/storage/BUDWHX6C/Bilal_Naqvi_et_al._-_2026_-_Evaluating_security_and_inclusivity_in_LLM-generated_code_a_controlled_experiment.txt,1,80426
VCI88UZD,34NQ42ZH,Enyedi 2026,2026,Human-certified module repositories for the AI age,Enyedi_-_2026_-_Human-certified_module_repositories_for_the_AI_age.txt,/Users/scott/Zotero/storage/34NQ42ZH/Enyedi_-_2026_-_Human-certified_module_repositories_for_the_AI_age.txt,1,72481
ID7IN65K,2ZFXNZ8W,Choudhuri 2026,2026,To copilot and beyond: 22 AI systems developers want built,Choudhuri_et_al._-_2026_-_To_copilot_and_beyond_22_AI_systems_developers_want_built.txt,/Users/scott/Zotero/storage/2ZFXNZ8W/Choudhuri_et_al._-_2026_-_To_copilot_and_beyond_22_AI_systems_developers_want_built.txt,1,99270
8AW26GFK,RUNB7866,Konrad 2026,2026,Architecture without architects: how AI coding agents shape software architecture,Konrad_et_al._-_2026_-_Architecture_without_architects_how_AI_coding_agents_shape_software_architecture.txt,/Users/scott/Zotero/storage/RUNB7866/Konrad_et_al._-_2026_-_Architecture_without_architects_how_AI_coding_agents_shape_software_architecture.txt,1,32691
QI8246A3,HJ3W98BM,Li 2025,2025,The rise of AI teammates in software engineering (SE) 3.0: how autonomous coding agents are reshaping software engineering,Li_et_al._-_2025_-_The_rise_of_AI_teammates_in_software_engineering_SE_3.0_how_autonomous_coding_agents_are_reshapin.txt,/Users/scott/Zotero/storage/HJ3W98BM/Li_et_al._-_2025_-_The_rise_of_AI_teammates_in_software_engineering_SE_3.0_how_autonomous_coding_agents_are_reshapin.txt,1,80461
DJHG9BBS,S2RGX2HE,Rasheed 2024,2024,AI-powered code review with LLMs: early results,Rasheed_et_al._-_2024_-_AI-powered_code_review_with_LLMs_early_results.txt,/Users/scott/Zotero/storage/S2RGX2HE/Rasheed_et_al._-_2024_-_AI-powered_code_review_with_LLMs_early_results.txt,1,25843
SHK6KAX6,GF9STE7C,Ghammam 2026,2026,"AI builds, we analyze: an empirical study of AI-generated build code quality",Ghammam_and_Almukhtar_-_2026_-_AI_builds_we_analyze_an_empirical_study_of_AI-generated_build_code_quality.txt,/Users/scott/Zotero/storage/GF9STE7C/Ghammam_and_Almukhtar_-_2026_-_AI_builds_we_analyze_an_empirical_study_of_AI-generated_build_code_quality.txt,1,32690
T2EG4BE2,U3SSGC24,Waseem 2025,2025,"Vibe coding in practice: flow, technical debt, and guidelines for sustainable use",Waseem_et_al._-_2025_-_Vibe_coding_in_practice_flow_technical_debt_and_guidelines_for_sustainable_use.txt,/Users/scott/Zotero/storage/U3SSGC24/Waseem_et_al._-_2025_-_Vibe_coding_in_practice_flow_technical_debt_and_guidelines_for_sustainable_use.txt,1,55031
WPWF7A32,C63G3SU7,Sharma 2025,2025,DevLicOps: a framework for mitigating licensing risks in AI-generated code,Sharma_et_al._-_2025_-_DevLicOps_a_framework_for_mitigating_licensing_risks_in_AI-generated_code.txt,/Users/scott/Zotero/storage/C63G3SU7/Sharma_et_al._-_2025_-_DevLicOps_a_framework_for_mitigating_licensing_risks_in_AI-generated_code.txt,1,46220
FWKYVQPD,BD3TPDRC,Irfan Samsyudin 2025,2025,Vibe coding and AI-led conversational programming: emerging trends in software development,Irfan_Samsyudin_-_2025_-_Vibe_coding_and_AI-led_conversational_programming_emerging_trends_in_software_development.txt,/Users/scott/Zotero/storage/BD3TPDRC/Irfan_Samsyudin_-_2025_-_Vibe_coding_and_AI-led_conversational_programming_emerging_trends_in_software_development.txt,1,22464
ZGST9CY6,BTSHNDQC,Liming Zhu 2025,2025,Designing meaningful human oversight in AI,Liming_Zhu_et_al._-_2025_-_Designing_meaningful_human_oversight_in_AI.txt,/Users/scott/Zotero/storage/BTSHNDQC/Liming_Zhu_et_al._-_2025_-_Designing_meaningful_human_oversight_in_AI.txt,1,66724
E9RAWBDT,9I9G3I3Q,Pimenova 2025,2025,"Good vibrations? A qualitative study of Co-creation, communication, flow, and trust in vibe coding",Pimenova_et_al._-_2025_-_Good_vibrations_A_qualitative_study_of_Co-creation_communication_flow_and_trust_in_vibe_coding.txt,/Users/scott/Zotero/storage/9I9G3I3Q/Pimenova_et_al._-_2025_-_Good_vibrations_A_qualitative_study_of_Co-creation_communication_flow_and_trust_in_vibe_coding.txt,1,107574
7SH86C2W,DTHPHAGZ,Lipsanen 2026,2026,Shift-up: a framework for software engineering guardrails in AI-native software development -- initial findings,Lipsanen_et_al._-_2026_-_Shift-up_a_framework_for_software_engineering_guardrails_in_AI-native_software_development_--_i.txt,/Users/scott/Zotero/storage/DTHPHAGZ/Lipsanen_et_al._-_2026_-_Shift-up_a_framework_for_software_engineering_guardrails_in_AI-native_software_development_--_i.txt,1,31124
LGZXFLSJ,T6SRP7K5,Hein 2025,2025,Causal mapping of the risks of using generative ai in software development,Hein_et_al._-_2025_-_Causal_mapping_of_the_risks_of_using_generative_ai_in_software_development.txt,/Users/scott/Zotero/storage/T6SRP7K5/Hein_et_al._-_2025_-_Causal_mapping_of_the_risks_of_using_generative_ai_in_software_development.txt,1,98535
NGIH5T4C,REW55WG3,Batte 2025,2025,The evolving landscape of code review: leveraging artificial intelligence for enhanced software quality and developer productivity,Batte_-_2025_-_The_evolving_landscape_of_code_review_leveraging_artificial_intelligence_for_enhanced_software_qual.txt,/Users/scott/Zotero/storage/REW55WG3/Batte_-_2025_-_The_evolving_landscape_of_code_review_leveraging_artificial_intelligence_for_enhanced_software_qual.txt,1,9387
WBS9U5N7,NXJ3ZZQW,Alami 2026,2026,Cognitive camouflage: specification gaming in LLM-generated code evades holistic evaluation but not adversarial execution,Alami_-_2026_-_Cognitive_camouflage_specification_gaming_in_LLM-generated_code_evades_holistic_evaluation_but_not.txt,/Users/scott/Zotero/storage/NXJ3ZZQW/Alami_-_2026_-_Cognitive_camouflage_specification_gaming_in_LLM-generated_code_evades_holistic_evaluation_but_not.txt,1,34885
HBR7QZ2C,C8KF4NRJ,Jackson 2025,2025,Designing a policy engine for agentic AI systems: from governance requirements to runtime enforcement,Jackson_-_2025_-_Designing_a_policy_engine_for_agentic_AI_systems_from_governance_requirements_to_runtime_enforcemen.txt,/Users/scott/Zotero/storage/C8KF4NRJ/Jackson_-_2025_-_Designing_a_policy_engine_for_agentic_AI_systems_from_governance_requirements_to_runtime_enforcemen.txt,1,60886
RG4A4D6K,8MMJ4PBI,N. Watson 2025,2025,From black box to open book: an emerging transparency imperative in generative AI codebases,N._Watson_and_M._Van_Italie_-_2025_-_From_black_box_to_open_book_an_emerging_transparency_imperative_in_generative_AI_co.txt,/Users/scott/Zotero/storage/8MMJ4PBI/N._Watson_and_M._Van_Italie_-_2025_-_From_black_box_to_open_book_an_emerging_transparency_imperative_in_generative_AI_co.txt,1,34842
E689ZAXC,BG4PZG94,Zhou 2026,2026,Review makes workers less likely to revise AI output,Zhou_and_Zhao_-_2026_-_Review_makes_workers_less_likely_to_revise_AI_output.txt,/Users/scott/Zotero/storage/BG4PZG94/Zhou_and_Zhao_-_2026_-_Review_makes_workers_less_likely_to_revise_AI_output.txt,1,33146
8KJEKBGT,3FW8S38N,Jensen 2024,2024,Software vulnerability and functionality assessment using LLMs,Jensen_et_al._-_2024_-_Software_vulnerability_and_functionality_assessment_using_LLMs.txt,/Users/scott/Zotero/storage/3FW8S38N/Jensen_et_al._-_2024_-_Software_vulnerability_and_functionality_assessment_using_LLMs.txt,1,27363
34ELRWJH,V5VATC5T,Goodhue 2025,2025,"The hidden legal minefield: how AI-assisted ""vibe coding"" amplifies software development risks and how technology can provide solutions",Goodhue_-_2025_-_The_hidden_legal_minefield_how_AI-assisted_vibe_coding_amplifies_software_development_risks_and_h.txt,/Users/scott/Zotero/storage/V5VATC5T/Goodhue_-_2025_-_The_hidden_legal_minefield_how_AI-assisted_vibe_coding_amplifies_software_development_risks_and_h.txt,1,32024
27YULT5I,4M3MEABF,Sharma 2026,2026,"The ethics of AI-assisted code migration in regulated financial systems: accountability, transparency, and human oversight in LLM-driven software conversion",Sharma_-_2026_-_The_ethics_of_AI-assisted_code_migration_in_regulated_financial_systems_accountability_transparenc.txt,/Users/scott/Zotero/storage/4M3MEABF/Sharma_-_2026_-_The_ethics_of_AI-assisted_code_migration_in_regulated_financial_systems_accountability_transparenc.txt,1,24841
JVWUYDME,SIZR82B8,Jessee 2026,2026,"Scapegoat-as-a-service: moving from ""human-in-the-loop"" to ""human-in-command"" in regulated systems",Jessee_-_2026_-_Scapegoat-as-a-service_moving_from_human-in-the-loop_to_human-in-command_in_regulated_systems.txt,/Users/scott/Zotero/storage/SIZR82B8/Jessee_-_2026_-_Scapegoat-as-a-service_moving_from_human-in-the-loop_to_human-in-command_in_regulated_systems.txt,1,42203
2CKL96B8,CAAKZSZE,Sarkar 2025,2025,The effect of AI tools on modern software development for frontend engineering: an empirical analysis,Sarkar_-_2025_-_The_effect_of_AI_tools_on_modern_software_development_for_frontend_engineering_an_empirical_analysi.txt,/Users/scott/Zotero/storage/CAAKZSZE/Sarkar_-_2025_-_The_effect_of_AI_tools_on_modern_software_development_for_frontend_engineering_an_empirical_analysi.txt,1,17531
9MV2IVNU,J9FBDPWK,Eze 2026,2026,Human-in-the-loop isn't a checkbox: designing meaningful intervention in automated AI decisions,Eze_-_2026_-_Human-in-the-loop_isn_t_a_checkbox_designing_meaningful_intervention_in_automated_AI_decisions.txt,/Users/scott/Zotero/storage/J9FBDPWK/Eze_-_2026_-_Human-in-the-loop_isn_t_a_checkbox_designing_meaningful_intervention_in_automated_AI_decisions.txt,1,48228
EB49Q8QM,F8W4GWJ4,Tilbury 2024,2024,The rationality of automation bias in security operation centers,Tilbury_and_Flowerday_-_2024_-_The_rationality_of_automation_bias_in_security_operation_centers.txt,/Users/scott/Zotero/storage/F8W4GWJ4/Tilbury_and_Flowerday_-_2024_-_The_rationality_of_automation_bias_in_security_operation_centers.txt,1,54647
DJMBHHZN,C5QCMMB9,Tisi 2025,2025,"MOSAICO: management, orchestration and supervision of AI-agent COmmunities for reliable AI in software engineering",Tisi_et_al._-_2025_-_MOSAICO_management_orchestration_and_supervision_of_AI-agent_COmmunities_for_reliable_AI_in_softwa.txt,/Users/scott/Zotero/storage/C5QCMMB9/Tisi_et_al._-_2025_-_MOSAICO_management_orchestration_and_supervision_of_AI-agent_COmmunities_for_reliable_AI_in_softwa.txt,1,29903
R9CDT9KB,2K4CN45T,A. Mahmud 2025,2025,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows,A._Mahmud_et_al._-_2025_-_Trust-calibrated_multi-stage_large_language_model_pipeline_for_vulnerability_assessment_in_Dev.txt,/Users/scott/Zotero/storage/2K4CN45T/A._Mahmud_et_al._-_2025_-_Trust-calibrated_multi-stage_large_language_model_pipeline_for_vulnerability_assessment_in_Dev.txt,1,47518
Y4TIF9KW,J83F2GQZ,A. N. A. Hadee 2025,2025,"Code prism: a multi-agent, multi-LLM, semantic indexing artifact for regulatory code audits — a design science research study",A._N._A._Hadee_and_M._Riznee_-_2025_-_Code_prism_a_multi-agent_multi-LLM_semantic_indexing_artifact_for_regulatory_code_.txt,/Users/scott/Zotero/storage/J83F2GQZ/A._N._A._Hadee_and_M._Riznee_-_2025_-_Code_prism_a_multi-agent_multi-LLM_semantic_indexing_artifact_for_regulatory_code_.txt,1,23543
6DXZGHD9,XEU7PQ43,Al-Hashimi 2026,2026,A generative AI cybersecurity risks mitigation model for code generation: using ANN-ISM hybrid approach,Al-Hashimi_-_2026_-_A_generative_AI_cybersecurity_risks_mitigation_model_for_code_generation_using_ANN-ISM_hybrid_appro.txt,/Users/scott/Zotero/storage/XEU7PQ43/Al-Hashimi_-_2026_-_A_generative_AI_cybersecurity_risks_mitigation_model_for_code_generation_using_ANN-ISM_hybrid_appro.txt,1,214619
