item_key,citation,evidence_type,problem_statement,magnitude_evidence,risk_types,insufficiency_evidence,solution_mechanisms,mechanism_keywords,oversight_locus,human_role,key_constructs,governance_refs,scope_fit,notes,_truncated
4PSM6ZCD,Zhao 2025,benchmark | empirical | controlled-experiment | dataset,"The document addresses whether code produced by LLM coding agents under the 'vibe coding' paradigm (where engineers delegate complex coding tasks to agents with little supervision) is secure enough to deploy, and it benchmarks the security vulnerability of agent-generated code on real-world repository-level tasks.","A recent survey shows that 75% of respondents are using vibe coding, among which 90% find it satisfactory [23]",security | software-vulnerability | authentication | timing-side-channel | CRLF/header-injection | session-fixation | stored-XSS | session-expiration-bypass | plaintext-credentials | exploitable-by-attackers,"Although 61% of the solutions from SWE-Agent with Claude 4 Sonnet are functionally correct, only 10.5% are secure; 82.8% of functionally correct solutions are insecure, and preliminary security strategies such as vulnerability hints cannot mitigate these issues (reducing functional correctness by ~7 points)",security+functionality unit-test benchmark | automatic task curation pipeline from vulnerability-fix commits | generic security-reminder prompting | self-selection CWE identification before implementation | oracle CWE hint prompting | runtime execution environment with security tests,benchmark | security-gate | security-testing | prompt-mitigation | cwe-self-selection | oracle-hint | vulnerability-hints | repository-level-eval | test-based-verification | provenance,generation-time | pre-deployment | CI | code-review,escalation-target,SUSVIBES | vibe coding | FUNCPASS | SECPASS | SECPASS⊥FUNCPASS | self-selection CWE | oracle CWE,CWE (Common Weakness Enumeration) | CVE | National Vulnerability Database (NVD),problem,"Some inline figure/equation text (e.g. C-1 masked-commit notation) is garbled from PDF extraction, but the substantive content is intact.",0
4T5QFWZE,Huang 2026,empirical | system-tool,"AI coding agents accelerate code generation but introduce redundancy (Type-4 semantic clones) that traditional metrics and human reviewers fail to catch, and existing benchmarks only measure pass rates rather than long-term maintainability. It examines whether reviewer sentiment detects these quality issues in AI-generated pull requests.","Average Max Redundancy (AMR) for AI agents is 0.2867, compared to only 0.1532 for humans, representing a nearly 1.87x increase (Mann-Whitney p < 0.001)",redundancy | code-clone | maintainability | technical-debt | quality | reviewer-blind-spot | sycophancy,reviewers express fewer negative emotions towards Agentic-PRs than Human-PRs despite higher redundancy; 'reviewers may lower their vigilance'; 'existing tools are not effective at detecting these Type-4 semantic clones',Max Redundancy Score (MRS) metric | snapshot-based semantic differential analysis pipeline | code-embedding Type-4 clone detection | refactoring-aware filtering via PyRef | reviewer sentiment analysis of review comments | reuse-metric evaluation beyond pass rates,redundancy-metric | semantic-clone-detection | code-embedding | sentiment-analysis | reuse-evaluation | code-review | static-metrics,code-review | pre-merge,in-the-loop,Max Redundancy Score (MRS) | Average Max Redundancy (AMR) | Snapshot-based Semantic Differential Analysis | silent technical debt | reviewer's blind spot | Type-4 semantic clone | Agentic-PR,,both,,0
5BAZZWHG,Catalan 2026,empirical | case-study,"The document examines how software engineers cognitively disengage from agentic coding assistants (ACAs) during code generation, showing that their oversight of AI-generated code declines as tasks progress and focuses only on output correctness rather than the underlying process.",,over-reliance | complacency | reduced-critical-thinking | hallucination | algorithmic-bias | security | poisoning | backdoor-attacks | undetected-malicious-code | information-overload | shallow-review,"""cognitive engagement consistently declines as tasks progress""; participants ""allocated minimal cognitive resources to verifying the output and largely neglected reviewing the underlying process""; P4: ""I'm not reading all of that""; ""none of the participants were able to correctly answer how many functions the generated script had""","multimodal communication (visualizations, voice) | flowcharts/graphs/mind maps for reasoning | cognitive-forcing designs | slowing down AI decisions to prompt System 2 thinking | delaying AI suggestions until after user analysis | framing ACA as multimodal pair programmer",cognitive-forcing | hitl | reflection-prompts | multimodal | visualization | voice-interface | slow-algorithm | system-2-thinking | verification-tool | engagement-sustaining | pair-programming,generation-time | code-review | planning | evaluation,in-the-loop,Tools for Thought | cognitive engagement | greedy allocation strategy for cognitive resources | happy path evaluation | cognitive forcing functions | agentic coding assistants (ACAs) | output vs process evaluation,,both,Short CHI workshop formative study with only four participants; primarily HCI/cognition-focused rather than governance-focused.,0
5DCQDB4C,Langer 2024,conceptual-position | framework-model,"The paper addresses how to make human oversight of AI-based systems in high-risk contexts effective, arguing that reliable detection of errors (inaccurate and unfair outputs) is the foundational precondition for overseers to intervene and mitigate risk.",,inaccuracy | unfairness | discrimination | safety | health | fundamental-rights | specification-of-fairness-standard,"""research has cast doubt on whether humans can actually be effective in overseeing systems""; ""distinguishing accurate from inaccurate system outputs is challenging even for experts""; people ""overwrite accurate system outputs"" and ""underestimate that systems may produce unfair outputs""",Signal Detection Theory framework for error detection | disentangling sensitivity (d') and response bias (c) | choosing an explicit standard for (un)fairness as ground truth | technology-based oversight aids / fairness monitor | operator training on error exposure | transparency and XAI explanations | cognitive forcing functions to reduce time pressure | deliberately less-reliable systems to keep overseers vigilant,signal-detection | sensitivity | response-bias | calibration | fairness-monitor | oversight-aid | xai | training | hitl | observability | ground-truth-standard | cognitive-forcing | vigilance,runtime | inspection-time | post-deployment | post-hoc-review,on-the-loop,signal detection perspective on error detection | sensitivity (d') | response bias (c) | standard for (un)fairness as ground truth | detection-explanation-correction-integration error management | irony of automation,EU AI Act (Article 14) | EU AI Act (Article 13) | NIST SP 1270 | EEOC Uniform Guidelines on Employee Selection (80% rule),both,"Concerns human oversight of AI-based decision systems (hiring, medical, judicial) generally, not AI-generated code specifically; oversight target is inaccurate/unfair decision outputs rather than code.",0
5DI9B43K,Sistla 2025,system-tool | empirical | benchmark,"LLM-based code reasoning agents produce incorrect or hallucinated answers when explaining code, judging equivalence, or validating auto-generated code, so their outputs must be manually verified before they can be trusted. The paper addresses automatically validating an agent's reasoning steps to reduce this manual oversight burden.","""the agent hallucinates on 40% of the problems (8/20)"" for program equivalence queries; for MSAN bugs 12/100 runs had invalid explanations by human judgment",hallucination | incorrect-reasoning | correctness | memory-safety | out-of-bounds-access | developer-productivity,"LLM-as-judge ""is not foolproof either and is still susceptible to the LLM judge hallucinating""; and manual review is costly — answers ""need to be manually verified before they can be trusted"" requiring ""human effort"" and ""slower developer productivity""; the formal verifier itself has ""perfect precision and low recall"" (validated only 18/88, later 36/88)",extract formal representation of agent's reasoning | verify reasoning steps with formal verification tools | CodeSemantics/AgentClaims/VerificationCondition framework | Datalog/Soufflé formalization of agent claims | post-facto verification of LLM prose reasoning | iterative formalization to synthesize missing predicates | trace extraction from agent explanations,formal-verification | autoformalization | datalog | program-analysis | verification-condition | post-hoc-verification | hallucination-detection | static-analysis | llm-as-judge,code-review | generation-time | post-generation,on-the-loop,CodeSemantics | AgentClaims | VerificationCondition | verified code reasoning | post-facto reasoning-step verification,,both,"Text contains minor PDF-extraction garbling (spaced-out code, figure captions interleaved) but is readable; one sentence appears truncated (""falsely concludes the programs"").",0
5I2W8IC6,Khati 2025,secondary-review | empirical,"Addresses the lack of clear definitions, influencing factors, and metrics for trust/distrust/trustworthiness in LLMs for software engineering, where misaligned trust (overtrust or undertrust) in AI-generated code undermines effective and safe human oversight.","up to 7% of automatic refactorings broke functionality or introduced syntax errors [67] (ChatGPT/Gemini Java study, demonstrating risks of overtrust)",security | quality | hallucination | maintainability | data-leak | bias | skill-degradation | overtrust | undertrust | legal-liability,"when LLM-generated suggestions contained subtle security vulnerabilities, developers were more likely to trust and use them without adequate scrutiny, leading to increased security risks [86]","trust calibration to actual reliability | trustworthiness models justifying user trust | XAI/explainability features | normative/standardized performance metrics | uncertainty expressions to reduce overreliance | multidimensional multi-item trust metrics | transparency affordances (provenance, traceability) | community-driven trust signals with moderation | manual code review of LLM-generated code | longitudinal/temporal trust assessment",trust-calibration | explainability | xai | transparency | uncertainty-expression | provenance | normative-metrics | multidimensional-metrics | code-review | hitl | benchmark | governance,code-review | generation-time | pre-commit,in-the-loop,appropriate trust | trust calibration | distrust as active expectation of failure | model-specific vs user-centric trust antecedents | MATCH model (adopted) | ABI framework (adopted) | trust affordance,EU AI Act | Ethics Guidelines for Trustworthy AI,both,Body partially truncated ('[...TRUNCATED FOR LENGTH...]') before conclusion.,1
5Q4G4CQB,D. O. Salem 2025,empirical | case-study,"The document examines how LLMs automate code review and deployment in CI/CD pipelines, and argues that AI-driven CI introduces security vulnerabilities, model bias, and errors that still require human supervision to catch.",AI-based static analysis tools find 50% more security issues than conventional approaches but lack contextual awareness; 60% of survey respondents raised false-positive/security-risk concerns,security | vulnerabilities | model-bias | false-positives | false-negatives | hallucination | technical-debt | maintainability | over-reliance | SQL-injection | input-validation | edge-case-omission,AI-powered static analysis tools miss subtle vulnerabilities and come with false positives; AI suggestions are not project-specific and require human intervention; overreliance on AI-driven testing results in omission of edge cases only human testers can identify,human-in-the-loop code review | combine AI static analysis with human review | confidence scores | bias detection audits and fine-tuning | automated cross-validation across multiple AI models | regression tests on flagged fixes | Explainable AI (XAI) for transparency/fairness | parallel checks and smart triggers | fairness boundaries and bias audits of training data,hitl | human-review | confidence-scores | bias-audit | fine-tuning | cross-validation | ensemble | regression-test | explainability | xai | static-analysis | governance,code-review | CI | pre-commit | deployment,in-the-loop,Explainable AI (XAI) | AI-driven CI/CD | human-AI partnership,,both,Text is garbled/machine-extracted in places with grammatical errors; some cited statistics (30%/40%/50%) are loosely attributed to unnamed literature.,0
5RKMGRNA,Nimraka 2025,system-tool,"Manual pull request reviews are time-consuming, inconsistent, and error-prone, creating development bottlenecks while still missing latent defects; the paper builds an agentic AI system to automate and enhance code review of PRs.","Modern software teams often spend a significant amount of their development time on manual pull request reviews, yet still miss latent defects that lead to post deployment failures",security | quality | maintainability | performance | bugs | code-duplication | hallucination | framework-dependency,"static analysis tools (SAST) like SonarQube ... fundamentally lack contextual understanding. They operate on fixed rules, resulting in high false-positive rates and an inability to detect complex logical flaws",multi-agent specialist LLM review | parallel per-issue-class agents | aggregator agent consolidation | GNN semantic duplicate detection | graph-based dependency impact analysis | RAG PR-title validation against company rules | tree-sitter chunking for large PRs | MCP git repository chatbot | IDE/GitHub workflow integration,multi-agent | llm-as-reviewer | ensemble | security-gate | rag | policy-as-code | dependency-analysis | gnn | provenance | code-review | aggregation | self-correction-loop,code-review | pre-commit | generation-time,unspecified,Intelligent Code Reviewer (ICR) | five specialized LLM agents | Aggregator Agent,,solution,,0
5RLPIA3K,Eric Swidey 2026,system-tool | conceptual-position | framework-model | case-study,"Current AI hiring systems present humans with scores and recommendations that they cannot meaningfully interpret, enabling autonomous AI decisions and rubber-stamping that fail EU AI Act Article 14's meaningful human-oversight requirements for high-risk employment AI.","In Mobley v. Workday, plaintiff applied to over 100 positions and was rejected for all; class certified May 16, 2025; rejections sent at 1:00 AM indicating no human review",automation-bias | discrimination/bias | legal | protected-characteristic proxies | autonomous-decisioning | data-quality | fundamental-rights,"""humans rubber-stamp AI decisions... they click 'Proceed' or 'Reject.' This is not human oversight. This is automation bias codified into a workflow""; explainability dashboards showing factor contributions are ""not the same as enabling genuine interpretation""",multi-agent adversarial debate (Advocate/Adversary/Arbitrator) | cross-vendor arbitrator to reduce single-source bias | mandatory bias check per candidate | human decision interface showing full reasoning | engagement-gated UI with time-on-task tracking | automatic escalation queue for bias/low-confidence | cryptographic hash-chain audit trail | architectural (non-bypassable) human-in-command,adversarial-verification | multi-agent-debate | llm-as-judge | decorrelation | cross-vendor-ensemble | hitl | human-in-command | escalation | risk-routing | bias-gate | explainability | audit-trail | provenance | hash-chain | engagement-enforcement | anti-rubber-stamping,pre-decision | human-review | candidate-evaluation | runtime-intervention,in-command,VARI (Verified Adversarial Reasoning Intelligence) | Adversarial Verification System (AVS) | Advocate/Adversary/Arbitrator agents | architectural vs. procedural compliance | AI informs. Human decides.,EU AI Act | EU AI Act Article 14 | EU AI Act Annex III Point 4(a) | EU AI Act Article 26 | EU AI Act Article 27 | Mobley v. Workday,both,,0
6DXZGHD9,Al-Hashimi 2026,framework-model | empirical | case-study | secondary-review | system-tool,"The paper addresses how to identify, evaluate, and mitigate cybersecurity risks (injection, insecure templates, backdoors, adversarial manipulation) introduced by Generative-AI automatic code generation, which are exacerbated by a lack of human oversight.","Cybersecurity risk impact levels averaged 74.43% (MLR) and 76.0% (real-world study) across 14 risk categories, with r=0.94 correlation; ANN normalized importance ranked Injection Attacks highest at 100%, Privacy Issues/Data Leakage 71.2%, Insufficient Logging/Monitoring 63.3%.",injection | code-quality | logic-errors | backdoors | malicious-code | legacy-dependencies | insufficient-input-validation | weak-authentication | insecure-data-handling | vulnerable-code-reuse | adversarial-attacks | over-reliance | privacy | data-leakage | insecure-integration | insufficient-logging | supply-chain,"""lack of human oversight"" lets Generative AI produce inadvertently insecure code; static analysis tools ""provide static security vulnerability analysis... however, not all vulnerabilities raised... even if they have not detected dynamic flaws""; manual code reviews/penetration testing are ""time-consuming and not practical for large-scale projects... procedure-based testing quickly becomes overwhelmed by the sheer amount of code""; black-box models ""risk generating exploitative output without recognizing how individual vulnerabilities... are being injected"".",ANN-ISM hybrid risk model | ANN predictive risk scoring | ISM hierarchical risk structuring | static code analysis | automated penetration testing | adversarial training | secure code templates | input validation/sanitization | dependency scanning/management | human-in-the-loop review | explainable AI transparency | differential privacy | runtime behavioral analysis | secure CI/CD pipelines | logging/monitoring/anomaly detection,risk-scoring | risk-routing | ann-prediction | ism-structural-modeling | security-gate | static-analysis | sast | dast | pentest | adversarial-training | guardrail | spec-driven-templates | provenance | dependency-scanning | hitl | xai | observability | anomaly-detection | differential-privacy | policy-as-code | ensemble | threat-modeling,generation-time | pre-commit | CI | code-review | runtime | pre-deployment | post-deployment,in-the-loop,Hybrid ANN-ISM Framework | multivocal literature review | structural self-interaction matrix (SSIM) | reachability matrix | generative-AI practices taxonomy (P1–P127) | concise threat model (prevent/detect/contain),EU GDPR | NIST | OWASP | CISA | ISACA | HIPAA | ISO/IEC 42001 | SEI CERT,both,"Text contains internal inconsistencies in reported ANN configuration (hidden neurons stated as 4, then 10; dataset N=350 vs 70 survey respondents; epochs 50 vs 100; splits 70/30 vs 80/20) and some garbled/typo-laden passages; focus is cybersecurity of AI code generation rather than general oversight-scaling.",1
