item_key,final,target_collection,reviewed,tags,title
8J86V6HB,context,85JVIR9X,True,s3:opus:core|s3:human:context,Why agentic-PRs get rejected: a comparative study of coding agents
DYKE748V,context,85JVIR9X,True,s3:opus:core|s3:human:context,The role of firm AI capabilities in generative AI-pair coding
7GE63LDE,context,85JVIR9X,True,s3:opus:core|s3:human:context,Repairing infrastructure-as-code using large language models
U3IQJ4VK,context,85JVIR9X,True,s3:opus:core|s3:human:context,Security weaknesses of copilot-generated code in GitHub projects: an empirical s
DVQATU3E,context,85JVIR9X,True,s3:opus:core|s3:human:context,Everyday practitioner experiences of AI-first policies adopted by U.S. big tech 
2UTQYY3T,context,85JVIR9X,True,s3:opus:core|s3:human:context,From assessment to enhancement of pull requests at scale: aligning code reviews 
S7BJA4RD,context,85JVIR9X,True,s3:opus:core|s3:human:context,AI-assisted collaboration: exploring developer experience with GitHub copilot an
6237UYZI,context,85JVIR9X,True,s3:opus:core|s3:human:context,A user-centered security evaluation of copilot
VZ9H37V5,context,85JVIR9X,True,s3:opus:core|s3:human:context,Context before code: an experience report on vibe coding in practice
JB32U5RE,context,85JVIR9X,True,s3:opus:core|s3:human:context,Agentic pipelines in embedded software engineering: emerging practices and chall
8M6347W6,context,85JVIR9X,True,s3:opus:core|s3:human:context,Adversarial bug reports as a security risk in language model-based automated pro
6N2VXJBE,context,85JVIR9X,True,s3:opus:core|s3:human:context|lit-review,A survey on large language model impact on software evolvability and maintainabi
M5AY5FJF,context,85JVIR9X,True,s3:opus:core|s3:human:context,The ordo-causal attribution deficit: a prudential capital framework for autonomo
6DIZURHK,context,85JVIR9X,True,s3:opus:core|s3:human:context,"How to redesign frontends now that 50-70% of UI is AI-generated, dynamic, or age"
7KEUNEP4,context,85JVIR9X,True,s3:opus:core|s3:human:context,Next-generation code transformation for legacy .NET systems with generative AI
J7D3EN5T,context,85JVIR9X,True,s3:opus:core|s3:human:context,ThreatPrism: multi-framework threat intelligence for AI-assisted software develo
5QUHNUQQ,context,85JVIR9X,True,s3:opus:core|s3:human:context,Who writes the docs in SE 3.0? Agent vs. Human documentation pull requests
FXKRNI3I,context,85JVIR9X,True,s3:opus:core|s3:human:context,Towards designing user interfaces for optimized human-AI communication and super
I3PFG3TZ,context,85JVIR9X,True,s3:opus:core|s3:human:context,A review of research on AI-assisted code generation and AI-driven code review
BEFM3MT6,context,85JVIR9X,True,s3:opus:core|s3:human:context,AI in the software development lifecycle: insights and open research questions
LKVVWDF6,context,85JVIR9X,True,s3:opus:core|s3:human:context,CoT+ (chain-of-thought extended): a reproducible multi-reasoning prompting archi
DXPHT26U,context,85JVIR9X,True,s3:opus:core|s3:human:context,AACR-bench: evaluating automatic code review with holistic repository-level cont
VR9AM6VV,context,85JVIR9X,True,s3:opus:core|s3:human:context,AgenticSCR: an autonomous agentic secure code review for immature vulnerabilitie
462N6DT8,context,85JVIR9X,True,s3:opus:core|s3:human:context,Developers’ dilemma: opportunities and pitfalls of generative AI for software de
J2G46JPM,context,85JVIR9X,True,s3:opus:core|s3:human:context,Just another copy and paste? Comparing the security vulnerabilities of ChatGPT g
G4BQ2IUU,context,85JVIR9X,True,s3:opus:core|s3:human:context,Factors influencing the quality of AI-generated code: a synthesis of empirical e
UDEHDB27,context,85JVIR9X,True,s3:opus:core|s3:human:context,Do AI coding agents log like humans? An empirical study
N2UHFWQ3,context,85JVIR9X,True,s3:opus:core|s3:human:context,LLM-driven code refactoring: opportunities and limitations
6UC9YDPD,context,85JVIR9X,True,s3:opus:core|s3:human:context,Improving automated code reviews: learning from experience
9HPPSFM6,context,85JVIR9X,True,s3:opus:context|s3:human:context,The flaws of policies requiring human oversight of government algorithms
PNCL8T9B,context,85JVIR9X,True,s3:opus:core|s3:human:context,Confident but incorrect: mitigating hallucination and overconfidence in agentic 
4K8J6X33,context,85JVIR9X,True,s3:opus:context|s3:human:context,Institutionalised distrust and human oversight of artificial intelligence: towar
K4CKRTEI,context,85JVIR9X,True,s3:opus:core|s3:human:context,AI vs human code gen report: AI code creates 1.7x more issues
6QSXGBDM,context,85JVIR9X,True,s3:opus:core|s3:human:context,DSCode comparator: an interactive interface for comparing models and evaluating 
VQTXS6R4,context,85JVIR9X,True,s3:opus:core|s3:human:context,Issue-oriented agent-based framework for automated review comment generation
DN9R4PDQ,context,85JVIR9X,True,s3:opus:context|s3:human:context,Vibe coding for product design: understanding product team members' perceptions 
A4DHCSII,context,85JVIR9X,True,s3:opus:core|s3:human:context,Integrating RAG and LLM for automated code review in practice
6Z82ABMA,context,85JVIR9X,True,s3:opus:context|s3:human:context,When is generated code difficult to comprehend? Assessing AI agent python code p
8IQR9PNB,context,85JVIR9X,True,s3:opus:context|s3:human:context,Code with me or for me? How increasing AI automation transforms developer workfl
4XV5EN3P,context,85JVIR9X,True,s3:opus:context|s3:human:context,AgentSight: system-level observability for AI agents using eBPF
76DYS6RI,context,85JVIR9X,True,s3:opus:core|s3:human:context,Model-assisted and human-guided: perceptions and practices of software professio
EJRHHVTN,context,85JVIR9X,True,s3:opus:context|s3:human:context,Software testing with large language models: an interview study with practitione
RBQZMXWT,context,85JVIR9X,True,s3:opus:context|s3:human:context,Does pass rate tell the whole story? Evaluating design constraint compliance in 
74UAHJ47,context,85JVIR9X,True,s3:opus:context|s3:human:context,Exploring automation bias in human–AI collaboration: a review and implications f
LQVJ7XT6,context,85JVIR9X,True,s3:opus:context|s3:human:context|lit-review,State of the art of the security of code generated by LLMs: a systematic literat
YMXUXDFK,context,85JVIR9X,True,s3:opus:context|s3:human:context,Detection of vulnerabilities in AI-generated java code using random forest algor
PWC7TXTM,context,85JVIR9X,True,s3:opus:context|s3:human:context,Why you shouldn't fully trust ChatGPT: a synthesis of this AI tool's error rates
IZQGW3IU,context,85JVIR9X,True,s3:opus:context|s3:human:context,
QZNURHZQ,context,85JVIR9X,True,s3:opus:context|s3:human:context,The evaluation paradox: cognitive atrophy and the erosion of human oversight in 
KREBS4T3,context,85JVIR9X,True,s3:opus:context|s3:human:context,From policy to practice: prototyping the EU AI act's human oversight requirement
BZ4K52DU,context,85JVIR9X,True,s3:opus:context|s3:human:context,Responsible machine learning operations: closing the gap between speed and overs
3RWMYI5B,context,85JVIR9X,True,s3:opus:context|s3:human:context,Adversarial precedent memory: hardening LLM evaluators through mined failure con
JGSFEKVA,context,85JVIR9X,True,s3:opus:context|s3:human:context,Use it or slowly lose it: expertise atrophy with organizational AI usage
9IPQ7228,context,85JVIR9X,True,s3:opus:context|s3:human:context,Automating modelica module generation using large language models: a case study 
EVIRWHTD,context,85JVIR9X,True,s3:opus:context|s3:human:context,Vibe coding: toward an AI-native paradigm for semantic and intent-driven program
XSUGEJT2,context,85JVIR9X,True,s3:opus:context|s3:human:context,Investigating autonomous agent contributions in the wild: activity patterns and 
FSASVSDT,context,85JVIR9X,True,s3:opus:context|s3:human:context|lit-review,Navigating the risks: a survey of security and privacy threats in LLM-based agen
YRBG342S,context,85JVIR9X,True,s3:opus:context|s3:human:context,Synergizing human-AI cooperation in automated software testing: a balance for en
ZP7AKMBR,context,85JVIR9X,True,s3:opus:context|s3:human:context,Investigating generative AI’s impact on software organizations’ security practic
5H6KQCJM,context,85JVIR9X,True,s3:opus:context|s3:human:context,Will it survive? Deciphering the fate of AI-generated code in open source
2VYT4B7G,context,85JVIR9X,True,s3:opus:context|s3:human:context,Artificial intelligence risk management framework (AI RMF 1.0)
ZPAZL9I7,context,85JVIR9X,True,s3:opus:context|s3:human:context,Trustworthiness of large language models for code
D84PYEZM,context,85JVIR9X,True,s3:opus:context|s3:human:context,"Invisible risks, visible code: a vision for understanding ethical debt in AI-bas"
2MPUZHQL,context,85JVIR9X,True,s3:opus:context|s3:human:context,Asleep at the keyboard? Assessing the security of GitHub copilot’s code contribu
UJL4BZZ9,context,85JVIR9X,True,s3:opus:context|s3:human:context,Application of large language models in software development: review of the curr
5F7E92UD,context,85JVIR9X,True,s3:opus:context|s3:human:context,Is vibe coding the future? An empirical assessment of LLM generated codes for co
GD3RMX4R,context,85JVIR9X,True,s3:opus:context|s3:human:context,On integrating resilience and human oversight into LLM-assisted modeling workflo
B56YY529,context,85JVIR9X,True,s3:opus:context|s3:human:context|lit-review|theme:oversight,Algorithmic accountability of low-code/No-code artificial intelligence: a litera
93672HBY,context,85JVIR9X,True,s3:opus:context|s3:human:context,“You’re on a bicycle with a little motor”: benefits and challenges of using AI c
2CBE8X9X,context,85JVIR9X,True,s3:opus:context|s3:human:context,Prompting as governance: behavioral gaps and control system failures in AI-assis
ACPKFPNE,context,85JVIR9X,True,s3:opus:context|s3:human:context,Operationalizing trust: a five-step human-in-the-loop (HITL) governance framewor
X6P3XIKC,context,85JVIR9X,True,s3:opus:context|s3:human:context,Corrective: a causal taxonomy of human runtime involvement in AI systems
GMKAC37M,context,85JVIR9X,True,s3:opus:context|s3:human:context,A systematic review of watermarking and attribution for AI generated code
NH5MSAQ4,context,85JVIR9X,True,s3:opus:context|s3:human:context,A fully automated agent for end-to-end code translation and validation
EHEQPUT7,context,85JVIR9X,True,s3:opus:context|s3:human:context|lit-review,"The ''who"", ''what"", and ''how"" of responsible AI governance: a systematic revie"
KLVCD5PJ,context,85JVIR9X,True,s3:opus:context|s3:human:context,Governing citizen development to address low-code platform challenges
MDUDAMYC,context,85JVIR9X,True,s3:opus:context|s3:human:context,"From shadow it to shadow AI–threats, risks and opportunities for organizations"
BD6EVT65,context,85JVIR9X,True,s3:opus:context|s3:human:context,On the complexities of testing for compliance with human oversight requirements 
YJECSBHW,context,85JVIR9X,True,s3:opus:context|s3:human:context,Towards automated governance: a DSL for human-agent collaboration in software pr
SHFHRTUL,context,85JVIR9X,True,s3:opus:context|s3:human:context,iCodeReviewer: improving secure code review with mixture of prompts
I7X7LTNR,context,85JVIR9X,True,s3:opus:context|s3:human:context,A preliminary study on large language models self-negotiation in software engine
ADV48DKV,context,85JVIR9X,True,s3:opus:context|s3:human:context,The stability trap: evaluating the reliability of LLM-based instruction adherenc
4VM5FRXQ,context,85JVIR9X,True,s3:opus:context|s3:human:context,Trustworthy AI software engineers
9CP6AU7D,context,85JVIR9X,True,s3:opus:context|s3:human:context,Clawed and dangerous: can we trust open agentic systems?
6JHWQ5GW,context,85JVIR9X,True,s3:opus:context|s3:human:context,Are we aligned? A preliminary investigation of the alignment of responsible AI v
MHK56HCY,context,85JVIR9X,True,s3:opus:context|s3:human:context,Agentic AI as assurance infrastructure: design principles for a continuous secon
SEVQQF2T,context,85JVIR9X,True,s3:opus:context|s3:human:context,Decision architecture - a tunable governance model for human-AI decision boundar
M29MMPY7,context,85JVIR9X,True,s3:opus:context|s3:human:context,Operating imperfect AI: reliability drift and human congestion
FYU7H5WR,context,85JVIR9X,True,s3:opus:context|s3:human:context,Beyond productivity: evaluating the hidden costs of generative AI in software de
LZPAIXTQ,context,85JVIR9X,True,s3:opus:context|s3:human:context,LLM scalability risk for agentic-AI and model supply chain security
8TD7PXM7,context,85JVIR9X,True,s3:opus:context|s3:human:context,Toward author-guided review: an agentic architecture for reflective code review
TLLPXSB5,context,85JVIR9X,True,s3:opus:context|s3:human:context,Enhancing cloud security assessment frameworks for the generative AI era: an act
4YEK87VE,context,85JVIR9X,True,s3:opus:context|s3:human:context,Generative AI and organizational structure in the knowledge economy
5KGLSCGB,context,85JVIR9X,True,s3:opus:context|s3:human:context,Exploring altered open source software development patterns in a time of generat
TTEUEB9V,context,85JVIR9X,True,s3:opus:context|s3:human:context,NIST AI 600-1: Generative Artificial Intelligence Profile
7PPE2M2I,context,85JVIR9X,True,s3:opus:context|s3:human:context,Turning off your better judgment: algorithmic conformity in artificial intellige
68R7GWHB,context,85JVIR9X,True,s3:opus:context|s3:human:context|lit-review,A survey of bugs in AI-generated code
E9JBQV78,context,85JVIR9X,True,s3:opus:context|s3:human:context,An LLM-assisted approach to designing software architectures using ADD
WEWQ9NTT,context,85JVIR9X,True,s3:opus:context|s3:human:context,Verified adversarial reasoning intelligence (VARI): multi-agent adversarial veri
M26XRCRE,context,85JVIR9X,True,s3:opus:context|s3:human:context,"Sycophancy, automation bias, and compressed diffusion: an unaddressed convergenc"
TSKXN5SS,context,85JVIR9X,True,s3:opus:context|s3:human:context,The darkest mirror: how AI authority bias threatens individual agency and what a
YWP5VZD3,context,85JVIR9X,True,s3:opus:context|s3:human:context,"Human, all too human: accounting for automation bias in generative large languag"
BAQXVTG8,context,85JVIR9X,True,s3:opus:context|s3:human:context,Inside the scaffold: a source-code taxonomy of coding agent architectures
ET5U88I7,context,85JVIR9X,True,s3:opus:context|s3:human:context,Interpretability without actionability: mechanistic intervention methods fail to
25RCNRY9,context,85JVIR9X,True,s3:opus:context|s3:human:context,Human-AI collaboration in software engineering: lessons learned from a hands-on 
NSJ9U3H3,context,85JVIR9X,True,s3:opus:context|s3:human:context,Pramana: a protocol-layer treatment of claim verification in autonomous agent ne
RRFXCNIV,context,85JVIR9X,True,s3:opus:context|s3:human:context,Tracking the moving target: a framework for continuous evaluation of LLM test ge
6EWNCJCT,context,85JVIR9X,True,s3:opus:context|s3:human:context,A multi-agent RAG framework for regulatory compliance checking of software requi
W49D6ZQU,context,85JVIR9X,True,s3:opus:context|s3:human:context,DevSecOps for secure and scalable citizen development
V2VGFTVU,context,85JVIR9X,True,s3:opus:context|s3:human:context,Assessing output reliability and similarity of large language models in software
CNGP5KBB,context,85JVIR9X,True,s3:opus:context|s3:human:context,LAURA: enhancing code review generation with context-enriched retrieval-augmente
NT8TBPDP,context,85JVIR9X,True,s3:opus:context|s3:human:context,Evaluating the source code review performance of LLM-based AI chatbots
APAJ2WGB,context,85JVIR9X,True,s3:opus:context|s3:human:context,Comparative analysis of the code generated by popular large language models (LLM
R7H5R4ET,context,85JVIR9X,True,s3:opus:context|s3:human:context,Building trustworthy AI solutions: a case for practical solutions for small busi
9IJUVTWL,context,85JVIR9X,True,s3:opus:context|s3:human:context,Assessing the security of GitHub copilot's generated code - a targeted replicati
RJYEVZY4,context,85JVIR9X,True,s3:opus:context|s3:human:context,Analyzing code injection attacks on LLM-based multi-agent systems in software de
4M94HGCT,context,85JVIR9X,True,s3:opus:context|s3:human:context,AI governance in the system development life cycle: insights on responsible mach
EGIZ2F3T,context,85JVIR9X,True,s3:opus:context|s3:human:context,Conversational AI as a coding assistant: understanding programmers' interactions
HD5ACBJD,context,85JVIR9X,True,s3:opus:context|s3:human:context,Adjust for trust: mitigating trust-induced inappropriate reliance on AI assistan
TCNBDBIP,context,85JVIR9X,True,s3:opus:context|s3:human:context,Coherence under acceleration: judgment integrity In a high-velocity convergence 
Y6SH3JXG,context,85JVIR9X,True,s3:opus:context|s3:human:context,The accountability vacuum: why agentic AI governance fails under conditions of e
4F5PX7PE,context,85JVIR9X,True,s3:opus:context|s3:human:context,Decision-making with human-in-the-loop: a field experiment of explained AI in pu
SMHWVB9J,context,85JVIR9X,True,s3:opus:context|s3:human:context,"Designing human-automation redundancy: overreliance, automation shirking, and th"
B5IQS4ZL,context,85JVIR9X,True,s3:opus:context|s3:human:context,Requirements of high-risk AI systems: AI act. Article 14. Human oversight
VYRHTLLM,context,85JVIR9X,True,s3:opus:context|s3:human:context,Turning off your better judgment -algorithmic conformity in AI-human collaborati
J998BUDB,context,85JVIR9X,True,s3:opus:context|s3:human:context,Lights-off data factory: measuring epistemic autonomy in governance-first data s
R775N6KW,context,85JVIR9X,True,s3:opus:context|s3:human:context,Operational AI governance and the runtime decision ownership gap
S85B7LEF,context,85JVIR9X,True,s3:opus:context|s3:human:context,Human-centered artificial intelligence in cybersecurity: towards trustworthy and
U9Z4PE4D,context,85JVIR9X,True,s3:opus:context|s3:human:context,AI-assisted bug prediction and code review automation using machine learning
HBUHJB3P,context,85JVIR9X,True,s3:opus:context|s3:human:context,The omission gap: defining the professional standard of care for human review of
FLDAS7UC,context,85JVIR9X,True,s3:opus:context|s3:human:context,From friction to design: verification architecture for AI-augmented institutions
MFSG8J76,context,85JVIR9X,True,s3:opus:context|s3:human:context,ISO/IEC 42001:2023 — Artificial Intelligence Management System
9ZYC2VGV,context,85JVIR9X,True,s3:opus:context|s3:human:context,An AI-assisted data migration framework for salesforce modernization (a governed
52PTUFU8,context,85JVIR9X,False,s3:opus:context,The evolution of technical debt from DevOps to generative AI: a multivocal liter
B9XME6V7,context,85JVIR9X,False,s3:opus:context,Software doping analysis for human oversight
NLVKS7SM,context,85JVIR9X,False,s3:opus:context,Promoting reliable artificial intelligence by means of an ethical foundation for
35GIS9BQ,context,85JVIR9X,False,s3:opus:context,Design patterns for machine learning-based systems with humans in the loop
QDQEBT6T,context,85JVIR9X,False,s3:opus:context,AI act high-risk requirements readiness: industrial perspectives and case compan
NAS4ZSWE,context,85JVIR9X,False,s3:opus:context,A modular code generation method for industrial automation systems based on larg
DXDKC299,context,85JVIR9X,False,s3:opus:context,"Vibe coding entanglements – repositioning boundaries of intention, authorship, a"
EFJ9USXZ,context,85JVIR9X,False,s3:opus:context,Enhancing code generation via bidirectional comment-level mutual grounding
9S7TPW3X,context,85JVIR9X,False,s3:opus:context,Can we trust the AI pair programmer? Copilot for API misuse detection and correc
Y6FAXXSG,context,85JVIR9X,False,s3:opus:context,Augmenting large language models with static code analysis for automated code qu
DQ72G4Z3,context,85JVIR9X,False,s3:opus:context,Not all trust is the same: effects of decision workflow and explanations in huma
QMKQC7SC,context,85JVIR9X,False,s3:opus:context,LLMs corrupt your documents when you delegate
FCTKES78,context,85JVIR9X,False,s3:opus:context,Lost in code generation: reimagining the role of software models in AI-driven so
FXX4A9CW,context,85JVIR9X,False,s3:opus:context,Agentic business process management: practitioner perspectives on agent governan
K4EQ3GFV,context,85JVIR9X,False,s3:opus:context,Reliance authorization in AI systems: defining operational decision thresholds —
48A4LRHQ,context,85JVIR9X,False,s3:opus:context,Artificial intelligence act: a policy prototyping experiment: operationalizing t
PPTEB7TI,context,85JVIR9X,False,s3:opus:context,How AI-AI assurance assemblages reshape trust and erode human judgment
CI9BRU7M,context,85JVIR9X,False,s3:opus:context,Bridging the gap using GPT-4 to summarize and explain static analysis warnings a
TPT6DD7N,context,85JVIR9X,False,s3:opus:context,Managing uncertainty in LLM-based multi-agent system operation
VCI7FSVP,context,85JVIR9X,False,s3:opus:context,Governance-by-design for AI compliance: compiling EU AI act duties into computab
XKUKHSNS,context,85JVIR9X,False,s3:opus:context,Toward responsible autonomy: the opportunities and obstacles of large language m
3SD23IKB,context,85JVIR9X,False,s3:opus:context,NIST AI 100-1: AI Risk Management Framework (AI RMF 1.0)
UWNI3G8N,context,85JVIR9X,False,s3:opus:context,NIST AI 100-1: AI Risk Management Framework
C2K75UGE,context,85JVIR9X,False,s3:opus:context,The vicious circles of skill erosion: a case study of cognitive automation
XXCF6IHG,context,85JVIR9X,False,s3:opus:context,The effect of AI-induced outcome favorability on vigilance performance—an explor
WMN397BS,context,85JVIR9X,False,s3:opus:context,Leveraging large language models in the software development lifecycle: opportun
G9DKEEUF,context,85JVIR9X,False,s3:opus:context,Human oversight and fail-safe mechanisms in AI agents
4VXJUF5I,context,85JVIR9X,False,s3:opus:context,From tokens to tactics: operationalizing generative AI in enterprise workflows
UIPQFFDH,context,85JVIR9X,False,s3:opus:context,Agentic business process management: practitioner perspectives on agent governan
VFZXPDJX,context,85JVIR9X,False,s3:opus:context,Enhancing human-machine pair inspection with risk number and code inspection dia
C4DWC33F,context,85JVIR9X,False,s3:opus:context,What guides our choices? Modeling developers' trust and behavioral intentions to
9YX3L9YY,context,85JVIR9X,False,s3:opus:context,Towards a roadmap on software engineering for responsible AI
Q7XTKJLZ,context,85JVIR9X,False,s3:opus:context,"Is this you, LLM? Recognizing AI-written programs with multilingual code stylome"
63HRKWDI,context,85JVIR9X,False,s3:opus:context,Enhancing pull request reviews: leveraging large language models to detect incon
MFKY7QMT,context,85JVIR9X,False,s3:opus:context,Advancing secure and standard source code generation techniques
USAEPERT,context,85JVIR9X,False,s3:opus:context,Understanding specification-driven code generation with LLMs: an empirical study
98A3UITB,context,85JVIR9X,False,s3:opus:context,Impact and implications of generative AI for enterprise architects in agile envi
4KJP7IPK,context,85JVIR9X,False,s3:opus:context,Generative AI and the transformation of software development practices
FWCGTMFN,context,85JVIR9X,False,s3:opus:context,"Governing AI agents: risk, compliance, and accountability in law and finance"
KWKXUK8X,context,85JVIR9X,False,s3:opus:context,Verifiable governance architecture (VGA) for organisations and teams with human 
H2F9R5RA,context,85JVIR9X,False,s3:opus:context,WHEEL OS™: a human governance diagnostic framework for autonomous agentic system
ADUKIXA3,context,85JVIR9X,False,s3:opus:context,From ethification to juridification: human oversight and the potential crowding 
H66M6N9R,context,85JVIR9X,False,s3:opus:context,The paradox of governance calibration at machine speed: why human intervention c
CUE8AP27,context,85JVIR9X,False,s3:opus:context,"Putting a human in the loop: increasing uptake, but decreasing accuracy of autom"
9ZEWVXCE,context,85JVIR9X,False,s3:opus:context,The confirm-conflict-validate (CCV) protocol: a multi-model governance framework
TUE9R2PH,context,85JVIR9X,False,s3:opus:context,OpenPort protocol: a security governance specification for AI agent tool access
F8EFSTBB,context,85JVIR9X,False,s3:opus:context,Governing AI-supported decision structures in cybersecurity governance: an integ
DS98KNBC,context,85JVIR9X,False,s3:opus:context,Epistemic debt: the economics of ungoverned AI
