item_key,bin,centrality,reason_code,rationale,title,authors,abstract
B5IQS4ZL,context,55,,Analysis of AI Act Article 14 human-oversight requirements is central to the governance/policy landscape though not code-specific.,Requirements of high-risk AI systems: AI act. Article 14. Human oversight,Argyri Panezi,"Requiring human oversight during the use of a high-risk AI system, Article 14 of the AI Act highlights the need for trustworthiness and advances / the anthropocentric rationale of the AI Act, rendering it a critical piece of the entire Act. / artificial intelligence, AI Act, High-risk AI systems, Human oversight, Human-in-the-loop, AI regulation"
4YEK87VE,context,57,,Theoretical model of when human-in-the-loop validation scales with cost/hallucination rates transfers well to scaling oversight of AI-generated outputs.,Generative AI and organizational structure in the knowledge economy,Fasheng Xu; Jing Hou; Wei Chen et al.,"This study develops a theoretical model to examine GenAI's impact on organizational structure and the role of human-in-the-loop oversight. / Furthermore, human-in-the-loop validation influences GenAI adoption differently based on validation costs and hallucination rates, deterring adoption in / Generative AI, Knowledge Economy, Organizational Structure, Workforce, Knowledge-based Hierarchy, Hallucination, Human-in-the-loop Validation, Labor Productivity"
9U8PK4ZP,context,50,,Work-system design to counter agency reversal offers a transferable governance mechanism for keeping humans active overseers.,Responsible engagement: human–AI work system design for counteracting agency reversal,Thomas Ware; Tian Lu; T. S. Raghu et al.,"This study examines the challenge of agency reversal in AI-assisted decision-making, where human decision-makers become passive executors of algorithmic / operational decision-making, offering practical insights for responsible AI governance in financial and other organizational contexts. / Agency Reversal, Digital Transformation, Work System Theory, Human-in-the-Loop, Responsible Engagement, Microlending"
VNQ2E7HF,context,45,,"Practical framework embedding ethics/human-in-the-loop into GenAI team workflows is adjacent governance material, transferable but not code-specific.",Embedding ethical principles into generative AI workflows for project teams,Venkatraman Viswanathan,"Integrating ethical principles into generative AI workflows is essential as project teams increasingly depend on AI tools for collaborative tasks such / A practical framework is proposed to embed ethics into AI workflows across critical project stages. / Generative AI, Responsible AI, Ethical Frameworks, Workflow Design, AI Governance, Project Teams, Project Workflows, Human-in-the-loop, Bias Mitigation / , AI Ethics, Team Collaboration, AI workflow design"
L5V2845I,context,33,,AI-augmented audit framework with human-in-the-loop cycle is weakly transferable governance/assurance work partly entangled with blockchain.,The AI-augmented internal audit: an operational framework for a self-learning,Atsushi Funaishi,"Purpose: This paper aims to translate the ""management theory using ISO, AI, and blockchain"" presented in the author's prior research into a practical, / a ""human-in-theloop"" data cycle that promotes AI learning, and a collaborative reporting workflow. / Internal Audit, Conformity, Compliance, Effectiveness, IMS, TM, Self-learning, Governance, ISO 19011, ISO 9001/14001/45001, Process Mining, Human-in-the-Loop / , AI Governance, AI Assurance, AI-augmented Audit, Continuous Auditing, Continuous Monitoring"
D2ZIMQ95,context,50,,Multidimensional evaluation framework for agentic AI (human-in-the-loop scoring) transfers to oversight/evaluation triggers for AI outputs.,"Evaluating agentic AI systems: a balanced framework for performance, robustness, safety and beyond",Manish Shukla,"We argue that multidimensional evaluation-combining automated metrics with human-in-the-loop scoring and economic analysis-is essential for responsible / adoption of agentic AI. / Agentic AI, Multi-Agent Systems, Evaluation Framework, Goal-Drift, Ethical AI, AI Governance"
QULWS3JL,context,45,,"Design-science GenAI internal-control framework with continuous monitoring and human-in-the-loop is a transferable oversight architecture, not code-specific.",Interactive and dynamic internal controls for data security a GenAI-enabled framework and design-science evaluation,haotian wang; YaRu Jiang,"We propose GenAI-IDC, an interactive and dynamic framework that operationalizes generative AI within Accounting Information Systems (AIS) to strengthen / the artifact integrates a privacy gateway, retrieval-augmented generation (RAG), guarded GenAI reasoning, and continuous control monitoring (CCM) with human-in-the-loop / Accounting Information Systems, Internal Control, Continuous Monitoring, Generative AI, COSO, COBIT"
VYRHTLLM,context,55,,Empirical study of algorithmic conformity/overreliance mediated by normative pressure transfers directly to developer overtrust in AI code.,Turning off your better judgment -algorithmic conformity in AI-human collaboration,Yotam Liel; Lior Zalmanson,"As AI becomes increasingly integral to society, humans’ tendency to forgo their own judgment to adopt algorithmic advice is eliciting substantial concern / This overreliance was partially mediated by normative pressure, measured as discomfort at disagreeing with AI. / Human-AI Interaction, Algorithmic Advice, Overreliance on AI, Algorithmic Authority, Human-in-the-Loop, Trust in AI, Conformity"
EB9D98W5,core,72,,Directly addresses scalable oversight of AI-generated code via LLM-in-the-loop assessment plus human-in-the-loop for safety/quality of generated PLC code.,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming,Ketut Adnyana; Andreas Schwung,"Industrial automation in Industry 5.0 demands deterministic and safety-compliant PLC code across heterogeneous vendor ecosystems. / similarity, LLM-in-the-Loop (LITL) provides scalable semantic assessment across functional correctness, readability, safety compliance, and modularity, while Human-in-the-Loop / Industrial AI, deterministic prompt engineering, fixed-prompt validation, human-in-the-loop, LLM-in-the-loop, programmable logic controller (PLC) programming"
Y5LGJ7L7,context,48,,"Empirical study of human discernment/corrective override of algorithmic errors transfers to whether reviewers can catch flawed AI outputs, though child-welfare domain.",Human discernment of algorithmic errors: a case study in child welfare,Riccardo Fogliato; Maria De-Arteaga; Alexandra Chouldechova,"The use of artificial intelligence (AI) technologies, such as machine learning algorithms, to assist decision-makers in high-stakes domains has been met / Human in the loop, Decision support, Corrective overrides, Algorithm aversion, Automation bias, Algorithm-assisted decision-making, Child welfare"
