seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
11,YRBG342S,"Synergizing human-AI cooperation in automated software testing: a balance for enhanced efficiency, reliability, and trust",2025,conferencePaper,"Achieving reliable and trustworthy automated software testing requires a synergistic approach that leverages both human expertise and AI capabilities. This position paper argues that active human oversight is crucial for addressing key challenges such as the test oracle problem and training data bias. By fostering human-AI cooperation, potential biases and inaccuracies can be mitigated, leading to more efficient, reliable, and trustworthy automated testing. This approach also aligns with principles from the EU AI Act, which emphasizes the need for effective human control over AI systems. The paper concludes by outlining a future research agenda focused on developing frameworks to foster seamless human-AI collaboration and presenting several open research questions vital for advancing the field.  © 2025 IEEE.",,,,
12,Y5LGJ7L7,Human discernment of algorithmic errors: a case study in child welfare,2025,journalArticle,"The use of artificial intelligence (AI) technologies, such as machine learning algorithms, to assist decision-makers in high-stakes domains has been met / Human in the loop, Decision support, Corrective overrides, Algorithm aversion, Automation bias, Algorithm-assisted decision-making, Child welfare",,,,
13,DY2Y5QE3,"Rogue AI agents won't be testifying-you will: agentic AI, IP and liability risks, and a path forward",2026,journalArticle,"systems act beyond intended bounds, interact with restricted systems, accept terms, access protected data, or make external representations on behalf of an organization / For companies operating in IP-intensive and regulated environments, agentic AI governance must be treated not as a technical afterthought but as a core",,,,
14,EB9D98W5,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming,2025,journalArticle,"Industrial automation in Industry 5.0 demands deterministic and safety-compliant PLC code across heterogeneous vendor ecosystems. / similarity, LLM-in-the-Loop (LITL) provides scalable semantic assessment across functional correctness, readability, safety compliance, and modularity, while Human-in-the-Loop / Industrial AI, deterministic prompt engineering, fixed-prompt validation, human-in-the-loop, LLM-in-the-loop, programmable logic controller (PLC) programming",,,,
15,MPU6HLPS,ENCO: deploying production-scale engineering copilots,2026,conferencePaper,"Software engineers frequently grapple with the challenge of accessing fragmented documentation and telemetry data, such as Troubleshooting Guides (TSGs), incident reports, code repositories, and internal tools maintained by different teams. In this work, we introduced ENCO, a comprehensive framework for developing, deploying, and managing copilots tailored to improve productivity in large scale production scenarios. The framework combines an innovative NL2SearchQuery module with a lightweight hierarchical agentic planner to enable accurate and efficient retrieval-augmented generation (RAG) for code, semi-structured data and documents. These components allow the copilot to retrieve relevant information from diverse sources and invoke the right skills with low latency to answer highly complex technical questions. Since its launch in September 2023, ENCO has demonstrated its effectiveness through widespread adoption, enabling tens of thousands of interactions and engaging over 1,000 monthly active users (MAUs). The system has been continuously optimized based on usage patterns and user feedback, resulting in measurable improvements in response relevance, latency, and user satisfaction.",,,,
16,Q6SVKUCU,Nondeterministic torts: a technical approach to AI liability,2025,journalArticle,"But modern artificial intelligence (AI) systems, specifically large language models (LLMs) and other types of “generative AI” (GenAI), challenge this assumption / Even as AI applications spread rapidly, liability for AI systems gone awry remains an open question. / tort law, negligence, product liability, artificial intelligence, AI, LLMs, large language models, emerging technology",,,,
17,5I2W8IC6,Mapping the trust terrain: LLMs in software engineering - insights and perspectives,2025,journalArticle,"The application of Large Language Models (LLMs) in Software Engineering (SE) continues to grow rapidly across both industry and academia. As these models become integral to critical SE processes, ensuring their reliability and trustworthiness becomes essential. Achieving this requires a balanced approach to trust: excessive trust can introduce security vulnerabilities, while insufficient trust may hinder innovation. However, the conceptual landscape of trust in LLMs for SE(LLM4SE) remains unclear. Key concepts such as trust, distrust, and trustworthiness lack precise definitions, factors that shape trust formation remain underexplored, and metrics for trust in LLMs remain undeveloped. To clarify the current research landscape and identify future directions, we conducted a comprehensive review of (88) articles: a systematic review of (18) studies on LLMs in SE, supplemented by an analysis of (70) articles from the broader trust literature. Furthermore, we surveyed (25) domain experts to gather practitioners’ perspectives on trust and identify gaps between their experiences and the existing literature. Our findings provide a structured overview of trust-related concepts in LLM4SE, outlining key areas for future research. This study contributes to building more trustworthy LLM-assisted software engineering processes, ultimately supporting safer and more effective adoption of LLMs in SE.",,,,
18,4YKMK4ZI,On the impossibility of observability-based authorization: a formal impossibility result for ex-ante AI governance,2026,journalArticle,"compliance evidence remain underdeveloped. / Implications for procurement, audit, and regulatory oversight are discussed, along with limitations and directions for empirical benchmarking. / AI governance, governance laundering, policy theater, compliance architecture, failure modes, anti-laundering tests, deterministic governance, evidence-grade / governance, AI regulation, regulatory compliance, audit methodology, independent verification, algorithmic accountability, evidentiary standards",,,,
19,TFZ594LZ,"Intention, integration, and the implementation gap: why AI governance frameworks are misread as risk checklists",2026,journalArticle,"The EU AI Act and ISO/IEC 42001 are widely treated as risk-management checklists, yet both frameworks are constructed around a different object: the AI / AI Act, ISO 42001 Clauses 6.1.2 and 6.1.4, and the NIST AI RMF. / AI governance, EU AI Act, ISO/IEC 42001, intended purpose, compliance theatre, human-AI delegation, integration ontology, AI risk management",,,,
20,BP8HVTMW,Fingerprinting AI coding agents on GitHub,2026,preprint,"AI coding agents are reshaping software development through both autonomous and human-mediated pull requests (PRs). When developers use AI agents to generate code under their own accounts, code authorship attribution becomes critical for repository governance, research validity, and understanding modern development practices. We present the first study on fingerprinting AI coding agents, analyzing 33,580 PRs from five major agents (OpenAI Codex, GitHub Copilot, Devin, Cursor, Claude Code) to identify behavioral signatures. With 41 features spanning commit messages, PR structure, and code characteristics, we achieve 97.2% F1-score in multi-class agent identification. We uncover distinct fingerprints: Codex shows unique multiline commit patterns (67.5% feature importance), and Claude Code exhibits distinctive code structure (27.2% importance of conditional statements). These signatures reveal that AI coding tools produce detectable behavioral patterns, suggesting potential for identifying AI contributions in software repositories.",,,,
21,TI4RF68X,Towards the integration of large language models into the software development life cycle: a systematic literature review,2025,conferencePaper,"Models (LLMs) are reshaping the Software Development Life Cycle (SDLC) by introducing new levels of automation and intelligent assistance across core phases, including requirements engineering, design, testing, and maintenance. Previous works have examined the adoption of LLM in these areas, but have overlooked its influence on traditional practices in SDLC. Therefore, this paper builds upon this foundation and investigates, from a phase-level perspective, how LLMs interact with the SDLC as a whole and whether their presence necessitates rethinking of conventional methodologies. To achieve this objective, this article reviews the state of the field using a systematic literature review method. Peer-reviewed studies published between 2019 and 2025, examining the integration, benefits, and limitations of LLM within SDLC are analyzed. The findings indicate that LLMs are most commonly applied in implementation and testing, where they improve productivity through code generation, test automation, and fault localisation. However, their adoption also introduces challenges related to model hallucination, contextual misalignment, computational overhead, and ethical risks such as bias and opacity. Therefore, we synthesise several LLM integration patterns and stress various risk mitigation strategies that can be adopted to enhance the integration of LLMs into software engineering practices. The study concludes by outlining practical implications for software teams and proposing future research directions to improve LLM’s integration with agile, DevOps and CI/CD workflows.",,,,
22,XKEY3YYF,Evaluating human-language model interaction,2024,preprint,"Many real-world applications of language models (LMs), such as writing assistance and code autocomplete, involve human-LM interaction. However, most benchmarks are non-interactive in that a model produces output without human involvement. To evaluate human-LM interaction, we develop a new framework, Human-AI Language-based Interaction Evaluation (HALIE), that defines the components of interactive systems and dimensions to consider when designing evaluation metrics. Compared to standard, non-interactive evaluation, HALIE captures (i) the interactive process, not only the final output; (ii) the first-person subjective experience, not just a third-party assessment; and (iii) notions of preference beyond quality (e.g., enjoyment and ownership). We then design five tasks to cover different forms of interaction: social dialogue, question answering, crossword puzzles, summarization, and metaphor generation. With four state-of-the-art LMs (three variants of OpenAI's GPT-3 and AI21 Labs' Jurassic-1), we find that better non-interactive performance does not always translate to better human-LM interaction. In particular, we highlight three cases where the results from non-interactive and interactive metrics diverge and underscore the importance of human-LM interaction for LM evaluation.",,,,
23,I7X7LTNR,A preliminary study on large language models self-negotiation in software engineering,2025,conferencePaper,"Large Language Models (LLMs) have shown great potential in code-related software engineering tasks, including code generation, classification, and understanding. While current research primarily focuses on direct inference with single LLMs, this approach may fall short for complex tasks due to ambiguous instructions. To address this limitation, we propose LLM selfnegotiation, where multiple LLMs collaborate and debate to reach consensus on code-related tasks. This approach aims to better handle unclear instructions and improve overall effectiveness. We evaluated LLM self-negotiation in three key software engineering domains: Equivalent Mutant Detection (EMD), Automated Vulnerability Detection (AVD), and Automated Program Repair (APR). These domains represent distinct aspects of coderelated tasks: functionality understanding, code classification, and code generation, respectively. Our experimental results revealed varying effectiveness across domains. In EMD, LLM self-negotiation demonstrated remarkable improvements, with most models showing performance gains between 114.72 % and 351.01% (though CodeLlama experienced a minor 4.5% decrease in F1-score). For APR tasks, self-negotiation performed comparably to single LLM implementations. However, in AVD, the results were mixed - while Vicuna showed improved F1-scores, most models exhibited lower recall rates. These findings indicate that LLM self-negotiation is particularly promising for functionality understanding tasks, while its application to code classification and generation requires further research and refinement.",,,,
24,TTEUEB9V,NIST AI 600-1: Generative Artificial Intelligence Profile,2024,report,,,,,
25,CWUPRIIQ,Automated code review In practice,2024,preprint,"Code review is a widespread practice to improve software quality and transfer knowledge. It is often seen as time-consuming due to the need for manual effort and potential delays. Several AI-assisted tools, such as Qodo, GitHub Copilot, and Coderabbit, provide automated reviews using large language models (LLMs). The effects of such tools in the industry are yet to be examined. This study examines the impact of LLM-based automated code review tools in an industrial setting. The study was conducted within a software development environment that adopted an AI-assisted review tool (based on open-source Qodo PR Agent). Around 238 practitioners across ten projects had access to the tool. We focused on three projects with 4,335 pull requests, 1,568 of which underwent automated reviews. Data collection comprised three sources: (1) a quantitative analysis of pull request data, including comment labels indicating whether developers acted on the automated comments, (2) surveys sent to developers regarding their experience with reviews on individual pull requests, and (3) a broader survey of 22 practitioners capturing their general opinions on automated reviews. 73.8% of automated comments were resolved. However, the average pull request closure duration increased from five hours 52 minutes to eight hours 20 minutes, with varying trends across projects. Most practitioners reported a minor improvement in code quality due to automated reviews. The LLM-based tool proved useful in software development, enhancing bug detection, increasing awareness of code quality, and promoting best practices. However, it also led to longer pull request closure times and introduced drawbacks like faulty reviews, unnecessary corrections, and irrelevant comments.",,,,
