item_key,decision,category,title,authors,year,url,rationale,abstract,human,human_decision,chatgpt,chatgpt_decision,chatgpt_batch,gemini,gemini_decision,gemini_batch
6IVNISGL,discard,OffTopicOther,Is something rotten in the grand duchy of Luxembourg?,Omri Y. Marian,2016,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2860793,"Paper is about tax avoidance/transfer pricing in Luxembourg (LuxLeaks scandal), with no connection to AI, code generation, or software governance.","The documents revealed that by securing ATAs in Luxembourg, MNEs were able to avoid high tax liability in jurisdictions where they had real activity and / The article then discusses the difficulty in obtaining facts about the role played by the individuals involved, in particular Marius Kohl and Jean-Claude",FALSE,,FALSE,,,TRUE,discard,6
28ERP52N,discard,OffTopicOther,"Associations between superoxide dismutase, malondialdehyde and all-cause mortality in older adults: a community-based cohort study",Chen Mao; Jin-Qiu Yuan; Yue-Bin Lv; Xiang Gao; Zhao-Xue Yin,2018,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3244028,"Epidemiological study on oxidative stress biomarkers and mortality in older adults; no connection to AI, code generation, or governance.","Compared with the lowest quintile, the risk of all-cause mortality was inversely associated with increasing quintiles of plasma SOD activity in women(P-trend / National Institute of Aging/United Nations Fund for Population Activities, and Claude D. Pepper Older Americans Independence Centers grant.",FALSE,,FALSE,,,FALSE,,
YTQ3IU4R,discard,OffTopicOther,Denture use protects against all-cause mortality associated with tooth loss in older adults,Jin-Qiu Yuan; Yue-Bin Lv; Virginia Byers Kraus; Xiang Gao; Zhao-Xue Yin,2018,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3258655,"Dental health study on dentures and mortality in older adults — completely unrelated to AI, code, or governance.","Denture use was associated with lower risk of mortality (HR 0.81; 95% CI, 0.77 to 0.84). / National Institute of Aging, United Nations Fund for Population Activities, and Claude D. Pepper Older Americans Independence Centers grant.",FALSE,,FALSE,,,FALSE,,
UPWV25BJ,discard,FinanceTrading,Ten years after: reflections on the global financial crisis,Laurence B. Siegel; Luis García-Feijóo,2019,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3485770,"Historical discussion of the 2008 financial crisis among central bankers with no AI, code generation, or governance angle relevant to the SLR.","An edited and annotated transcript of a conversation between central bankers Ben Bernanke, Lord Mervyn King, and Jean-Claude Trichet about the crisis makes / created by undercapitalized institutions (risk capacity).",FALSE,,FALSE,,,FALSE,,
ZN9GETNS,discard,OffTopicOther,Seroprevalence of SARS-CoV-2 among adults in three regions of France following the lockdown and associated risk factors: a multicohort study,Fabrice Carrat; Xavier de Lamballerie; Delphine Rahib; Hélène Blanché; Nathanael Lapidus,2020,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3696820,"Epidemiological study on COVID-19 seroprevalence with no connection to AI, code generation, or software governance.","seroprevalence of SARS-CoV-2 infection in May-June 2020 after the lockdown in adults living in three regions in France and to identify the associated risk / Nathanael Lapidus, Delphine Rahib, Nathalie Lydié, Hélène Blanché, Jean-François Deleuze, Marie-Aline Charles, Prof Pierre-Yves Ancel, Alexandra Rouquette, Claude / SARS-CoV-2, COVID-19, general population, cohort, seroprevalence, risk factors",FALSE,,TRUE,discard,10,FALSE,,
TUQHVDRU,maybe,,'European digital sovereignty': successfully navigating between the 'brussels effect' and Europe’s quest for strategic autonomy,Theodore Christakis,2020,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3748098,"Covers EU digital sovereignty and legislative frameworks including Data Governance Act, which may intersect with AI governance and regulatory compliance relevant to the SLR's EU AI Act angle, but the abstract is incomplete and focus appears to be on geopolitical/trade sovereignty rather than AI over","When Jean-Claude Juncker, then President of the European Commission, proclaimed in 2018 that “The Hour of European Sovereignty” had come, half of Europe / While doing so, this study presents a panorama of the most recent le-gislative proposals (such as the Data Governance Act) and the most important debates",FALSE,,FALSE,,,FALSE,,
Z6VTVDYD,discard,WeaponsSpecific,War without oversight: challenges to the deployment of autonomous weapons,Paddy Walker,2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3757516,"Focuses specifically on autonomous weapons systems and lethal military hardware, with no governance angle transferable to AI-generated code or organizational AI risk management.","This weapon technology may still be in its infancy, but both semi-autonomous and other pre-cursor systems are already in service. / This thesis identifies the manifest complexity involved in fielding a weapon that can operate without human oversight while still retaining value",FALSE,,FALSE,,,FALSE,,
355IT6KN,discard,WeaponsSpecific,Leadership challenges to the deployment of autonomous weapons (AWS),Paddy Walker,2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3757523,"Paper is specifically about autonomous weapons systems deployment and military leadership challenges, with no transferable AI governance or organizational oversight angle.","This weapon technology may still be in its infancy, but both semi-autonomous and other pre-cursor systems are already in service. / This paper identifies the manifest complexity involved in fielding a weapon that can operate without human oversight while still retaining value",FALSE,,TRUE,discard,10,FALSE,,
VYHT7BYC,discard,OffTopicOther,Downside risks in mergers and acquisitions: evidence from acquirers’ mandatory risk factor disclosure,Feng Guo; Tingting Liu; Tao Shu; Xinyan Yan,2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3746734,"Paper is about M&A financial risk disclosure and post-merger outcomes; ChatGPT is used only as an analytical tool for classification, with no governance, oversight, or AI-generated code angle.","An unsupervised topic modeling approach identifies four major risk factors: product risk, valuation risk, accounting risk, and dilution risk, which together / Additionally, the risk factors have varying associations with the specific post-merger integration issues identified by ChatGPT. / risks in M&A, S-4 risk factor disclosure, product risk, valuation risk, accounting risk, dilution risk, post-merger outcomes, ChatGPT JEL Classification",FALSE,,FALSE,,,FALSE,,
MEX7QUCP,maybe,,Predicting consumer contracts,Noam Kolt,2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3844988,"Covers AI governance in a legal context (consumer contract analysis with LLMs), which is adjacent to AI accountability and risk management frameworks even if not directly about code generation oversight.","performing legal tasks, such as reading consumer contracts, and confronting the associated challenges requires a combination of thoughtful engineering and governance / Artificial Intelligence, Consumer Contracts, ChatGPT, GPT-3, Language Models, Bias, Governance",FALSE,,FALSE,,,FALSE,,
5L33SZH5,discard,FinanceTrading,Stock price crash risk and the ManagerialRhetoric mechanism: evidence from R&D narrative disclosure in 10-K filings,Panayiotis C. Andreou; Neophytos Lambertides; Marina Magidou,2021,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3891736,Paper is about stock price crash risk and managerial rhetoric in financial disclosures; ChatGPT is used only as a text analysis tool with no oversight or governance angle relevant to AI-generated code risk.,"Using ChatGPT, we demonstrate that this managerial rhetoric is contextually relevant and aligns with cues indicative of investor optimism. / Intriguingly, stronger internal corporate governance does not mitigate the managerial rhetoric-crash relation. / Stock price crash risk, Managerial rhetoric channel, Narrative disclosure, Textual analysis, 10-K filings, Research and development, Agency theory, Corporate / governance",FALSE,,TRUE,discard,7,FALSE,,
GIIE3YD7,discard,ClinicalNarrow,Impact of polypharmacy and potentially inappropriate medications among older adults with blood cancers,Tammy Hshieh; Clark Dumontier; Tim Jaung; Nupur Bahl; Chelsea Hawley,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4016485,"Purely a clinical pharmacology study about polypharmacy in elderly cancer patients with no AI, governance, or oversight angle.","We quantified each patient’s total number of medications and PIMs using Anticholinergic Risk Scale (ARS) and National Cancer Care Network (NCCN) Medications / Boston Claude D. Pepper Older Americans Independence Center, National Institute on Aging grant P30-AG013679 (C.D.).",FALSE,,FALSE,,,FALSE,,
DGPNSTFX,maybe,,"FinTech regulation in the United States: past, present, and future",Jillian Grennan,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4045057,"RegTech frameworks, automated decision-making governance, and AI liability/compliance mechanisms are potentially transferable to AI code risk management, though the focus is FinTech-specific rather than AI-generated code oversight.","Yet this transformation introduces legal uncertainty and risks related to liability, cybercrime, taxation, and adjudication. / I offer regulatory solutions, including RegTech frameworks, compliance-incentivizing mechanisms, collaborative governance models, proactive enforcement / DeFi, Decentralized Autonomous Organizations, DAOs, Automated decision-making, Artificial Intelligence, Big Data, Data Mining, Privacy, DAOs, Taxation, Liability / , Decentralized Autonomous Entrepreneurs, DAEs, Web3, Agentic AI, RegTech, Cybercrime, Howey Test, NFT",FALSE,,FALSE,,,FALSE,,
GZICY9PN,discard,OffTopicOther,InnoVAE: generative AI for mapping patents and firm innovation,Zhaoqi Cheng; Dokyun Lee; Prasanna Tambe,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3868599,"Paper is about using generative AI to analyze patent data for innovation mapping and managerial decision support, with no connection to AI code generation oversight, human-in-the-loop governance, or scalable oversight frameworks.","engineering new, intuitive features from unstructured text that facilitate analysis of patent activity, and (3) augmenting patent applications to mitigate the risk / generative AI, patents, machine learning, interpretability, economics of innovation, managerial decision support, ChatGPT, large language models",FALSE,,TRUE,maybe,2,FALSE,,
J4TU9ZFY,discard,OffTopicOther,"Entropy, double entry accounting and quantum entanglement",John C. Fellingham; Haijin Lin; Douglas Schroeder,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4179661,"Paper applies information theory to accounting/finance with no connection to AI-generated code, oversight, or governance.","This paper analyzes accounting using information theory developed by Claude Shannon and others. / The major assumptions used in deriving the state observable equiv- alences are constant relative risk aversion preferences, arbitrage free prices, and",FALSE,,FALSE,,,FALSE,,
UNLZYNZ5,keep,,The European AI liability directives – critique of a half-hearted approach and lessons for the future,Philipp Hacker,2022,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4279796,"Directly addresses EU AI liability law and legal accountability frameworks for AI systems, highly relevant to the governance/liability angle of managing AI risk.","With ChatGPT and other large generative models taking the technology to the next level, solutions are urgently needed. / General-purpose AI systems and Foundation Models should only be subjected to high-risk regulation, including liability for high-risk AI systems, in specific / AI, artificial intelligence, machine learning, liability, tort law, product liability, law and economics, EU law, ChatGPT",FALSE,,FALSE,,,FALSE,,
RZRW87WI,keep,,The use of artificial intelligence in corporate decision-making at board level: a preliminary legal analysis,Floris Mertens,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4339413,"Directly addresses human supervision of AI in corporate decision-making, liability for algorithmic failure, and governance frameworks — all central to the SLR's focus on oversight and accountability for AI systems.","Praised popular applications of artificial intelligence (AI) such as ChatGPT are merely a demonstration of AI’s potential in the business world. / to the delegation of decision rights to AI, the full replacement of human directors by AI, the required human supervision of AI and the attribution of liability / Artificial Intelligence, Corporate Law, Company Law, Board of Directors, Corporate Governance, Decentralized Autonomous Organisation, Algorithmic Entity / , Decision-Making, Delegation, Robo-Director, Liability for Algorithmic Failure",FALSE,,FALSE,,,FALSE,,
NIMWW5HK,discard,K12pedagogy,‘Words are flowing out like endless rain into a paper cup’: ChatGPT & law school assessments,Stuart Hargreaves,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4359407,"Paper evaluates ChatGPT's ability to generate law school exam answers and academic dishonesty risk in higher education assessments, with no governance or oversight framework angle.","Concerns have been raised it poses a significant risk of academic dishonesty in ‘take-home’ assessments in higher education. / To evaluate this risk in the context of legal education, this project had ChatGPT generate answers to twenty-four different exams from an English-language / law, ChatGPT, AI, artificial intelligence, higher education, law schools, assessments, plagiarism",FALSE,,TRUE,discard,8,FALSE,,
D8QAB2EI,maybe,,The risks of using ChatGPT to obtain common safety-related information and advice,Oscar Oviedo-Trespalacios; Amy E. Peden; Thomas Cole-Hunter; Arianna Costantini; Milad Haghani,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4346827,"Examines AI reliability and responsible risk management in safety-critical information contexts — governance/oversight angle (AI accountability, responsible risk management) is transferable to AI code generation oversight, though not directly about code.","ChatGPT is a highly advanced AI language model that has gained widespread popularity. / ChatGPT made incorrect or potentially harmful statements and emphasized individual responsibility, potentially leading to ecological fallacy. / Artificial Intelligence, Responsible risk management, Risk communication, Safety Science, Chatbot, Human-AI Interaction",FALSE,,TRUE,maybe,3,FALSE,,
MQKWBFZQ,maybe,,Do ChatGPT and other AI chatbots pose a cybersecurity risk? - an exploratory study,Glorin Sebastian,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4363843,"Explores cybersecurity risks of AI chatbots which is adjacent to AI risk management/governance, but the abstract is thin and unclear whether it addresses organizational oversight or just technical vulnerability — borderline worth human review.","The emergence of large language models, such as ChatGPT, has enabled the creation of highly sophisticated chatbots that can mimic human conversations with / As part of this research, a survey was conducted to explore the cybersecurity risks associated with AI-based chatbots like ChatGPT. / Artificial Intelligence (AI), ChatGPT, Generative Pretrained Transformer 3 (GPT-3), natural language processing (NLP), Cybersecurity",FALSE,,FALSE,,,FALSE,,
INKKWVND,discard,OffTopicOther,Creative destruction in digital ecosystems revisited,Thomas Hoppner,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4366719,"Paper is about antitrust, competition policy, and digital market dynamics around AI platforms (Google vs. Microsoft/OpenAI), with no governance, oversight, or code-generation angle.","It was assumed that the permanent risk of disruptive innovations, Joseph Schumpeter’s “perennial gale of creative destruction,” would sufficiently discipline / Accordingly, when Microsoft/OpenAI launched ChatGPT in November 2022, expectations went viral that “Google is done,” only to witness Google counter with / antitrust, competition, digital ecosystems, innovation, ChatGPT, digital disruption, gatekeepers, contestability, digital markets",FALSE,,FALSE,,,FALSE,,
LTUJ3B22,discard,OffTopicOther,Creation of pseudo empowered world with ChatGPT,Chandan Medatwal,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4376177,"Focuses on societal harms of ChatGPT (bias, misinformation, pseudo-empowerment) with no connection to code generation, software oversight, or AI governance frameworks.","Creation of Pseudo Empowered World with ChatGPT delves into the impact of artificial intelligence, specifically ChatGPT, in creating an illusory sense / It highlights the risk of prejudice and discrimination, privacy concerns, and the possibility of ChatGPT being employed to disseminate false information / Artificial Intelligence, ChatGPT, Empowerment, Bias, Discrimination, Privacy, Misinformation, Propaganda, Pseudo- empowerment.",FALSE,,FALSE,,,FALSE,,
GS2KU8LH,discard,OffTopicOther,A manager and an AI walk into a bar: does ChatGPT make biased decisions like we do?,Yang Chen; Samuel Kirshner; Anton Ovchinnikov; Meena Andiappan; Tracy Jenkin,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4380365,"Examines whether ChatGPT replicates human cognitive biases in operations management decisions — no oversight, governance, or code-generation angle.","learn from human data and feedback, which can be biased, determining whether LLMs exhibit human-like behavioral decision biases (e.g., base-rate neglect, risk / To understand this, we examine 18 common human biases that are important in operations management (OM) using the dominant LLM, ChatGPT. / chatGPT, behavior, bias, decision-making, experiment, framing, overconfidence, ambiguity, prospect theory, operations, behavioral operations, BOM, MSOM",FALSE,,FALSE,,,TRUE,keep,7
MZ3S3G8J,maybe,,How ChatGPT and generative AI systems will revolutionize legal services and the legal profession,Rupert Macey-Dare,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4366749,"Legal AI governance and regulatory compliance angles make this potentially transferable to AI risk management frameworks, though the focus appears to be on legal services transformation rather than oversight of AI-generated outputs.","marketing, Legal research, Litigation support, Natural language processing (NLP), Patent analysis, Predictive analytics, Regulatory compliance, Research, Risk / Cost reduction, Customization, Decision-making, Efficiency, Error-reduction, New business and innovation, Job displacement potential, Legal research, Risk / ChatGPT, OpenAI, generative AI, legal technology, legal expert, expert system, robolawyer, LLMs, China, Legal Tech, Legal AI",TRUE,discard,FALSE,keep,,FALSE,keep,
2MFQT8NI,discard,K12pedagogy,Could ChatGPT win the UK university challenge and US college bowl competitions? Yes- most probably by KO.,Rupert Macey-Dare,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4364298,Paper is about ChatGPT performance on university quiz competitions and AI-assisted cheating in exams — pure academic integrity/education context with no governance or oversight angle.,v Imperial and for ChatGPT v Reading. / It also implies that there is a huge risk of AI assisted cheating in any exam type tests that are analogous to University Challenge in requiring,FALSE,,FALSE,,,FALSE,,
YQR4Z2IU,discard,OffTopicOther,Role of chatGPT in law: according to chatGPT,Som Biswas,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4405398,"Single-author opinion/advocacy piece using ChatGPT to answer questions about itself in legal contexts, no methodology, no governance framework, no oversight angle relevant to AI-generated code risk.","However, ChatGPT also has limitations that must be taken into consideration, such as limited expertise, a lack of understanding context, the risk of bias / The author acknowledges asking chatGPT questions regarding its uses for law. / chatGPT, Law, AI, Artificial Intelligence",FALSE,,FALSE,,,FALSE,,
75FZUNPE,discard,OffTopicOther,The function of chat GPT in social media: according to chat GPT,Som Biswas,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4405389,"Paper is about ChatGPT's role in social media applications; the mention of 'human oversight' appears incidental to scaling chatbots, not governance of AI-generated code or organizational risk management.","ChatGPT is a powerful AI technology that has potential uses in social media, including customer service automation, content generation, chatbots, sentiment / to consider, such as its lack of empathy, potential for bias and inaccuracies, limited context awareness, difficulties in scaling, and need for human oversight / chatGPT, social media, AI, Artificial Intelligence",FALSE,,FALSE,,,FALSE,,
M5RZH26G,discard,ClinicalNarrow,Putting ChatGPT’s medical advice to the (turing) test,Oded Nov; Nina Singh; Devin Mann,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4413305,"Narrow study on patient trust in ChatGPT medical advice with no governance, oversight, or risk management angle.","In the survey, each patient’s question was followed by a provider- or ChatGPT-generated response. / Laypeople appear to trust the use of chatbots to answer lower risk health questions. / ChatGPT; Generative AI; Medical Advice; Turing Trst",FALSE,,FALSE,,,FALSE,,
9HDKVSFN,discard,OffTopicOther,ESG considerations in acquisitions and divestitures: corporate responses to mandatory ESG disclosure,Tong Li; Qilin Peng; Luping Yu,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4376676,"ESG disclosure in M&A finance with no AI governance, code oversight, or scalable oversight angle; ChatGPT is used only as an analysis tool for financial text.","As demands for environmental, social, and governance (ESG) data grow, mandatory ESG disclosure regulations are becoming more prevalent globally. / Our ChatGPT-based analysis reveals a notable increase in ESG-related discussions during merger and acquisition conference calls subsequent to the implementation / ESG Reporting, Mergers and Acquisitions, Divestiture, Green Innovation, ChatGPT",FALSE,,FALSE,,,TRUE,keep,7
RC83GJKF,discard,K12pedagogy,ChatGPT and AI: the game changer for education,Xiaoming Zhai,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4389098,"Paper is about AI's impact on education and ChatGPT as an educational tool, with no governance or oversight angle beyond educational quality management.","This paper explores the impact of artificial intelligence (AI) on education, particularly the role of ChatGPT, a pre-trained natural language model developed / of educational resources, and improve the oversight of educational quality. / ChatGPT, Artificial Intelligence (AI), Pre-trained natural language model, Education, Game Changer",FALSE,,FALSE,,,FALSE,,
YX7PEYFT,discard,VotingDemocracy,Outsourcing voting to AI: can ChatGPT advise index funds on proxy voting decisions?,Chen Wang,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4413315,"Paper is specifically about AI-assisted proxy voting decisions for index funds, which falls squarely in the voting/elections discard category with no scalable oversight or code governance angle.","Released in November 2022, Chat Generative Pre-training Transformer (“ChatGPT”), has risen rapidly to prominence, and its versatile capabilities have already / lack the financial resources to make informed proxy voting decisions that align with their shareholders’ interests, this Article considers the use of ChatGPT / ChatGPT, Large Language Models, AI, Generative AI, corporate governance, institutional investors, proxy voting, index funds",FALSE,,FALSE,,,FALSE,,
7PT7AIU4,keep,,Regulation priorities for artificial intelligence foundation models,Matthew Gaske,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4417565,"Directly addresses AI regulation and oversight frameworks for foundation models/LLMs, with explicit discussion of regulatory tradeoffs and systemic risk — highly relevant to AI governance and scalable oversight.","generalized form of the fintech Innovation Trilemma framework to argue that a regulatory scheme can prioritize only two of three aims when considering AI oversight / These systems, such as OpenAI’s ChatGPT or Alphabet’s LaMDA, have recently rocketed to popularity and have the potential to fundamentally change many areas / Artificial intelligence, large language models, generative artificial intelligence, machine learning, systemic risk, regulation, technology, innovation",FALSE,,FALSE,,,FALSE,,
NEFLVDEP,discard,OffTopicOther,"Generative AI, ChatGPT, and the future of jobs",Usman W. Chohan,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4411068,"Opinion piece on labor market disruption with no governance, oversight, or risk management angle relevant to AI-generated code or organizational AI adoption.","It argues that, perhaps faster than blue-collar redundancies, it is the white-collar creative world that is far more at risk of disruption and redundancy / AI, generative AI, ChatGPT, OpenAI, musk, artificial intelligence",FALSE,,FALSE,,,FALSE,,
QXGQR2QJ,maybe,ClinicalNarrow,What should ChatGPT mean for bioethics?,I. Glenn Cohen,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4430100,"Touches AI governance angles (informed consent, oligopoly risk, ethics sidelining) that are transferable to AI oversight frameworks, even though the primary domain is medical/bioethics.","These include issues about informed consent and the right to know we are dealing with an AI, the problem of medical deepfakes, the risk of oligopoly and / I also discuss the way in which race dynamics (between large companies and between the U.S. and geopolitical rivals like China) risk sidelining ethics. / ChatGPT, Large Language Models, Bioethics, Informed Consent, Medical AI, Data Ownership, Oligopoly",FALSE,,FALSE,,,FALSE,,
KG962MNY,maybe,,ChatGPT and intermediary liability: why section 230 does not and should not protect generative algorithms,Hasala Ariyaratne,2023,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4422583,"Addresses legal liability for AI-generated content and governance of generative AI systems, which is transferable to the responsibility gap and accountability frameworks relevant to AI-generated code.","ChatGPT does not function as an intermediary of third-party content but rather creates content in part by itself. / Finally, I argue that it is unnecessary to immunize generative algorithms like ChatGPT at this time. / Generative AI, Section 230, ChatGPT, Generative Algorithms",FALSE,,FALSE,,,FALSE,,
