[2026-05-26 05:58:13] === apply_screening_decisions.py ===
[2026-05-26 05:58:13] Input: ssrn-decisions-2026-05-25.csv
[2026-05-26 05:58:13] Mode:  APPLY (writes)
[2026-05-26 05:58:58]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:58]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:58]   KG962MNY [maybe]
[2026-05-26 05:58:58]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:58]     + collections: ['3QZJEDKF']
[2026-05-26 05:58:59]   2WWU3WZT [maybe]
[2026-05-26 05:58:59]     + tags: ['s1:claude:maybe']
[2026-05-26 05:58:59]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:00]   UVTPWMM2 [discard]
[2026-05-26 05:59:00]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:00]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:01]   4HVPI6XU [keep]
[2026-05-26 05:59:01]     + tags: ['s1:claude:keep']
[2026-05-26 05:59:01]     + collections: ['CP5FPT68']
[2026-05-26 05:59:02]   S5772XZX [keep]
[2026-05-26 05:59:02]     + tags: ['s1:claude:keep']
[2026-05-26 05:59:02]     + collections: ['CP5FPT68']
[2026-05-26 05:59:03]   Progress: 50/3869 rows — updates=50 tags=65 conflicts=1 errors=0
[2026-05-26 05:59:03]   A2TW9WDF [maybe]
[2026-05-26 05:59:03]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:03]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:04]   MYYX4MQC [discard]
[2026-05-26 05:59:04]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard']
[2026-05-26 05:59:04]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:05]   2C86J2JD [maybe]
[2026-05-26 05:59:05]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe']
[2026-05-26 05:59:05]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:06]   EKGBLG4F [discard]
[2026-05-26 05:59:06]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:06]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:07]   JQ7A8789 [maybe]
[2026-05-26 05:59:07]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:07]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:08]   CONFLICT XQX8GR8R: Zotero has {'00-Queue'} but human=discard → applying discard
[2026-05-26 05:59:08]   XQX8GR8R [discard]
[2026-05-26 05:59:08]     + tags: ['s1:chatgpt:discard', 's1:claude:discard', 's1:gemini:keep', 's1:human:discard']
[2026-05-26 05:59:08]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:09]   2EIIZ3DC [discard]
[2026-05-26 05:59:09]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:09]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:10]   LAA46RYX [discard]
[2026-05-26 05:59:10]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:10]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:11]   XK5IZ5JR [maybe]
[2026-05-26 05:59:11]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:11]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:12]   Z9Q83E4N [maybe]
[2026-05-26 05:59:12]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe']
[2026-05-26 05:59:12]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:13]   VSGERV75 [discard]
[2026-05-26 05:59:13]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard']
[2026-05-26 05:59:13]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:14]   BM3IHMJF [discard]
[2026-05-26 05:59:14]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:14]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:14]   ZFAF6K5U [discard]
[2026-05-26 05:59:14]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:14]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:15]   2AF2XBE3 [maybe]
[2026-05-26 05:59:15]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:15]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:16]   SMJRJI8D [discard]
[2026-05-26 05:59:16]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard', 's1:gemini:discard']
[2026-05-26 05:59:16]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:17]   KNGSTUKC [maybe]
[2026-05-26 05:59:17]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:17]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:18]   C5JT8M2G [maybe]
[2026-05-26 05:59:18]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:18]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:19]   NWC27H39 [discard]
[2026-05-26 05:59:19]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:19]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:20]   BLUHZF4E [maybe]
[2026-05-26 05:59:20]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe']
[2026-05-26 05:59:20]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:21]   KEUMYG64 [discard]
[2026-05-26 05:59:21]     + tags: ['s1:claude:discard', 's1:gemini:discard']
[2026-05-26 05:59:21]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:22]   H45IWHAJ [maybe]
[2026-05-26 05:59:22]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:22]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:23]   PW59NDMH [discard]
[2026-05-26 05:59:23]     + tags: ['s1:claude:discard', 's1:gemini:keep']
[2026-05-26 05:59:23]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:24]   SKIP 4VY27Q9V: fetch failed (HTTP 404: Item does not exist)
[2026-05-26 05:59:24]   G9RJI9KU [discard]
[2026-05-26 05:59:24]     + tags: ['s1:claude:discard', 's1:gemini:discard']
[2026-05-26 05:59:24]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:25]   S6CIDZD4 [discard]
[2026-05-26 05:59:25]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:25]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:26]   AJQQLW8L [discard]
[2026-05-26 05:59:26]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:26]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:27]   5HM8MD2K [keep]
[2026-05-26 05:59:27]     + tags: ['s1:claude:keep']
[2026-05-26 05:59:27]     + collections: ['CP5FPT68']
[2026-05-26 05:59:28]   4WXSFCZ8 [maybe]
[2026-05-26 05:59:28]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:28]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:29]   BQKB8WTD [maybe]
[2026-05-26 05:59:29]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:29]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:30]   QYU8M4ZY [maybe]
[2026-05-26 05:59:30]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:30]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:31]   7JPGKZ8J [maybe]
[2026-05-26 05:59:31]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:31]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:32]   QJFYPWLJ [maybe]
[2026-05-26 05:59:32]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:32]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:33]   LMIAI7JF [maybe]
[2026-05-26 05:59:33]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:33]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:34]   PPP4LM48 [discard]
[2026-05-26 05:59:34]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard']
[2026-05-26 05:59:34]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:35]   TU4ULNVA [discard]
[2026-05-26 05:59:35]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:35]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:36]   GP5F4VRM [discard]
[2026-05-26 05:59:36]     + tags: ['s1:claude:discard', 's1:gemini:discard']
[2026-05-26 05:59:36]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:36]   GQIF8ZFL [maybe]
[2026-05-26 05:59:36]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:36]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:37]   IWS3RQTP [discard]
[2026-05-26 05:59:37]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:37]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:38]   SEDWXQPK [maybe]
[2026-05-26 05:59:38]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe']
[2026-05-26 05:59:38]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:39]   SKIP 7LNIKEUR: fetch failed (HTTP 404: Item does not exist)
[2026-05-26 05:59:40]   T5TYJAP7 [maybe]
[2026-05-26 05:59:40]     + tags: ['s1:claude:maybe', 's1:gemini:keep']
[2026-05-26 05:59:40]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:41]   89BZEYEL [discard]
[2026-05-26 05:59:41]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:41]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:42]   9FTNDH49 [maybe]
[2026-05-26 05:59:42]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:42]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:42]   G53QHMN7 [keep]
[2026-05-26 05:59:42]     + tags: ['s1:claude:keep']
[2026-05-26 05:59:42]     + collections: ['CP5FPT68']
[2026-05-26 05:59:43]   Y7ETDYBK [maybe]
[2026-05-26 05:59:43]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe']
[2026-05-26 05:59:43]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:44]   LJCWI8KG [discard]
[2026-05-26 05:59:44]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:44]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:45]   CONFLICT NDRXKBDP: Zotero has {'00-Queue'} but human=discard → applying discard
[2026-05-26 05:59:45]   NDRXKBDP [discard]
[2026-05-26 05:59:45]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard', 's1:gemini:maybe', 's1:human:discard']
[2026-05-26 05:59:45]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:46]   QZHY2REH [discard]
[2026-05-26 05:59:46]     + tags: ['s1:claude:discard', 's1:gemini:maybe']
[2026-05-26 05:59:46]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:47]   ACPAXQIB [maybe]
[2026-05-26 05:59:47]     + tags: ['s1:chatgpt:maybe', 's1:claude:maybe']
[2026-05-26 05:59:47]     + collections: ['3QZJEDKF']
[2026-05-26 05:59:48]   IMH9LFEL [discard]
[2026-05-26 05:59:48]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:48]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:49]   66K7BKJ6 [discard]
[2026-05-26 05:59:49]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:49]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:50]   ZFUSF7Q9 [discard]
[2026-05-26 05:59:50]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:50]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:51]   Progress: 100/3869 rows — updates=100 tags=138 conflicts=3 errors=0
[2026-05-26 05:59:51]   VTWIHTR8 [discard]
[2026-05-26 05:59:51]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:51]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:52]   7RGVFBBH [discard]
[2026-05-26 05:59:52]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:52]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:53]   DC3MPIE4 [discard]
[2026-05-26 05:59:53]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:53]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:54]   ESW84UJG [discard]
[2026-05-26 05:59:54]     + tags: ['s1:claude:discard', 's1:gemini:maybe']
[2026-05-26 05:59:54]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:55]   SKIP WU93YN4C: fetch failed (HTTP 404: Item does not exist)
[2026-05-26 05:59:55]   NNKTP9S2 [keep]
[2026-05-26 05:59:55]     + tags: ['s1:claude:keep', 's1:gemini:keep']
[2026-05-26 05:59:55]     + collections: ['CP5FPT68']
[2026-05-26 05:59:56]   PPGT88NK [discard]
[2026-05-26 05:59:56]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard']
[2026-05-26 05:59:56]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:57]   CQFMYFQG [discard]
[2026-05-26 05:59:57]     + tags: ['s1:claude:discard', 's1:gemini:keep']
[2026-05-26 05:59:57]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:58]   HNECHYCL [discard]
[2026-05-26 05:59:58]     + tags: ['s1:claude:discard']
[2026-05-26 05:59:58]     + collections: ['S7V4VUDB']
[2026-05-26 05:59:59]   WRGVLESV [maybe]
[2026-05-26 05:59:59]     + tags: ['s1:claude:maybe']
[2026-05-26 05:59:59]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:00]   77HWV8PN [discard]
[2026-05-26 06:00:00]     + tags: ['s1:claude:discard']
[2026-05-26 06:00:00]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:01]   UWAVSH4J [maybe]
[2026-05-26 06:00:01]     + tags: ['s1:claude:maybe']
[2026-05-26 06:00:01]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:02]   I667E8CQ [maybe]
[2026-05-26 06:00:02]     + tags: ['s1:claude:maybe', 's1:gemini:maybe']
[2026-05-26 06:00:02]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:03]   ZTAQZTUA [maybe]
[2026-05-26 06:00:03]     + tags: ['s1:claude:maybe']
[2026-05-26 06:00:03]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:04]   CONFLICT IYYBVQQT: Zotero has {'00-Queue'} but human=discard → applying discard
[2026-05-26 06:00:04]   IYYBVQQT [discard]
[2026-05-26 06:00:04]     + tags: ['s1:chatgpt:discard', 's1:claude:discard', 's1:gemini:maybe', 's1:human:discard']
[2026-05-26 06:00:04]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:05]   UUH3WML2 [keep]
[2026-05-26 06:00:05]     + tags: ['s1:claude:keep']
[2026-05-26 06:00:05]     + collections: ['CP5FPT68']
[2026-05-26 06:00:06]   KQTSEZ8M [discard]
[2026-05-26 06:00:06]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard', 's1:gemini:maybe']
[2026-05-26 06:00:06]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:07]   USIDTQ7G [discard]
[2026-05-26 06:00:07]     + tags: ['s1:claude:discard']
[2026-05-26 06:00:07]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:08]   XB4MYHP2 [maybe]
[2026-05-26 06:00:08]     + tags: ['s1:chatgpt:maybe', 's1:claude:maybe']
[2026-05-26 06:00:08]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:09]   UMCBPUUU [discard]
[2026-05-26 06:00:09]     + tags: ['s1:claude:discard']
[2026-05-26 06:00:09]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:10]   KPYJ84RW [discard]
[2026-05-26 06:00:10]     + tags: ['s1:chatgpt:maybe', 's1:claude:discard']
[2026-05-26 06:00:10]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:11]   GEP5A7AR [discard]
[2026-05-26 06:00:11]     + tags: ['s1:claude:discard', 's1:gemini:maybe']
[2026-05-26 06:00:11]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:12]   CONFLICT 2IYKM87Y: Zotero has {'00-Queue'} but human=maybe → applying maybe
[2026-05-26 06:00:12]   2IYKM87Y [maybe]
[2026-05-26 06:00:12]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe', 's1:gemini:maybe', 's1:human:maybe']
[2026-05-26 06:00:12]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:13]   U74XYRDC [maybe]
[2026-05-26 06:00:13]     + tags: ['s1:claude:maybe', 's1:gemini:maybe']
[2026-05-26 06:00:13]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:14]   9UFR87ZI [discard]
[2026-05-26 06:00:14]     + tags: ['s1:claude:discard']
[2026-05-26 06:00:14]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:15]   UEUU5SAU [maybe]
[2026-05-26 06:00:15]     + tags: ['s1:chatgpt:keep', 's1:claude:maybe']
[2026-05-26 06:00:15]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:16]   MQGZR4DM [discard]
[2026-05-26 06:00:16]     + tags: ['s1:claude:discard']
[2026-05-26 06:00:16]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:17]   CONFLICT SXDQEG3R: Zotero has {'00-Queue'} but human=maybe → applying maybe
[2026-05-26 06:00:17]   SXDQEG3R [maybe]
[2026-05-26 06:00:17]     + tags: ['s1:chatgpt:discard', 's1:claude:discard', 's1:gemini:maybe', 's1:human:maybe']
[2026-05-26 06:00:17]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:18]   UCKG7ITK [maybe]
[2026-05-26 06:00:18]     + tags: ['s1:claude:maybe']
[2026-05-26 06:00:18]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:19]   54EXYDJS [discard]
[2026-05-26 06:00:19]     + tags: ['s1:claude:discard']
[2026-05-26 06:00:19]     + collections: ['S7V4VUDB']
[2026-05-26 06:00:20]   VV5RHBZ6 [keep]
[2026-05-26 06:00:20]     + tags: ['s1:claude:keep']
[2026-05-26 06:00:20]     + collections: ['CP5FPT68']
[2026-05-26 06:00:21]   FW3MNAVJ [keep]
[2026-05-26 06:00:21]     + tags: ['s1:claude:keep']
[2026-05-26 06:00:21]     + collections: ['CP5FPT68']
[2026-05-26 06:00:22]   B55ZBKG5 [maybe]
[2026-05-26 06:00:22]     + tags: ['s1:claude:maybe']
[2026-05-26 06:00:22]     + collections: ['3QZJEDKF']
[2026-05-26 06:00:22]   SHMYHJEG [keep]
[2026-05-26 06:00:22]     + tags: ['s1:claude:keep']
[2026-05-26 06:00:22]     + collections: ['CP5FPT68']
[2026-05-26 06:00:23]   B5J9E6J3 [maybe]
[2026-05-26 06:00:23]     + tags: ['s1:claude:maybe']
