cluster_id,cluster_size,action,key,canonical_key,item_type,venue_rank,year,first_author,title,sources,screening_stages,doi,url,user_override
C0003,4,SUPERSEDE,NBI28MX6,5YILFYU7,preprint,4,2025,Koohestani,"Benchmarking AI models in software engineering: a review, search tool, and unified approach for elevating benchmark quality",arxiv,00-Queue,,https://arxiv.org/abs/2503.05860v3,
C0004,4,KEEP_CANONICAL,8CA6RHDS,8CA6RHDS,conferencePaper,1,2026,Xiao,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating GenAI into collaborative newswork",wos,01-Keep,10.1145/3772318.3790984,https://dl.acm.org/doi/10.1145/3772318.3790984,
C0004,4,SUPERSEDE,X5DY3J3G,8CA6RHDS,bookSection,2,2026,Xiao,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating GenAI into collaborative newswork",cao,,10.1145/3772318.3790984,https://dl.acm.org/doi/full/10.1145/3772318.3790984,
C0004,4,SUPERSEDE,H4YI7TYL,8CA6RHDS,bookSection,2,2026,Xiao,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating GenAI into collaborative newswork",,,10.1145/3772318.3790984,https://dl.acm.org/doi/full/10.1145/3772318.3790984,
C0004,4,SUPERSEDE,DWRKQG4L,8CA6RHDS,bookSection,2,2026,Xiao,"Can GenAI move from individual use to collaborative work? Experiences, challenges, and opportunities of coordinating GenAI into collaborative newswork",,,10.1145/3772318.3790984,https://dl.acm.org/doi/full/10.1145/3772318.3790984,
C0005,3,KEEP_CANONICAL,HJGKKX9S,HJGKKX9S,conferencePaper,1,2025,Pasuksmit,Human-In-the-loop software development agents: challenges and future directions,arxiv,00-Queue,10.1109/MSR66628.2025.00112,https://www.scopus.com/pages/publications/105009162123?origin=resultslist,
C0005,3,SUPERSEDE,PYIYRM5L,HJGKKX9S,conferencePaper,1,2025,Pasuksmit,Human-In-the-loop software development agents: challenges and future directions,scopus,00-Queue,10.1109/MSR66628.2025.00112,https://www.scopus.com/pages/publications/105009162123?origin=resultslist,
C0005,3,SUPERSEDE,B7APR28B,HJGKKX9S,preprint,4,2025,Pasuksmit,Human-In-the-loop software development agents: challenges and future directions,arxiv,00-Queue,,https://arxiv.org/abs/2506.11009,
C0006,3,KEEP_CANONICAL,732VDKJD,732VDKJD,journalArticle,0,2025,Meske,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research agenda",wos,,10.1109/ACCESS.2025.3645466,,
C0006,3,SUPERSEDE,FHUGCNKY,732VDKJD,journalArticle,0,2025,Meske,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research agenda",arxiv|coursework|ieee,01-Keep,10.1109/ACCESS.2025.3645466,http://arxiv.org/abs/2507.21928,
C0006,3,SUPERSEDE,AVC8XR4P,732VDKJD,preprint,4,2025,Meske,"Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research agenda",arxiv,,10.1109/ACCESS.2025.3645466,https://arxiv.org/abs/2507.21928,
C0007,3,KEEP_CANONICAL,WBGJ4YA5,WBGJ4YA5,journalArticle,0,2026,Zhao,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,wos,,10.1177/14738716261434848,,
C0007,3,SUPERSEDE,DIW28ZHE,WBGJ4YA5,journalArticle,0,2026,Zhao,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,arxiv|scopus,03-Discard,10.1177/14738716261434848,https://www.scopus.com/pages/publications/105035311569?origin=resultslist,
C0007,3,SUPERSEDE,D3TJQBV3,WBGJ4YA5,preprint,4,2026,Zhao,Toward reliable scientific visualization pipeline construction with structure-aware retrieval-augmented LLMs,arxiv,,,https://arxiv.org/abs/2603.16057,
C0008,3,KEEP_CANONICAL,Y3FIWH34,Y3FIWH34,journalArticle,0,2025,Voria,RECOVER: toward requirements generation from stakeholders conversations,wos,00-Queue,10.1109/TSE.2025.3572056,,
C0008,3,SUPERSEDE,P4P4EB2R,Y3FIWH34,journalArticle,0,2025,Voria,RECOVER: toward requirements generation from stakeholders’ conversations,scopus,,10.1109/TSE.2025.3572056,https://www.scopus.com/pages/publications/105005800526?origin=resultslist,
C0008,3,SUPERSEDE,AUMAQ43S,Y3FIWH34,preprint,4,2024,Voria,RECOVER: toward requirements generation from stakeholders' conversations,arxiv,,,https://arxiv.org/abs/2411.19552,
C0009,3,KEEP_CANONICAL,S8GHSDJM,S8GHSDJM,conferencePaper,1,2025,Mitchell,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,wos,,10.1145/3759425.3763390,,
C0009,3,SUPERSEDE,6ZW9QNQH,S8GHSDJM,conferencePaper,1,2025,Mitchell,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,acm|arxiv,01-Keep,10.1145/3759425.3763390,https://doi.org/10.1145/3759425.3763390,
C0009,3,SUPERSEDE,JPZCCBRW,S8GHSDJM,preprint,4,2025,Mitchell,Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,arxiv,,10.1145/3759425.3763390,https://arxiv.org/abs/2511.00202,
C0010,3,KEEP_CANONICAL,SIBW73L2,SIBW73L2,journalArticle,0,2025,Lin,Open source AI-based SE tools: opportunities and challenges of collaborative software learning,wos,,10.1145/3708529,,
C0010,3,SUPERSEDE,PTEHXBBL,SIBW73L2,journalArticle,0,2025,Lin,Open source AI-based SE tools: opportunities and challenges of collaborative software learning,acm|arxiv|scopus,03-Discard,10.1145/3708529,https://www.scopus.com/pages/publications/105007512825?origin=resultslist,
C0010,3,SUPERSEDE,G5C8EJHS,SIBW73L2,preprint,4,2024,Lin,Open-source AI-based SE tools: opportunities and challenges of collaborative software learning,arxiv,,,https://arxiv.org/abs/2404.06201,
C0011,3,KEEP_CANONICAL,LB84WJKI,LB84WJKI,conferencePaper,1,2025,Takerngsaksiri,Human-In-the-loop software development agents,wos,00-Queue,10.1109/ICSE-SEIP66354.2025.00036,,
C0011,3,SUPERSEDE,5VTAJISY,LB84WJKI,conferencePaper,1,2025,Takerngsaksiri,Human-In-the-loop software development agents,arxiv|scopus,00-Queue,10.1109/ICSE-SEIP66354.2025.00036,https://www.scopus.com/pages/publications/105016118687?origin=resultslist,
C0011,3,SUPERSEDE,GS4KIM8M,LB84WJKI,preprint,4,2024,Takerngsaksiri,Human-In-the-loop software development agents,arxiv,,,https://arxiv.org/abs/2411.12924,
C0012,3,KEEP_CANONICAL,A8FUW44D,A8FUW44D,conferencePaper,1,2024,Hamza,Human-AI collaboration in software engineering: lessons learned from a hands-on workshop,wos,,10.1145/3643690.3648236,,
C0012,3,SUPERSEDE,25RCNRY9,A8FUW44D,conferencePaper,1,2024,M. Hamza,Human-AI collaboration in software engineering: lessons learned from a hands-on workshop,acm|ieee|scopus,01-Keep,10.1145/3643690.3648236,,
C0012,3,SUPERSEDE,IU55NEQA,A8FUW44D,preprint,4,2023,Hamza,Human AI collaboration in software engineering: lessons learned from a hands on workshop,arxiv,,,https://arxiv.org/abs/2312.10620,
C0013,3,KEEP_CANONICAL,BGDGIR3Y,BGDGIR3Y,conferencePaper,1,2025,Trinkenreich,Get on the train or be left on the station: using LLMs for software engineering research,wos,,10.1145/3696630.3731666,,
C0013,3,SUPERSEDE,GCPU2JP5,BGDGIR3Y,conferencePaper,1,2025,Trinkenreich,Get on the train or be left on the station: using LLMs for software engineering research,acm|arxiv|scopus,03-Discard,10.1145/3696630.3731666,https://www.scopus.com/pages/publications/105013964607?origin=resultslist,
C0013,3,SUPERSEDE,2PZKZISE,BGDGIR3Y,preprint,4,2025,Trinkenreich,Get on the train or be left on the station: using LLMs for software engineering research,arxiv,,,https://arxiv.org/abs/2506.12691,
C0014,3,KEEP_CANONICAL,RR4TJJ5W,RR4TJJ5W,journalArticle,0,2025,Zhang,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,wos,,10.1111/tgis.70135,,
C0014,3,SUPERSEDE,WM5VCIAA,RR4TJJ5W,journalArticle,0,2025,Zhang,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,arxiv|scopus,03-Discard,10.1111/tgis.70135,https://www.scopus.com/pages/publications/105018665089?origin=resultslist,
C0014,3,SUPERSEDE,F7C9JFZ8,RR4TJJ5W,preprint,4,2025,Zhang,GeoAnalystBench: a GeoAI benchmark for assessing large language models for spatial analysis workflow and code generation,arxiv,,,https://arxiv.org/abs/2509.05881,
C0015,3,KEEP_CANONICAL,44B3EMKC,44B3EMKC,journalArticle,0,2026,Reihanian,From pilots to practices: a scoping review of GenAI-enabled personalization in computer science education,arxiv|scopus,03-Discard,10.3390/ai7010006,https://www.scopus.com/pages/publications/105028922950?origin=resultslist,
C0015,3,SUPERSEDE,4QQC8D7E,44B3EMKC,journalArticle,0,2025,Reihanian,From pilots to practices: a scoping review of GenAI-enabled personalization in computer science education,wos,,10.3390/ai7010006,,
C0015,3,SUPERSEDE,KIHZUBXE,44B3EMKC,preprint,4,2025,Reihanian,From pilots to practices: a scoping review of GenAI-enabled personalization in computer science education,arxiv,,10.3390/ai7010006,https://arxiv.org/abs/2512.20714,
C0016,3,KEEP_CANONICAL,IQCNSPY6,IQCNSPY6,conferencePaper,1,2025,Hong,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,wos,,10.1109/CAIN66642.2025.00021,,
C0016,3,SUPERSEDE,CKAHXH58,IQCNSPY6,conferencePaper,1,2025,Y. Hong,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,arxiv|ieee|scopus,01-Keep,10.1109/CAIN66642.2025.00021,,
C0016,3,SUPERSEDE,H263U4FW,IQCNSPY6,preprint,4,2025,Hong,From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,arxiv,,10.1109/CAIN66642.2025.00021,https://arxiv.org/abs/2502.07974,
C0017,3,KEEP_CANONICAL,8T5ZHR9Y,8T5ZHR9Y,conferencePaper,1,2024,Conrardy,From image to UML: first results of image-based UML diagram generation using LLMs,wos,00-Queue,,,
C0017,3,SUPERSEDE,ALD4M2Q8,8T5ZHR9Y,conferencePaper,1,2024,Conrardy,From image to UML: first results of image-based UML diagram generation using LLMs,arxiv|scopus,00-Queue,,https://www.scopus.com/pages/publications/85198999465?origin=resultslist,
C0017,3,SUPERSEDE,6U3QKX6E,8T5ZHR9Y,preprint,4,2024,Conrardy,From image to UML: first results of image based UML diagram generation using LLMs,arxiv,,,https://arxiv.org/abs/2404.11376,
C0018,2,KEEP_CANONICAL,4KBC2IEC,4KBC2IEC,conferencePaper,1,Febr,Feng,Prompting is all you need: automated android bug replay with large language models,acm,00-Queue,10.1145/3597503.3608137,https://dl.acm.org/doi/10.1145/3597503.3608137,
C0018,2,SUPERSEDE,H578FBHT,4KBC2IEC,preprint,4,2023,Feng,Prompting Is All You Need: Automated Android Bug Replay with Large Language Models,,,,https://arxiv.org/abs/2306.01987v3,
C0019,2,KEEP_CANONICAL,RRFXCNIV,RRFXCNIV,conferencePaper,1,Dece,Azanza,Tracking the moving target: a framework for continuous evaluation of LLM test generation in industry,acm,00-Queue,10.1145/3756681.3756946,https://dl.acm.org/doi/10.1145/3756681.3756946,
C0019,2,SUPERSEDE,JHVHCB36,RRFXCNIV,preprint,4,2025,Azanza,Tracking the Moving Target: A Framework for Continuous Evaluation of LLM Test Generation in Industry,,,,https://arxiv.org/abs/2504.18985v1,
C0020,2,KEEP_CANONICAL,CPXAJD9Z,CPXAJD9Z,conferencePaper,1,2026,Lee,Data-prompt Co-evolution: growing test sets to refine LLM behavior,acm,03-Discard,10.1145/3772318.3791222,https://doi.org/10.1145/3772318.3791222,
C0020,2,SUPERSEDE,GDBVPE4K,CPXAJD9Z,preprint,4,2025,Lee,Data-Prompt Co-Evolution: Growing Test Sets to Refine LLM Behavior,,,10.1145/3772318.3791222,https://arxiv.org/abs/2510.12728v3,
C0021,2,KEEP_CANONICAL,CKGVW7IP,CKGVW7IP,journalArticle,0,2026,Elnaffar,"Teaching with AI: a systematic review of chatbots, generative tools, and tutoring systems in programming education",scopus,03-Discard,10.26803/ijlter.25.1.1,https://www.scopus.com/pages/publications/105027116789?origin=resultslist,
C0021,2,SUPERSEDE,7MBJ75UF,CKGVW7IP,preprint,4,2025,Elnaffar,"Teaching with AI: A Systematic Review of Chatbots, Generative Tools, and Tutoring Systems in Programming Education",,,10.26803/ijlter.25.1.1,https://arxiv.org/abs/2510.03884v2,
C0022,2,KEEP_CANONICAL,VR5457IP,VR5457IP,journalArticle,0,2024,Woodruff,How Knowledge Workers Think Generative AI Will (Not) Transform Their Industries,naimi-references,00-Queue,10.1145/3613904.3642700,,
C0022,2,SUPERSEDE,X5YTTSB5,VR5457IP,conferencePaper,1,2024,Woodruff,How knowledge workers think generative AI will (not) transform their industries,acm,03-Discard,10.1145/3613904.3642700,https://doi.org/10.1145/3613904.3642700,
C0023,2,KEEP_CANONICAL,FP5F53AK,FP5F53AK,conferencePaper,1,2026,Hu,When your boss is an AI bot: exploring opportunities and risks of manager clone agents in the future workplace,wos,01-Keep,10.1145/3772318.3790987,https://dl.acm.org/doi/10.1145/3772318.3790987,
C0023,2,SUPERSEDE,2C2Z4Q8I,FP5F53AK,bookSection,2,2026,Hu,When your boss is an AI bot: exploring opportunities and risks of manager clone agents in the future workplace,cao,,10.1145/3772318.3790987,https://dl.acm.org/doi/full/10.1145/3772318.3790987,
C0024,2,KEEP_CANONICAL,XC4DI5Y3,XC4DI5Y3,conferencePaper,1,2026,Cabot,Vibe modeling: challenges and opportunities,wos,00-Queue,10.1007/978-3-032-08620-4_7,,
C0024,2,SUPERSEDE,GBN5JCME,XC4DI5Y3,preprint,4,2025,Cabot,Vibe modeling: challenges and opportunities,arxiv,,,https://arxiv.org/abs/2507.23120,
C0025,2,KEEP_CANONICAL,AUP4ADWR,AUP4ADWR,conferencePaper,1,2025,Abbasi,Towards human-AI synergy in requirements engineering: a framework and preliminary study,arxiv|scopus,00-Queue,10.1109/IDSTA66210.2025.11202850,https://www.scopus.com/pages/publications/105022263720?origin=resultslist,
C0025,2,SUPERSEDE,MF66QBD5,AUP4ADWR,preprint,4,2025,Abbasi,Towards human-AI synergy in requirements engineering: a framework and preliminary study,arxiv,,10.1109/IDSTA66210.2025.11202850,https://arxiv.org/abs/2510.25016,
C0026,2,KEEP_CANONICAL,GYDZVK9J,GYDZVK9J,conferencePaper,1,2025,Gultekin,Leveraging large language models for cybersecurity risk assessment - a case from forestry cyber-physical systems,arxiv|scopus,00-Queue,10.1109/ASEW67777.2025.00021,https://www.scopus.com/pages/publications/105033704800?origin=resultslist,
C0026,2,SUPERSEDE,2794XQRE,GYDZVK9J,preprint,4,2025,Gultekin,Leveraging large language models for cybersecurity risk assessment -- a case from forestry cyber-physical systems,arxiv,,,https://arxiv.org/abs/2510.06343,
C0027,2,KEEP_CANONICAL,DZYEZVFE,DZYEZVFE,journalArticle,0,2026,Sergeyuk,Human-AI experience in integrated development environments: a systematic literature review,arxiv|scopus,00-Queue,10.1007/s10664-025-10793-0,https://www.scopus.com/pages/publications/105026440997?origin=resultslist,
C0027,2,SUPERSEDE,G5VZZX89,DZYEZVFE,preprint,4,2025,Sergeyuk,Human-AI experience in integrated development environments: a systematic literature review,arxiv,,10.1007/s10664-025-10793-0,https://arxiv.org/abs/2503.06195,
C0028,2,KEEP_CANONICAL,K9A8Z32M,K9A8Z32M,journalArticle,0,2026,Cheng,Generative AI for requirements engineering: a systematic literature review,wos,00-Queue,10.1002/spe.70029,,
C0028,2,SUPERSEDE,IB2B9P95,K9A8Z32M,preprint,4,2024,Cheng,Generative AI for requirements engineering: a systematic literature review,arxiv,,10.1002/spe.70029,https://arxiv.org/abs/2409.06741,
C0029,2,KEEP_CANONICAL,IYFN5CRE,IYFN5CRE,conferencePaper,1,2026,Geng,Exploring student-AI interactions in vibe coding,acm|arxiv,02-Maybe|03-Discard,10.1145/3786228.3786236,https://doi.org/10.1145/3786228.3786236,
C0029,2,SUPERSEDE,P36ZCC9J,IYFN5CRE,preprint,4,2025,Geng,Exploring student-AI interactions in vibe coding,arxiv,,,https://arxiv.org/abs/2507.22614,
C0030,2,KEEP_CANONICAL,KHP3NTDH,KHP3NTDH,conferencePaper,1,2026,Thorgeirsson,Computer science achievement and writing skills predict vibe coding proficiency,acm|arxiv,02-Maybe,10.1145/3772318.3791666,https://doi.org/10.1145/3772318.3791666,
C0030,2,SUPERSEDE,IKX96DWE,KHP3NTDH,preprint,4,2026,Thorgeirsson,Computer science achievement and writing skills predict vibe coding proficiency,arxiv,,10.1145/3772318.3791666,https://arxiv.org/abs/2603.14133,
C0031,2,KEEP_CANONICAL,PGGL9ST3,PGGL9ST3,journalArticle,0,2026,Feng,Charting uncertain waters: a socio-technical roadmap for sustaining open source communities in the age of GenAI,acm|arxiv,03-Discard,10.1145/3789210,https://doi.org/10.1145/3789210,
C0031,2,SUPERSEDE,C5D8E5HC,PGGL9ST3,preprint,4,2025,Feng,Charting uncertain waters: a socio-technical roadmap for sustaining open source communities in the age of GenAI,arxiv,,,https://arxiv.org/abs/2508.04921,
C0032,2,KEEP_CANONICAL,NJ4993Q6,NJ4993Q6,journalArticle,0,2025,Aldosari,Challenges of artificial intelligence in medicine.,wos,03-Discard,10.3233/SHTI250039,,
C0032,2,SUPERSEDE,5YRN3WRS,NJ4993Q6,conferencePaper,1,2025,Aldosari,Challenges of artificial intelligence in medicine,scopus,,10.3233/SHTI250039,https://www.scopus.com/pages/publications/105003259996?origin=resultslist,
C0033,2,KEEP_CANONICAL,LXBF2JGJ,LXBF2JGJ,conferencePaper,1,2025,Chand,Automated extract method refactoring with open-source LLMs: a comparative study,arxiv|scopus,00-Queue,10.1109/AIware69974.2025.00020,https://www.scopus.com/pages/publications/105035215735?origin=resultslist,
C0033,2,SUPERSEDE,38HXTGGF,LXBF2JGJ,preprint,4,2025,Chand,Automated extract method refactoring with open-source LLMs: a comparative study,arxiv,,,https://arxiv.org/abs/2510.26480,
C0034,2,KEEP_CANONICAL,MTYM4L5D,MTYM4L5D,journalArticle,0,2024,Fjeld,AI in software development and its potential influence on accessibility compliance.,wos,00-Queue,10.3233/SHTI241046,,
C0034,2,SUPERSEDE,PCRMAEY2,MTYM4L5D,conferencePaper,1,2024,Fjeld,AI in software development and its potential influence on accessibility compliance,scopus,,10.3233/SHTI241046,https://www.scopus.com/pages/publications/85210049895?origin=resultslist,
C0035,2,KEEP_CANONICAL,BWKLECY4,BWKLECY4,journalArticle,0,2025,Ghaisas,Dealing with data for RE: mitigating challenges while using NLP and generative AI,arxiv|scopus,00-Queue,10.1007/978-3-031-73143-17,https://www.scopus.com/pages/publications/105004636824?origin=resultslist,
C0035,2,SUPERSEDE,FQSGHHVF,BWKLECY4,preprint,4,2024,Ghaisas,Dealing with data for RE: mitigating challenges while using NLP and generative AI,arxiv,,,https://arxiv.org/abs/2402.16977,
