item_key,title,abstract,authors,year,item_type,sources,source_queue
NIXZGTIB,Exploring professional perspectives on integrating generative artificial intelligence into corporate learning and development: an organizational change perspective,"Purpose: The primary aim of this study is to investigate the integration of generative artificial intelligence, specifically ChatGPT, into workplace L&D practices, exploring the associated advantages and challenges such integration from an organizational change perspective. Design/methodology/approach: This study uses a qualitative approach, conducting semi-structured interviews with twelve learning and development (L&D) experts. Findings: This study indicates that ChatGPT can positively impact L&D by streamlining processes and potentially enhancing employee performance, engagement and satisfaction. However, to mitigate employee resistance, organizations must clearly communicate the necessity and rationale behind the change, involve employees in the implementation process and address trust issues. Key challenges such as overreliance on ChatGPT, AI skill shortages and technology issues like privacy breaches and misinformation must be managed through strong governance frameworks, including policies, guidelines and regular audits. Research limitations/implications: The study’s scope is confined to semi-structured interviews with L&D experts, potentially limiting its generalizability. Further research could explore the long-term effects and broader implications of ChatGPT integration in different organizational contexts. Practical implications: By framing GenAI integration within the context of organizational change, this study offers insights into managing the transition effectively by providing guidance for managers on effectively integrating ChatGPT into L&D practices, emphasizing the importance of mitigating potential negative consequences while maximizing benefits. Social implications: Integrating ChatGPT into organizational L&D has the potential to reshape how employees acquire new skills and knowledge, potentially influencing organizational culture and dynamics. However, careful consideration is required to ensure that the integration process aligns with ethical and social norms, minimizing adverse impacts. Originality/value: This research contributes foundational insights into the integration of ChatGPT in corporate L&D by researching and understanding the opinions of corporate professionals. It serves as a starting point for organizations to identify challenges in adopting GenAI. © 2024, Emerald Publishing Limited.",Alhusban; Alshurafat; Khatatbeh,2025,journalArticle,,maybe_queue
56GRVSR7,Impact of human-AI interaction on user trust and reliance in AI-assisted qualitative coding,"While AI shows promise for enhancing the efficiency of qualitative analysis, the unique human-AI interaction resulting from varied coding strategies makes it challenging to develop a trustworthy AI-assisted qualitative coding system (AIQCs) that supports coding tasks effectively. We bridge this gap by exploring the impact of varying coding strategies on user trust and reliance on AI. We conducted a mixed-methods split-plot 3x3 study, involving 30 participants, and a follow-up study with 6 participants, exploring varying text selection and code length in the use of our AIQCs system for qualitative analysis. Our results indicate that qualitative open coding should be conceptualized as a series of distinct subtasks, each with differing levels of complexity, and therefore, should be given tailored design considerations. We further observed a discrepancy between perceived and behavioral measures, and emphasized the potential challenges of under- and over-reliance on AIQCs systems. Additional design implications were also proposed for consideration.",Gao; Cao; Yeo; Choo; Zhang,2023,preprint,arxiv,maybe_queue
TCMF6P4P,TENET: leveraging tests beyond validation for code generation,"Test-Driven Development (TDD) is a widely adopted software engineering practice that requires developers to create and execute tests alongside code implementation, ensuring that software behavior is continuously validated and refined. In the era of vibe coding, where developers increasingly delegate code writing to large language models (LLMs) by specifying high-level intentions, TDD becomes even more crucial, as test cases serve as executable specifications that explicitly define and verify intended functionality beyond what natural-language descriptions and code context can convey. While vibe coding under TDD is promising, there are three main challenges: (1) selecting a small yet effective test suite to improve the generation accuracy and control the execution workload, (2) retrieving context such as relevant code effectively, and (3) systematically using test feedback for effective code refinement. To address these challenges, we introduce TENET, an LLM agent for generating functions in complex real-world repositories under the TDD setting. TENET features three components: (1) a novel test harness mechanism that selects a concise test suite to maximize diversity of target usage scenarios; (2) a tailored agent toolset that performs efficient retrieval of relevant code with interactive debugging; and (3) a reflection-based refinement workflow that iteratively analyzes failures, replenishes context, and applies code refinement. TENET achieves 69.08% and 81.77% Pass@1 on RepoCod and RepoEval benchmarks, outperforming the best agentic baselines by 9.49 and 2.17 percentage points, respectively. In addition, this is the first study of test-driven code generation with repository-level context, examining how different aspects of test suites affect the performance of LLM agents under the TDD setting.",Hu; Jiang; Liang; Wu; Tan,2025,preprint,arxiv,keep_queue
NV5QU9G2,Security in the age of AI teammates: an empirical study of agentic pull requests on GitHub,"Context.Autonomous coding agents are increasingly deployed as AI teammates in modern software engineering, independently authoring pull requests (PRs) / that modify production code at scale. / Large Language Models (LLMs), AI Agent, security, GitHub",Mohammed Latif Siddiq; Xinye Zhao; Vinicius Carvalho Lopes; Beatrice Casey; Joanna Cecilia da Silva Santos,2026,journalArticle,ssrn,keep_queue
AL8AY8G8,Why the scope of EU copyright protection should be reduced to realize the innovation benefits of generative AI,Art 4 of the EU Copyright Directive allows free text and data mining of these media inputs unless copyright holders have opted out and want license / There is no need for copyright on GenAI outputs either.,Bertin Martens,2024,journalArticle,ssrn,maybe_queue
X5Z3C6AR,From adoption to outcomes: AI-specific implementation gaps in the first 18 months,"Drawing primarily on Gartner's AI/Human Readiness research and MIT NANDA's empirical analysis of enterprise AI deployments, this paper argues that early / Artificial Intelligence Implementation, Organization Design, Organizational Learning, AI Governance, Human-AI Interaction, Technology Adoption, Digital",Keith M. Driver,2026,journalArticle,ssrn,maybe_queue
QE9HRGRC,Preserving balance in the EU digital single market: how like company could reframe copyright and innovation in the generative AI era,"This article analyses the Court of Justice of the European Union's first referral on generative AI and copyright, i.e. Case C-250/25 Like Company v. / Regarding liability, the paper concludes that individual users, not platform providers, bear responsibility for outputs generated through their models'",Enrico Bonadio; Giancarlo Frosio; Christophe Geiger; Andrés Guadamuz; Stavroula Karapapa,2026,journalArticle,ssrn,maybe_queue
CN54R8RK,Better safe than sorry… or not?: rethinking the risk-based approach of the EU artificial intelligence act,This manuscript considers how the AI Act operationalizes the risk-based approach and evaluates whether it is applied appropriately in light of the AI Act's / and participate in future governance with the AI Act's requirements.,Anastasiia Dardykina; Robert C. Bird,2026,journalArticle,ssrn,keep_queue
NS5XQGLV,Who's watching the machines? IOSCO's role in regulating AI in global finance,"significant legal and regulatory challenges, including accountability for AI errors, transparency issues in machine learning frameworks, cross-border data governance / It explores IOSCO's interactions with other international organizations, including the OECD, FATF, and the UN, to address the complexities of AI regulation",Beny Saputra; Retno Kusniati,2025,journalArticle,ssrn,maybe_queue
B8T7F6L2,A systematic review of intelligent support systems for strategic decision-making using human-AI interaction in enterprise platforms,"methodologically rigorous synthesis of scholarly work on Intelligent Support Systems (ISS), focusing on their design architectures, strategic applications, ethical governance / While regulatory and governance frameworks such as GDPR, NIST AI RMF, and ISO/IEC standards are frequently referenced, only a limited number of studies",Siful Islam; Arifur Rahman; Md Shakawat Hossain; Abdul Awal Mintoo,2025,journalArticle,ssrn,maybe_queue
YPDFCLA8,Regulating AI autonomy: a constitutional framework for the digital era,Act). / Act reveals gaps in oversight and human involvement in AI governance.,Oreste Pollicino; Federica Paolucci,2025,journalArticle,ssrn,keep_queue
GT3E89H4,A multi-agent coding assistant for cloud-native development: from requirements to deployable microservices,"The rapid adoption of cloud-native architectures has created an urgent demand for automated development tools that can translate natural language requirements into deployable cloud-native microservices. While recent advances in large language models (LLMs) have enabled AI-assisted code generation, existing approaches predominantly focus on isolated code completion tasks rather than end-to-end software delivery. This paper presents CloudMAS, a multi-agent coding assistant framework that orchestrates specialized agents to transform user requirements into deployable cloud-native applications. Our system comprises six specialized agents: an Architect Agent for service decomposition and API design, three parallel Coder Agents specialized in backend, frontend, and infrastructure-as-code (IaC) generation respectively, a Tester Agent for automated test synthesis and execution, and an Ops Agent for container configuration and Kubernetes manifest generation. These agents are coordinated by a dedicated Orchestrator Agent that manages workflow execution and conflict resolution. We introduce a novel conflict resolution mechanism that enables agents to iteratively refine outputs through structured feedback loops. To address the lack of systematic benchmarks for end-to-end cloud-native development, we construct CloudDevBench, a publicly available evaluation dataset containing 50 real-world development tasks with associated test suites and deployment validation criteria. Experimental results demonstrate that CloudMAS achieves 92% compilation success, 81% test pass rate, and 84% deployment success rate, substantially outperforming single-LLM and single-agent baselines across all metrics.",Guan,Apri,bookSection,acm,maybe_queue
FXKRNI3I,Towards designing user interfaces for optimized human-AI communication and supervisory control in software engineering,"User interface design plays a key role in enabling ethical and effective human oversight of artificial intelligence systems. By integrating Human-Centred Artificial Intelligence principles with Supervisory Control Theory through evidence synthesis, this paper identifies key strategies that support trust, transparency, and adaptive collaboration in complex software environments. The proposed framework positions the interface as the mediator between control logic and human values, guiding system behaviour while enhancing user agency. Key considerations include providing timely and task-relevant explanations, supporting calibrated trust and human control, and enabling context-aware and multimodal interactions. The user interfaces must evolve from a passive display to an active space for negotiation and shared decision-making. This approach ensures that automation remains accountable, usable, and responsive to human goals, laying the foundation for sustainable human-AI partnerships in software engineering.  © 2025 IEEE.",Nam; Ki Chan; Yoe H.; Hwang H.J.; Lee M.,2025,conferencePaper,,keep_queue
82N4MFN7,A situation awareness perspective on human-agent collaboration: tensions and opportunities,"The rise of automation and artificial intelligence within the organization has come with many benefits. However, in conjunction with these benefits have come various concerns related to user empowerment (e.g., over-reliance, loss of human agency, lack of trust). Human-Computer Interaction researchers are seeking ways to address these concerns by informing user interface and task design. However, an overarching framework providing a holistic perspective is needed to guide such effort. We propose that for the intelligent agents to be utilized optimally within the organization, a contextual perspective is needed to capture various factors related to the user, task, technology, and environment, which can inform the value proposition of human-agent collaboration in the organization. To this end, we propose a situation awareness (SA) approach as a promising lens, which would in turn promote a human-centered artificial intelligence design and development perspective. This paper introduces the theoretical basis for SA and discusses three major tensions and the associated opportunities for developing SA in human-agent collaboration. © 2021, Springer Nature Switzerland AG.",Jiang; Karran; Coursaris; Léger; Beringer,2021,conferencePaper,,keep_queue
QDJ3JZEU,Artificial intelligence and systemic risk,"Sizeable corporate investments have made advanced AI capabilities like large language models (LLMs) such as ChatGPT, Claude and Gemini widely accessible / oversight.",Stephen G. Cecchetti; Robin L. Lumsdaine; Tuomas Peltonen; Antonio Sánchez Serrano,2025,journalArticle,ssrn,keep_queue
MZ898VR3,Cross-language transfer learning for detecting vulnerabilities in LLM-generated code,"We train a multilingual vulnerability detector capable of analyzing LLM-produced code across C, C++, Java, Python, and Rust. / The study shows that transferable security representations are essential when LLMs generate polyglot code. / cross-language security, vulnerability detection, multilingual IR, code semantics, transfer learning",Ana Carvalho; Daniel Moreira; Lucas Ribeiro,2026,journalArticle,ssrn,keep_queue
ZM55K5U3,Who wants a robo-lawyer now?: on AI chatbots in China’s public legal services sector,"The recent popularization of generative artificial intelligence (GAI) applications, such as ChatGPT and other large language model (LLM)-powered chatbots / chatbots in China’s PLS sector could contribute not only to narrowing the gap in access to justice but also to strengthening the degree of legality in governance",Xin Dai,2024,journalArticle,ssrn,maybe_queue
AHJQ6Z8X,Agents in a tangled bank: an ecosystem approach to AI regulation,"Drawing on established research in multi-agent systems and environmental law, we propose that effective governance of AI agents requires moving beyond / Finally, we propose a set of concrete principles for ecosystem-based AI governance. / Artificial Intelligence, Regulation, Autonomous Agents, AI Governance, Environmental Law, Multi-Agent Systems",Andrew W. Torrance; Bill Tomlinson,2025,journalArticle,ssrn,keep_queue
GK5HV8DQ,The insurance gap: liability frameworks for ontological attacks on clinical AI,"The European Union's AI Act and the European Health Data Space regulate the technical compliance and data quality of clinical artificial intelligence systems / Act to require liability cover for high-risk clinical AI systems, and market-led standardisation through a Lloyd's or Munich Re pilot product. / cyber-insurance, clinical AI, ontological attack, semantic integrity, liability framework, EU AI Act, European Health Data Space, moral hazard, Lloyd's",Odi F. Stummer; Sebastian Fuller,2026,journalArticle,ssrn,keep_queue
X24EV3XK,The drawbacks of international law in governing artificial intelligence,"In this short piece, Mauricio Figueroa argues that the approach of Public International Law to AI regulation, primarily placing the responsibility / In this short piece, Mauricio Figueroa argues that the approach of Public International Law to AI regulation, primarily placing the responsibility / on states to ensure compliance, fails to address Big Tech and the significant disparities in enforcement capacities across different countries. / AI governance, AI Regulation, Political Economy, AI Law",Mauricio Figueroa,2024,journalArticle,ssrn,maybe_queue
J692UWE5,Automated compliance and the regulation of AI,"We call this automated compliance. / Under plausible assumptions, automated compliance loosens this trade-off: AI progress itself hedges the costs of AI regulation. / artificial intelligence, compliance, automation, innovation",Cullen O'Keefe; Kevin Frazier,2026,journalArticle,ssrn,keep_queue
MBDH4W43,"THE SYMBIOTIC LIABILITY TRAP -transition from the age of specialization to the age of synthesis - why AI-assisted decisions in environmental compliance create an uninsured liability gap between the EU AI act, IED 2.0, and directive (EU) 2024/1203","Regulators respond with oversight mandates: Article 14 of the EU AI Act requires ""human oversight"" for high-risk AI systems. / AI Act requires — but does not yet mandate — cross-domain qualification standards for critical infrastructure decisions. / Symbiotic Liability Trap, Age of Synthesis, Human-in-the-Loop, EU AI Act Article 14, IED 2.0, BAT-AEL, Directive (EU) 2024/1203, Cross-Domain Liability / , Cross-Domain Compliance Officer, Authority Artifact, Out-of-Distribution, Critical Infrastructure, Environmental Compliance, Regulatory Drift, Stranded",Frank Naujoks,2026,journalArticle,ssrn,keep_queue
TXJHTP2M,Smart green assurance: a governance-driven business framework for ethical AI adoption in low-tech SMEs,"SMEs assign scores to each criterion, compute dimension averages, and derive an overall SGA Score to guide adoption decisions. / Smart Green Assurance, Ethical AI Adoption, AI Governance, Sustainable AI, Small and Medium Enterprises, Trust Framework",Rakshitha S,2026,journalArticle,ssrn,keep_queue
3MABKPTM,The future path of artificial intelligence and copyright law in the Asian pacific,"When the debates on artificial intelligence (AI) and intellectual property come up, the examples given—whether in the form of new court cases or legislation—are / (3) What is the best way forward to determine the copyrightability of human creations that have benefited from the use of generative AI tools in the creative",Peter K. Yu,2024,journalArticle,ssrn,maybe_queue
8PESA5UJ,From bibliographic islands to semantic networks: a human-in-the-loop knowledge graph pipeline for the ITU engineering history collection,"precision rate; however, a persistent 4.16% noise rate concentrated largely in OCR-induced mathematical formula errors validated the critical necessity of a Human-in-the-Loop / Knowledge Graphs, Digital Humanities, Human-in-the-Loop, Semantic Web, Archival Automation, ITU Engineering History, Small Language Mogels, Ontology",Gökhan Usta; Akın Özarslantürk; Fırat Kuluman,2026,journalArticle,ssrn,maybe_queue
GIJH57XX,Impact of AI on supply chain management in Bangladesh,"from industry reports and recent trends, the study finds that although large RMG firms are increasingly investing in automation and analytics, overall adoption / Finally, it proposes a policy and business roadmap focusing on skills development, SME financing, interoperable data standards, ethical AI governance,",Subashis Senapati,2026,journalArticle,ssrn,maybe_queue
7X9MGMP8,From bugs to benchmarks: a comprehensive survey of software defect datasets,"Software defect datasets, which are collections of software bugs, are essential resources to facilitate empirical research and enable standardized benchmarking for a wide range of software engineering techniques, including emerging areas like agentic AI-based software development. Over the years, numerous software defect datasets have been developed, providing rich resources for the community, yet making it increasingly difficult to navigate the landscape. This article provides a comprehensive survey of 151 software defect datasets, covering their scope, construction, availability, usability, and practical uses. We also suggest potential opportunities for future research based on our findings, such as addressing underrepresented kinds of defects. A complete catalog of all surveyed software defect datasets is available at .",Zhu; Furth; Pradel; Rubio-González,Marc,journalArticle,acm,maybe_queue
FCTKES78,Lost in code generation: reimagining the role of software models in AI-driven software engineering,"Generative AI enables rapid ``vibe coding,"" where natural language prompts yield working software systems. While this lowers barriers to software creation, it also collapses the boundary between prototypes and engineered software, leading to fragile systems that lack robustness, security, and maintainability. We argue that this shift motivates a reimagining of software models. Rather than serving only as upfront blueprints, models can be recovered post-hoc from AI-generated code to restore comprehension, expose risks, and guide refinement. In this role, models serve as mediators between human intent, AI generation, and long-term system evolution, providing a path toward sustainable AI-driven software engineering.",Cito; Bork,2025,preprint,arxiv,keep_queue
WAYM37U6,AI for retrospective review,"Against the backdrop of a detailed examination of HHS’s “AI for Deregulation” pilot and the very first use of AI-driven technologies in a published federal / In so doing, it takes aim at the talismanic significance of “human in the loop” that shields AI uses from disclosure and review by casting them in a merely / AI, artificial intelligence, human in the loop, retrospective",Catherine M. Sharkey,2021,journalArticle,ssrn,keep_queue
2AF2XBE3,'Responsibility of OpenAI for defamation and serious invasions of privacy by ChatGPT',"This article considers the prospective liability of OpenAI for harm caused by ChatGPT. / ChatGPT, OpenAI, artificial intelligence, LLMs, large language models, defamation, privacy, private international law",Michael Douglas,2023,journalArticle,ssrn,maybe_queue
8ZHCY9I5,From disruption to resilience: ethical AI adoption in the financial industry,"finance and instead proposes sector-specific measures: (i) continuous regulatory monitoring embedded in trading and credit systems, (ii) organizational accountability / Finance, AI, Ethics, Financial Industry, Artificial Intelligence (AI), Ethical AI, AI Governance, Job Displacement, Workforce Resilience, Alternative Data, Generative / AI",Erica Feng,2025,journalArticle,ssrn,keep_queue
VT6IEHRS,A systems-based framework for embedding generative AI in financial decision systems,"fail when confronted with the structural requirements of financial systems, including auditability, regulatory compliance, contextual stability, and accountability / This paper proposes a comprehensive systems-based framework for embedding generative AI within financial decision systems. / Generative AI, Financial Systems, AI Governance, Model Risk Management, Observability, Auditability",Anjan Roy,2026,journalArticle,ssrn,maybe_queue
PT2ZYYT6,Algorithmic accountability in government auditing: a study of public sector financial transparency in the republic of bénin,"The research fits into the perspective of accountability theory because it provides a framework of algorithmic accountability regarding the situation in / Algorithmic Accountability, Government Auditing, Financial Transparency, Public Sector Technology, Republic of Bénin, Human-Computer Interaction",Ayebo Bolale Francine Laourou,2025,journalArticle,ssrn,maybe_queue
QYDR3YSZ,"Autonomous AI agents and criminal liability: attribution, digital evidence, and human accountability","The analysis distinguishes agentic AI from ordinary generative systems, revisits the literature on the so-called responsibility gap, and argues that in / functions as an instrument of a human plan, while more autonomous cases shift attention toward ex ante duties of design, supervision, documentation, and risk / autonomous AI agents, criminal liability, digital evidence, chain of custody, Brazilian criminal law, AI governance, human oversight, attribution",Felipe Telles Veloso de Araujo,2026,journalArticle,ssrn,keep_queue
SN4S3QVE,COA-MAS cognitive organizational architecture for multi-agent systems,"organizational dynamics-role drift, cognitive error cascades, coordination fragmentation, and progressive supervisibility collapse-that current technical governance / We argue that this failure is architectural, not technical: existing approaches treat governance as enforcement at the individual agent level, while the / multi-agent systems, LLM governance, organizational theory, agentic AI, cognitive architecture, responsible AI, distributed cognitive chaos, executable / culture, AI governance",Rudson Carvalho,2026,journalArticle,ssrn,maybe_queue
ZKLERQZD,The impact of AI on the European financial sector and the role of social dialogue,"First, the paper analyses Regulation EU 2024/1689 (the AI Act), focusing on its key provisions. / critical role of social dialogue in ensuring a human-centred approach to AI in the workplace, advocating for closer involvement of social partners in the governance",Diletta Porcheddu; Sara Prosdocimi,2025,journalArticle,ssrn,keep_queue
2CBE8X9X,Prompting as governance: behavioral gaps and control system failures in AI-assisted infrastructure operations,"This paper examines whether prompt engineering can function as a reliable governance control mechanism in AI-assisted infrastructure operations. / Through 570 controlled experiments using GPT-4 and Claude Sonnet 4 across 90 infrastructure scenarios, we evaluate governance quality under four prompting / infrastructure automation, large language models, governance controls, human factors, prompt engineering, operational reliability, control systems",Piyoosh Rai,2026,journalArticle,ssrn,keep_queue
ZRG2WUU3,Patched RTC: evaluating LLMs for diverse software development tasks,"This paper introduces Patched Round-Trip Correctness (Patched RTC), a novel evaluation technique for Large Language Models (LLMs) applied to diverse software development tasks, particularly focusing on ""outer loop"" activities such as bug fixing, code review, and documentation updates. Patched RTC extends the original Round-Trip Correctness method to work with any LLM and downstream task, offering a self-evaluating framework that measures consistency and robustness of model responses without human intervention. The study demonstrates a correlation between Patched RTC scores and task-specific accuracy metrics, presenting it as an alternative to the LLM-as-Judge paradigm for open-domain task evaluation. We implement Patched RTC in an open-source framework called patchwork, allowing for transparent evaluation during inference across various patchflows. Experiments comparing GPT-3.5 and GPT-4 models across different software development tasks reveal that Patched RTC effectively distinguishes model performance and task difficulty. The paper also explores the impact of consistency prompts on improving model accuracy, suggesting that Patched RTC can guide prompt refinement and model selection for complex software development workflows.",Sharma,2024,preprint,arxiv,maybe_queue
4M94HGCT,AI governance in the system development life cycle: insights on responsible machine learning engineering,"In this study we explore the incorporation of artificial intelligence (AI) governance to system development life cycle (SDLC) models. We conducted expert interviews among AI and SDLC professionals and analyzed the interview data using qualitative coding and clustering to extract AI governance concepts. Subsequently, we mapped these concepts onto three stages in the machine learning (ML) system development process: (1) design, (2) development, and (3) operation. We discovered 20 governance concepts, some of which are relevant to more than one of the three stages. Our analysis highlights AI governance as a complex process that involves multiple activities and stakeholders. As development projects are unique, the governance requirements and processes also vary. This study is a step towards understanding how AI governance is conceptually connected to ML systems’ management processes through the project life cycle. CCS CONCEPTS • Software and its engineering $^{\rightarrow}$ Software creation and management.",S. Laato; T. Birkstedt; M. Mäntymäki; M. Minkkinen; T. Mikkonen,2022,conferencePaper,ieee,keep_queue
CF2VH862,"Ethical AI in program governance: balancing automation, accountability, and transparency","Artificial Intelligence (AI) is rapidly reshaping how organizations make decisions, allocate resources, manage risk, and exercise authority. / Artificial Intelligence (AI) is rapidly reshaping how organizations make decisions, allocate resources, manage risk, and exercise authority. / oversight. / Ethical Artificial Intelligence, Organizational Governance, Algorithmic Decision-Making, Accountability, Transparency, Human–Ai Collaboration, Digital",Farhan Murtaza Qureshi,2026,journalArticle,ssrn,keep_queue
