item_key,decision,confidence,rationale
TG5P3J99,discard,high,"Prompt pattern analysis to minimize developer-AI interaction rounds — productivity optimization with no oversight, governance, or risk angle."
JPX83RER,discard,medium,"State-of-art survey identifying security and maintainability issues in LLM-generated code but presents no new evaluation methodology itself — descriptive synthesis rather than operationalizable contribution."
7K5Z3JUM,discard,high,"LLM performance evaluation on data science tasks under CRISP-DM; human oversight mentioned incidentally in a data science domain with no software engineering governance mechanism."
7QKJH8EG,discard,high,"Multi-agent autonomous software development framework explicitly targeting human intervention reduction — agentic infrastructure without oversight, control, or governance mechanism."
HMHZ7I89,keep,high,"Vendor-neutral QAID framework with empirical evaluation of four coding assistants across six dimensions including Trustworthiness, directly operationalizable for evidence-based tool selection in engineering orgs."
H59NQ796,keep,medium,"Legal framework arguing for regulating the HITL system rather than just mandating a human presence — oversight mechanism analysis transfers to code review governance design."
B6PMY3YX,discard,high,"Creative goods market and copyright analysis with no abstract and no software engineering angle."
6ABGGGRP,keep,high,"DORA empirical research with 5,000 practitioners establishing that AI amplifies organizational dysfunction and identifying platform quality and workflow clarity as operationalizable governance levers for AI-assisted software development."
SPBS7N3Q,keep,high,"AutoPatch framework combining semantic and data-flow signals to automatically detect and patch CVEs in LLM-generated code — directly operationalizable for vulnerability governance pipelines."
HX4R2ZHU,discard,medium,"EU AI Act and DSA systemic risk analysis from a policy/legal perspective; platform governance framing is interesting but no software engineering operational mechanism is presented."
LNEJP4JN,discard,high,"Philosophical WiseAI ethical framework drawing on non-European wisdom traditions — no operational mechanism for software engineering governance."
FRVGRNQA,discard,low,"Preliminary review with no abstract provided — insufficient information to assess relevance or operationalizability."
EN5R5Q3D,discard,high,"LLM-assisted qualitative analysis for law enforcement research — non-software domain with no transferable governance mechanism."
LBWH5PTC,maybe,medium,"Universal AI governance standard with audit and certification mechanisms could apply to software AI systems, but the abstract does not specify software or code applicability and transferability requires argument."
SEDWXQPK,discard,high,"Generative AI implications for sustainability accounting and reporting — no software engineering governance angle."
KPTJJTJY,discard,medium,"EU AI Act high-risk system definition analysis; legal critique of classification scope with recommender systems noted as an edge case, but no software development or code governance mechanism presented."
NZ36ZISH,maybe,medium,"Framework for human-AI collaboration in organizational decision-making with explicit human oversight and accountability components — transferability to software engineering org governance is plausible but requires domain argument not resolvable from abstract."
