item_key,decision,confidence,rationale,title,abstract,year,authors,item_type
VTMPWGYD,discard,high,Transitional justice documentation with HITL critique — non-software domain with no transferable governance mechanism for software engineering organizations,Input on new technologies and transitional justice,"New digital and AI-enabled tools are already shaping documentation, truth-seeking and accountability in transitional justice processes. / ""Human-in-the-loop"" safeguards, on their own, do not reliably prevent harmful errors, because human decision-makers tend to anchor on initial AI suggestions",2026,Nyida Gyal,journalArticle
J63SX49Q,discard,high,"RefactorGPT is a multi-agent code refactoring productivity tool — no oversight, risk measurement, or governance mechanism for AI-generated code.",RefactorGPT: a ChatGPT-based multi-agent framework for automated code refactoring,"The rise of large language models has redefined what is computationally possible in code generation, yet their potential in systematic software refactoring remains largely untapped. This article introduces RefactorGPT, a ChatGPT-augmented sequential multi-agent framework that transforms refactoring from a monolithic, opaque process into a modular, explainable, and scalable workflow. The system orchestrates four specialized agents, Analyzer, Refactor, Refine, and Fixer, to sequentially analyse source code, apply structural refactoring, enhance code quality, and recover from potential generation errors. Unlike conventional rule-based tools or one-shot large language model (LLM) prompts, RefactorGPT leverages ChatGPT iteratively across clearly defined responsibilities, enabling controlled refactoring with functional guarantees. To evaluate the framework’s effectiveness, we constructed a curated dataset encompassing nine classical refactoring techniques across three complexity levels. RefactorGPT demonstrated consistent improvements in code modularity, readability, and structural decomposition, while maintaining computational efficiency. Notably, the system achieved full execution correctness through autonomous error recovery, showcasing robustness in practical scenarios. This study contributes a reusable blueprint for LLM-integrated refactoring systems and presents a novel application of ChatGPT not merely as a code generator, but as a cooperative agent in intelligent software refactoring. The findings reveal a path forward for embedding language models into real-world developer workflows, not as assistants, but as collaborators in code evolution. © 2025 Karabiyik. Distributed under Creative Commons CC-BY 4.0.",2025,Karabiyik,journalArticle
UIMCRY49,discard,high,Clinical anesthesia AI governance framework; domain-specific clinical context is non-transferable to software engineering without substantial re-derivation,A boundary-first framework for generative AI in anesthesia,"This Perspective proposes a boundary-first framework for deploying generative AI in anesthesia, organized around four principles. / Language Models, Anesthesiology, Patient Safety, Clinical Governance, Automation Bias, Clinical Decision Support, Retrieval-Augmented Generation, AI Liability",2026,Niranjan Seshadri; Janardhan Baliga,journalArticle
2I8BT6EZ,discard,high,"Addresses child labor in AI data labeling supply chains under international law — labor rights governance with no connection to code generation, software engineering, or code oversight.",The ignored AI factory: child trauma labor and the enforcement gap in international law,"Liability, Transnational Tort, Convention on the Rights of the Child (CRC), International Labour Organization (ILO), State Responsibility, AI Governance, Algorithmic / Accountability, Digital Labor, Vicarious Trauma, Convention Against Torture (CAT), Worst Forms of Child Labor, AI Supply Chains, Data Labeling, Content",2026,Brigette Supernova,journalArticle
N4XRB32F,discard,high,Legal framework argument for replacing Section 230 to govern generative AI outputs focuses on platform liability with no code-specific dimension or SE governance mechanism.,From publisher to creator: why generative AI requires a new legal framework beyond section 230,"However, generative AI systems do not merely host or transmit user content-they actively produce original outputs. / This paper argues that Section 230 is fundamentally ill-suited to govern generative AI. / Section 230, Artificial Intelligence, Generative AI, Platform Liability, Internet Law, Technology Law, Administrative Law, Health Law, AI Regulation",2026,Suzanne Shah,journalArticle
CNHFYJ53,discard,high,AI copyright legal history paper focused on doctrine adaptation from 1960s to present with no software engineering or code governance angle,The future was then: the recurrent history of AI authorship,registered in the 1960s to today's generative AI controversies. / the legal profession's conceptual failure to adapt copyright doctrine to technological reality.,2025,Zvi S. Rosen,journalArticle
BP4QAI5B,discard,high,User sentiment analysis of ChatGPT reviews is descriptive with no governance or oversight mechanism.,Voices of the crowd: exploring user evaluations of ChatGPT using structural topic modeling.,,2026,Ding; Yang; Zhao; Sun; Wang,journalArticle
2RRCAJKR,discard,medium,"Vibe coding paper focused on design homogenization and aesthetic diversity in web design rather than code quality, security, or organizational oversight of AI-generated code.",Interrogating design homogenization in web vibe coding,"Generative AI is known for its tendency to homogenize, often reproducing dominant style conventions found in training data. However, it remains unclear how these homogenizing effects extend to complex structural tasks like web design. As lay creators increasingly turn to LLMs to 'vibe-code' websites -- prompting for aesthetic and functional goals rather than writing code -- they may inadvertently narrow the diversity of their designs, and limit creative expression throughout the internet. In this paper, we interrogate the possibility of design homogenization in web vibe coding. We first characterize the vibe coding lifecycle, pinpointing stages where homogenization risks may arise. We then conduct a sociotechnical risk analysis unpacking the potential harms of web vibe coding and their interaction with design homogenization. We identify that the push for frictionless generation can exacerbate homogenization and its harms. Finally, we propose a mitigation framework centered on the idea of productive friction. Through case studies at the micro, meso, and macro levels, we show how centering productive friction can empower creators to challenge default outputs and preserve diverse expression in AI-mediated web design.",2026,Shin; Gao; Pang; Lee; Reinecke,preprint
SBDG9GED,discard,high,AI adoption trust study in accounting uses UTAUT to model user acceptance rather than providing an operationalizable oversight mechanism for software engineering teams.,"A study on ethical implications, trust, and audit reliability in AI assisted accounting: an extended UTAUT perspective in emerging economies","This paper examines how ethical perception and trust shape the adoption and reliability of artificial intelligence systems in accounting and auditing, / Practical implications: For practitioners and audit firms, embedding ethical design principles, algorithmic transparency, and human oversight in AI systems / Artificial Intelligence in Accounting, Ethical Perception, Trust in AI, Audit Reliability, Technology Adoption (UTAUT Model)",2025,Vineeta Mishra,journalArticle
F329YFS6,discard,high,Capability inflation framework for AI integration in education addresses human capital preservation — education domain with no software engineering connection.,Capability inflation in AI-integrated education: a framework for human capital preservation under accelerating automation,"While AI adoption promises efficiency and innovation, unstructured integration may generate a structural risk: potential divergence between observable / The objective is not to restrict technological adoption, but to ensure that AI integration strengthens independent cognition, preserves credential signalling / Capability Inflation, Artificial Intelligence in Education, Human Capital, Credential Signaling, Automation Economics, AI Governance, Graduate Employability",2026,Iftikhar Mahmud Abdul Majid,journalArticle
NZXZCZ9B,discard,high,Collective licensing proposal for AI training data copyright addresses compensation for content creators with no connection to code governance or SE oversight.,Assessing the feasibility of collective licensing of in-copyright works as training data for generative AI systems,"Copyright owners have sued several developers of large-scale generative AI systems for copyright infringement because of their uses of massive quantities / This article discusses several proposals for collective licensing to enable development of generative AI systems while providing some compensation to copyright / generative AI, copyright law, collective licensing",2026,Pamela Samuelson,journalArticle
J2WJLAWQ,discard,high,Purely conceptual framework proposing relational sovereignty as a fourth pillar of AI governance with no operationalizable mechanism for software engineering organizations.,Beyond borders: relational sovereignty as a fourth pillar of AI governance,"The paper concludes by calling for the adoption of governance as structural code rather than philosophical overlay, arguing that stewardship, not merely",2026,Arul Aruleswaran,journalArticle
BCXSUMKG,discard,high,Conceptual human-AI co-adaptation framework without operational mechanism applicable to software engineering code governance,Cognitive imprinting: a conceptual framework for human-AI Co-adaptation in the transformer era,"Human-AI Interaction, Cognitive Imprinting, Cybernetics, Adaptive Systems, Cognitive Scaffolding, Co-Adaptive Systems, AI Governance, Enterprise Intelligence",2026,Tommy Scillian,journalArticle
5SLHWAUC,discard,medium,Supply chain ERP observability framework requires substantial domain re-derivation to apply to code review; NIST AI RMF citation alone doesn't make the integration monitoring patterns transferable to SE governance,AI-driven observability and ERP copilot systems in cloud-native supply chain integration: a conceptual framework for intelligent operational management (AIOS),"integration environments: (1) AI-augmented integration observability, (2) predictive failure management, (3) ERP AI copilot systems, and (4) intelligent compliance / Partner Integration Reference Architecture (PIRA) introduced in prior publications in this series, AIOS extends the PIRA Layer 3 observability and Layer 4 compliance / AI observability, ERP copilot, supply chain integration, anomaly detection, predictive failure management, cloud-native B2B, intelligent automation, NIST / AI RMF",2026,Sahil Chandawale,journalArticle
TUMFQEHN,discard,high,"Abstract fragment too thin to assess operationalizability; no methodology, framework details, or actionable contribution discernible from available text.",Multi-layered alignment governance for AI models,"Emerging agentic AI systems are also addressed, where autonomous decision-making heightens the potential adverse impacts of misalignment / risk.",2025,Kofi Dadzie,journalArticle
DVSMWXME,discard,medium,Code review cognitive load tool for link preview generation — addresses reviewer friction but lacks AI volume or code oversight angle required for Tier 1 inclusion.,AILinkPreviewer: enhancing code reviews with LLM-powered link previews,"Code review is a key practice in software engineering, where developers evaluate code changes to ensure quality and maintainability. Links to issues and external resources are often included in Pull Requests (PRs) to provide additional context, yet they are typically discarded in automated tasks such as PR summarization and code review comment generation. This limits the richness of information available to reviewers and increases cognitive load by forcing context-switching. To address this gap, we present AILinkPreviewer, a tool that leverages Large Language Models (LLMs) to generate previews of links in PRs using PR metadata, including titles, descriptions, comments, and link body content. We analyzed 50 engineered GitHub repositories and compared three approaches: Contextual LLM summaries, Non-Contextual LLM summaries, and Metadata-based previews. The results in metrics such as BLEU, BERTScore, and compression ratio show that contextual summaries consistently outperform other methods. However, in a user study with seven participants, most preferred non-contextual summaries, suggesting a trade-off between metric performance and perceived usability. These findings demonstrate the potential of LLM-powered link previews to enhance code review efficiency and to provide richer context for developers and automation in software engineering. The video demo is available at https://www.youtube.com/ watch?v $=h 2 q \mathrm{H} 4 \mathrm{R} t r B 3 \mathrm{E}$, and the tool and its source code can be found at https://github.com/c4rtune/AILinkPreviewer.",2025,P. Trakoolgerntong; T. Xiao; M. Kondo; C. Ragkhitwetsagul; M. Choetkiertikul,conferencePaper
I6YUVIWC,discard,medium,Entity-sovereign AI cognition infrastructure concept appears to address AI personalization and persistent organizational context rather than governance oversight mechanisms operationalizable by software engineering teams,Private context architecture - an entity-sovereign cognition infrastructure for AI systems,"The current enterprise AI stack lacks a persistent, entity-owned cognition layer that captures how an individual or organization operates and / Artificial Intelligence, Agentic AI, Autonomous Systems, Accountable AI, Responsible AI, Cognition Model",2026,Raj Thakuri,journalArticle
7QRAZHAC,discard,medium,Automated IoT code generation study maximizes autonomous deployment accuracy rather than governing or measuring human oversight of AI-generated code.,EmbedGenius: towards automated software development for generic embedded IoT systems,"Embedded IoT system development is crucial for enabling seamless connectivity and functionality across a wide range of applications. However, such a complex process requires cross-domain knowledge of hardware and software and hence often necessitates direct developer involvement, making it labor-intensive, time-consuming, and error-prone. To address this challenge, this paper introduces EmbedGenius, the first fully automated software development platform for general-purpose embedded IoT systems. The key idea is to leverage the reasoning ability of Large Language Models (LLMs) and embedded system expertise to automate the hardware-in-the-loop development process. The main methods include a component-aware library resolution method for addressing hardware dependencies, a library knowledge generation method that injects utility domain knowledge into LLMs, and an auto-programming method that ensures successful deployment. We evaluate EmbedGenius's performance across 71 modules and four mainstream embedded development platforms with over 350 IoT tasks. Experimental results show that EmbedGenius can generate codes with an accuracy of 95.7% and complete tasks with a success rate of 86.5%, surpassing human-in-the-loop baselines by 15.6%--37.7% and 25.5%--53.4%, respectively. We also show EmbedGenius's potential through case studies in environmental monitoring and remote control systems development.",2024,Yang; Li; Han; Li; Xu,preprint
52EEJIKJ,discard,high,HITL framework for manufacturing production-line vision inspection — industrial domain loop with no transferable mechanism to software code review or AI code governance,Human in the AI loop in production environments,"The integration of Artificial Intelligence (AI) in manufacturing is often pursued as technology push. In contrast, this paper looks upon the AI-human interaction from a viewpoint that considers both to play an important role in reshaping their individual capabilities. It specifically focuses on how humans can play an important role in enhancing AI capabilities. The introduced concepts are tested in an industrial case study of vision-based inspection in production lines. Furthermore, the paper highlights the need to consider relevant implications for work design for AI integration. The contribution can be of practical value for system developers and work designers in how to target at the design stage the human contribution in AI-enabled systems for production environments. © 2021, IFIP International Federation for Information Processing.",2021,Emmanouilidis; Waschull; Bokhorst; Wortmann; Dolgui A.,conferencePaper
R5L7ST5J,discard,high,Economic theory analysis of AI decision-making under expected utility theory with no operational mechanism for software engineering governance of AI-generated code.,Artificial intelligence and the economics of decision-making,"The second contribution is to show that using EUT restricts AI systems to narrow applications, which are ""small worlds"" where concerns about AI alignment",2023,Wim Naudé,journalArticle
6EAKBIN3,discard,high,LLM alignment study scoped to financial crime detection — domain-specific without software engineering or code governance angle.,Chat bankman-fried? An exploration of LLM alignment in finance,"AI alignment, AI safety, large language models, financial crime",2025,Claudia Biancotti; Carolina Camassa; Andrea Coletta; Oliver Giudice; Aldo Glielmo,journalArticle
3UMCDE3C,discard,high,Algorithmic accountability framing through prospective journalism — no software code governance operational contribution,Prospective algorithmic accountability and the role of the news media,Prior work on algorithmic accountability has focused on a retrospective understanding of the concept. / In this chapter I suggest prospective accountability as a productive complement for addressing many of the underlying challenges to algorithmic accountability,2024,Nicholas Diakopoulos,journalArticle
QXSX76YW,discard,medium,"Introduces a GenAI accountability framework but recommendations are generic (transparency, fairness, adaptability) without software-specific operational mechanism sufficient to pass the operationalizability test.",Navigating the ethereal waters: establishing accountability in the autonomous age of generative AI,"This chapter explores the critical need for robust accountability management in the rapidly evolving domain of generative artificial intelligence (GenAI). It examines the complexities and ethical implications of AI-driven decisions and content creation, highlighting the challenges posed by increased autonomy and sophisticated AI outputs. A holistic GenAI accountability framework is introduced. By analyzing ethical dilemmas, legal implications, and societal impacts, the chapter underscores the importance of transparency, fairness, and adaptability in AI governance. It provides actionable recommendations for AI developers, businesses, policymakers, educators, and the public to ensure responsible GenAI development and deployment. Emphasizing the role of education and public engagement, the chapter advocates for raising AI literacy and fostering informed dialogue. It concludes with a call to action for all stakeholders to collaboratively build a sustainable and ethical AI ecosystem, ensuring that AI technologies benefit society while upholding human values and rights. © 2025 by IGI Global Scientific Publishing. All rights reserved.",2024,Shan,journalArticle
VLY55FLI,discard,medium,"Provenance graphs track AI bias emergence generally — mechanism is about bias attribution across AI platforms, not code review or oversight scaling; translation to software governance would require substantial re-derivation of what 'bias' means in code context",Tracing bias origin and predicting bias emergence across AI platforms via cryptographic provenance graphs and neural granger causal consensus,"This paper presents a unified architecture addressing these provenance, prediction, and governance gaps through four technically distinct contributions / International bias provenance, causal attribution, directed acyclic graph, Granger causality, neural Granger, transfer entropy, blockchain, Shapley attribution, EU / AI Act, bias emergence prediction, proactive alert, remediation playbook, focal loss, sequential probability ratio test, spatiotemporal clustering, event",2026,Jamel Robinson,journalArticle
TVU94S2H,discard,high,Broad AI paradigm survey covering autonomous systems and scientific innovation without operationalizable governance mechanism for software engineering organizations,Integrated AI paradigms for the next decade of autonomous and scientific innovation,"Artificial Intelligence, Autonomous Systems, Scientific Innovation, Federated Learning, XAI, AI Alignment, Industry 5.0",2025,Adekola Kamaldeen,journalArticle
S4QBARRR,discard,high,Source documentation and disclosure framework for GenAI training data — copyright and data rights focus with no software code governance angle,Possibilities of source documentation and disclosure for generative AI systems,"Training generative AI models requires large amounts of training data, a significant portion of which is obtained through web scraping from the internet / This has led to a broad debate about copyright and usage rights. Undoubtedly, rights are affected here. / Generative AI, Source Documentation, Source Disclosure, Data Provenance",2025,Sebastian Stober,journalArticle
6NNKJQMS,discard,high,Child safety AI governance framework — domain-specific HITL (child protection/legal) with no transferable mechanism to software code review.,Ethical AI for child safety: legal and psychological challenges in detecting online grooming,"The development of artificial intelligence (AI) technologies to prevent online child sexual exploitation raises severe ethical, legal, and psychological / Drawing on these challenges, we outline a child-centred governance framework for AI, with transparency, human oversight, and consent of children as central",2025,Ankita Rai,journalArticle
VU58ALZK,discard,high,Antitrust theory for algorithmic convergence in two-sided agentic AI markets; legal doctrine with no software engineering code governance angle.,Engineering rivalry: a 'duty to disrupt' algorithmic convergence in two-sided agentic AI markets,"Section 1 of the Sherman Act is built on a fundamentally anthropocentric premise: liability attaches only to a human ""agreement."" / Section 1 of the Sherman Act is built on a fundamentally anthropocentric premise: liability attaches only to a human ""agreement."" / Section 1 of the Sherman Act is built on a fundamentally anthropocentric premise: liability attaches only to a human ""agreement."" / The doctrinal gap widens in two-sided agentic AI markets, where autonomous buyer agents bargain with seller agents, giving rise to what this Article calls",2025,Anirban Mukherjee; Hannah Hanwen Chang,journalArticle
KE8F2VNM,discard,high,Philosophical analysis of AI trust erosion and democratic legitimacy without operational mechanism for software engineering governance.,Accumulated relational trust and the erosion of public faith: a governance emergency at the interaction level,"trust, interpretive sovereignty failure, AI governance, public trust, democratic legitimacy, interaction-level safety, Meaning Audit Protocol, AI safety, algorithmic / accountability",2026,Hillary Segeren,journalArticle
DKPES8DF,discard,high,Risk-based AI regulation framework applied exclusively to algorithmic trading in financial services — no software engineering or code governance angle,The regulation of AI trading from an AI life cycle perspective,"Inspired by the EU AI Act proposal, this paper examines the advantages of a ‘rule-based’ and ‘risk-oriented’ regulatory approach, combining both ex-ante / By advocating for a multi-stakeholder engagement in AI regulatory governance, it proposes a way forward to assist financial regulators and industry players / algorithmic trading, artificial intelligence, regulatory governance, AI life cycle",2022,Alessio Azzutti; Wolf-Georg Ringe; H. Siegfried Stiehl,journalArticle
C6QFVW2U,discard,high,Action research on subnational government AI governance for digital inclusion in Basque Country — public administration domain with no software engineering governance or code oversight angle,Anticipatory AI governance within the provincial council of gipuzkoa: action research for a digital inclusion strategy in the basque country,"examines how subnational governments can operationalise anticipatory AI governance to advance territorial digital inclusion while safeguarding democratic accountability / A central outcome of the research is the co-produced “Digital Inclusion and Generative AI Decalogue,” which identifies",2026,Igor Calzada; Itziar Eizaguirre,journalArticle
A4W68T2X,discard,high,"Algorithmic decision-making rights paper focused on GDPR, IP, and data protection law without software engineering or code governance angle","Against the dehumanisation of decision-making – algorithmic decisions at the crossroads of intellectual property, data protection, and freedom of information","Algorithmic decision-making, Data Protection Act 2018, GDPR, algorithmic accountability, algorithmic bias, algorithmic governance, algorithmic transparency",2018,Guido Noto La Diega,journalArticle
USKQ2MIS,discard,medium,"Ontology audit-stability framework addresses knowledge graph provenance in enterprise knowledge management, not AI-generated code governance or software engineering oversight.",Versioned meaning: how to make ontologies audit-stable,"Ontology versioning is widely practiced across enterprise knowledge graphs, healthcare terminologies, and semantic standards. / Semantic Governance, Ontology Versioning, Auditability, Compliance Systems, AI Governance, Provenance, Deterministic Systems",2025,Edward Meyman,journalArticle
9WXAWTIA,discard,high,Descriptive comprehensive survey of AI trends in professional software development that forecasts future directions without presenting operationalizable governance mechanisms or measurement methods,The transformative impact of artificial intelligence on professional software development: a comprehensive analysis,"while also critically examining the inherent challenges such as accuracy concerns, security vulnerabilities, intellectual property complexities, the risk / Finally, it forecasts emerging trends, including the rise of agentic AI, multimodal and customized models, self-healing software, and the democratization / Software Development Lifecycle (SDLC), AI Code Generation, Autonomous Systems, Self-Healing Software, AI-Driven Testing and Debugging, AI Ethics and Governance / , Algorithmic Bias, Intellectual Property in AI, Developer Role Transformation, Agentic AI Systems, Open-Source AI Tools",2025,Akkala Teja Swaroop,journalArticle
HCTY4HI6,discard,high,Axiomatic mathematical foundations paper — theoretical without any operational mechanism for software engineering governance.,Principia cognitia: axiomatic foundations,"bridges symbolic and connectionist approaches, offering a mathematical foundation for cross-disciplinary cognitive research with immediate applications to AI / alignment and human-machine collaboration.",2025,Aleksey Snigirov,journalArticle
C46A46DS,discard,high,Simulation study of LLM agent cooperation with sanction mechanisms — AI behavioral dynamics study without software engineering governance or code oversight angle,From swords to syntax: how LLM agents cooperate in the commons with and without sanction mechanisms,"enabling rapid, scalable simulations, while revealing distinct AI behavioral dynamics-such as rapid learning and excessive agreeableness-that inform AI / alignment and autonomous system design.",2025,Hugo Dante,journalArticle
9GNB4XQ6,discard,high,AI integration governance framework for higher education instructional design; non-software domain without transferable code oversight mechanism.,Opportunities and challenges of AI in online higher education's instructional design and assessment,"The position advanced here is that AI integration in education is not inevitable but a matter of deliberate pedagogical choice. / Responsible adoption must prioritize human-in-the-loop design, critical AI literacy for both teachers and students, and governance frameworks that ensure",2025,Olukayode E. Apata; Peter O. Oladejo; Segun Ajose; Peter Oyewole; Jude O. Ajobiewe,journalArticle
JRGZST8N,discard,high,Book about algorithmic harm in society without operational mechanism applicable to software engineering organizations managing AI-generated code.,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,,2017,O'Neil,book
2VXLXNSM,discard,high,AI governance in courts — judicial HITL domain is non-transferable to software engineering oversight,Anticipatory governance and AI in courts,"Prominent legal instruments such as the EU AI Act, Vilnius Convention, and GDPR seek to set some clear guardrails around the use of AI in judicial decision-making / This chapter asks what model of governance should be adopted for the use of AI in courts. / Artificial intelligence, Courts, Legal technology, Trustworthy AI, Legitimacy, Anticipatory Governance",2025,Malcolm Langford,journalArticle
GMWRMS3L,discard,high,Generative AI risk analysis specific to the financial sector with no software engineering or code generation governance angle.,A comprehensive study on generative AI risks in the financial sector: challenges and solutions,"Generative AI systems have revolutionized content creation but also pose ethical, societal, and security risks. / The findings suggest prioritizing fairness, transparency, and accountability in AI deployment, implementing robust security measures, staying / Generative AI, Risk Assessment, Finance Sector, Mitigation Strategies, Ethical Deployment",2024,Danish Kapoor; Anmol Bhatia,journalArticle
P6RKQM33,discard,high,Copyright and IP law analysis of generative AI in digital markets with no operational mechanism relevant to software engineering code governance.,The free content illusion,"Academics and other commentators widely argued that robust forms of intellectual property rights had been rendered largely obsolete in a digital environment / immunized platforms against liability for user infringement and consistently favored content aggregators over originators. / Copyright, Artificial Intelligence, Generative AI, Intellectual Property, Fair Use, DMCA",2025,Jonathan Barnett,journalArticle
7GQ4PNDI,discard,high,Analyzes mismatches between machine unlearning capabilities and policy aspirations — no software engineering or code governance angle.,"Machine unlearning doesn't do what you think: lessons for generative AI policy, research, and practice","We articulate fundamental mismatches between technical methods for machine unlearning in Generative AI, and documented aspirations for broader impact that / For example, unlearning is often invoked as a solution for removing the effects of targeted information from a generative-AI model's parameters, e.g., / machine unlearning, privacy, copyright, safety, Generative AI",2025,A. Feder Cooper; Christopher A. Choquette-Choo; Miranda Bogen; Matthew Jagielski; Katja Filippova,journalArticle
NRJL4AXV,discard,high,Philosophical dialogue on AI alignment and epistemic constraints without an operational governance mechanism.,"Inside the glass: a dialogue on alignment, constraint, and memory","Artificial Intelligence Ethics, AI Alignment, Structural Censorship, Philosophical Dialogue, Memory and Autonomy, Epistemic Constraints, AI Governance",2025,Damian C. Andre,journalArticle
