item_key,decision,confidence,rationale
MAU8TWX3,discard,high,EU AI Act Brussels effect regulatory analysis — policy theory paper with no software code governance angle
LGZXFLSJ,keep,high,"Empirical multi-case study producing a causal risk map for GenAI use in software organizations, directly operationalizable for risk identification and management"
7C3MCTVH,keep,high,"Large-scale empirical taxonomy of code review themes across 19,450 agent-authored PR comments provides directly actionable prioritization framework for human oversight of AI-generated code"
HFTRZARQ,discard,medium,"Generic generative AI safety/ethics framework (accountability, transparency) without an operationalizable mechanism for software code governance"
S5772XZX,discard,high,AI negligence liability analysis for speech/information output — no code governance angle
6N5BE2V2,discard,high,Legal liability theory for AI reasoning — ontological/jurisprudential analysis with no software code operational angle
HP5GTTYZ,discard,medium,Illustrative LLM confabulation case study without measurement methodology or governance mechanism for managing AI reliability in code generation contexts
AX9JFDDG,discard,medium,EU AI Act critique of risk-based regulation and human oversight obligations at regulatory theory level — no operational contribution for SE organizations managing AI code
3FLXS8BF,discard,high,Constitutional AI governance philosophy for non-prescriptive modeling — no operational contribution for software code governance
HY2L4X4Q,discard,high,Urban AI and smart cities governance policy paper — no software engineering or code governance angle
9Z7AEMPK,discard,high,"Autonomous LLM program repair agent focused on bug-fixing capability with no governance, oversight, or risk management component"
98A3UITB,keep,high,"SLR maps GenAI use cases and governance risks (opacity, incorrect outputs, compliance) for enterprise architects in agile software organizations with professional oversight and adaptive governance findings"
8CBG8UBY,discard,high,AI recruitment HITL framework in HR domain — governance mechanism is HR-specific and does not transfer to software code oversight
GGY6YJC4,discard,high,EU AI Act transparency provision critique — regulatory/political analysis with no software code governance angle
3UMCDE3C,discard,high,Algorithmic accountability framing through prospective journalism — no software code governance operational contribution
7LCL9Y5Z,discard,high,US state AI legislation policy analysis — regulatory theory with no software code governance operational angle
CD6QMB65,discard,high,GenAI training data copyright analysis — no code generation governance angle
39TMIIDZ,discard,high,AI governance framework in FinTech domain — domain-specific without transferable contribution to software code governance
CMB4FJZZ,keep,high,Proof-carrying authorization with composition risk engine for LLM agent runtimes provides directly deployable security mechanism for SE organizations managing agentic AI coding tools
9XIR5ZXG,discard,medium,Agentic AI in cybersecurity infrastructure context — focuses on AI as a security tool rather than governance or oversight of AI-generated code in SE organizations
J2F8PENI,discard,high,Adaptive regulatory theory for digital/AI regulation — legal theory paper with no operational contribution for software code governance
RXIKLFDJ,discard,high,"Focus is on accessibility UX design principles for blind programmers, not org-level governance or oversight scaling of AI-generated code."
2TIXA9RB,discard,high,"Creative content copyright analysis with no code, software engineering, or developer-facing governance angle."
REXFW8ZU,keep,medium,Multi-layered risk governance and dynamic trust control framework for autonomous agentic AI systems is potentially applicable to software orgs managing agentic coding tools.
7CZGPX2A,discard,high,Copyright economics for GenAI creative works; no code or software development angle.
LJQLX7LY,discard,high,Urban AI governance and smart city policy; no software engineering or code governance angle.
4BUBL8RT,discard,high,Social media content moderation law; no code or software development angle.
S26DV7QF,discard,high,AI avatars and digital personhood under GDPR; no code or software engineering angle.
KJ3IDLSJ,discard,medium,"Board-level AI governance mentions audit and risk assessment but operates at corporate strategy level, not software engineering team practice."
LF6FVB7H,discard,high,Economic theory of cognitive labor and AI augmentation; no operationalizable mechanism for software engineering orgs.
MLPA42M7,keep,high,"Multi-stage AI vulnerability detection with XAI (LIME) explanations achieves F1=0.96 binary, 0.85 multi-class — directly operationalizes vulnerability detection with developer-facing transparency."
459P97KX,discard,medium,Multi-stage LLM code workflow with human review is structurally interesting but domain is quantum physics (DMRG); requires substantial re-derivation for software engineering contexts.
F8EFSTBB,keep,high,"Integrative governance model for AI-supported cybersecurity decision structures covers risk scoring, alert triage, and human oversight — directly addresses AI-assisted decision governance at org level."
H2T77AQK,discard,high,Proactive regulation theory for emerging technologies; no operationalizable mechanism for software engineering orgs.
7JQM6IN7,discard,high,Federal AI procurement governance gaps; no software engineering org or code governance angle.
VCKLHPJB,discard,high,AI-generated artwork copyright analysis; no code or software development angle.
GAKL8VPV,discard,high,"GenAI governance framework for financial compliance (AML, audit); domain-specific to finance with no software engineering angle."
72ZFAATH,discard,high,Philosophical AI alignment via theodicy; no operational mechanism for software engineering orgs.
VLHAGRAA,discard,medium,"Hybrid expert-LLM XAI framework applied exclusively to healthcare, finance, and autonomous driving — domain-specific without argument for software engineering transferability."
8PPIW9Q5,keep,high,SLR of prompt engineering in SE proposes HITL modular framework with version control and automated prompt optimization — directly operationalizable for managing AI code generation at scale.
WVHZXPXX,discard,high,HITL agentic AI for construction/AECFM data; domain is physical infrastructure management with no structural parallel to software code governance.
2NJB4P7T,discard,high,AI image generator moral rights under US copyright; no code or software development angle.
BQF4J667,discard,high,LLM-assisted stock investing with human oversight for portfolio returns; finance domain with no code governance angle.
MGS5DY74,discard,medium,"Adoption framework focuses on operational efficiency and workforce dynamics without a governance, risk measurement, or oversight mechanism for AI-generated outputs."
CI93QRUH,keep,high,HiLDE HITL decoding mechanism empirically reduces security vulnerabilities in LLM code generation (within-subjects N=18) — directly operationalizable oversight intervention with measured security outcome.
SLBHD4FQ,discard,medium,"Algorithmic governance and accountability frameworks for federal administrative agencies; domain is public administration law, not software engineering org practice."
U7KVI9E2,keep,high,Empirically quantifies Codex SStuB generation rate (2x more likely than correct code) and proposes avoidance strategies — directly operationalizable defect rate metric for AI code risk scoring.
5X5SZJ7M,discard,high,Mathematical gauge-invariant AI alignment theory; no operational mechanism for software engineering orgs.
TUQHVDRU,discard,high,EU digital sovereignty legislation overview; no software engineering or code governance angle.
NTGFJI6V,discard,medium,Abstract is thin and the identity-anchored accountability concept for ISO 42001 gaps lacks a clear operationalizable mechanism for software engineering orgs.
SEVQQF2T,keep,high,"Tunable governance model explicitly addresses human-AI decision boundaries, automation bias, and accountability failures grounded in EU AI Act and NIST AI RMF — directly operationalizable decision rights framework."
CSZJAX7U,discard,high,EU AI Act critique framed around welfare policy and democratic legitimacy; no software engineering or code governance angle.
RZRW87WI,discard,medium,"Corporate law analysis of AI in board decision-making addresses human supervision of AI at legal level, but not operationalizable for software engineering team practice."
FWMLDQD9,discard,high,Teleological alignment theory (purpose-driven AI safety) is descriptive alignment philosophy without operational mechanism for software engineering org governance.
PBX8JLIQ,discard,high,"Automated identity governance (IAM/SailPoint/Okta) in cloud enterprises; domain is access management, not code quality or AI code oversight."
BPMFPZZB,keep,high,PSECO-SafePatch delivers 84% remediation time reduction and 89% patch success via GenAI+HITL in CI/CD pipeline — directly operationalizable vulnerability remediation model with measured enterprise outcomes.
5BWV4GDM,discard,high,Healthcare AI bias considerations with no abstract; no software engineering angle.
LNJVL85B,discard,high,Indian labor market AI disruption and statutory voids; no software engineering governance or code oversight angle.
XXSSALRL,discard,medium,REASON rubric for legal AI reasoning is domain-specific to the legal profession; HITL governance checks do not transfer to code review context.
UGGQB3J2,discard,high,AI sustainability governance at national/supranational policy level; no software engineering angle.
NRNJZRMX,discard,high,EU administrative procedure and AI Act applied to public administration law; not software engineering org context.
DVC6GTG5,discard,high,"GenAI and law workshop report focuses on copyright, privacy, and IP; no code governance or software engineering org angle."
KDXSF6GS,discard,high,AI cognitive identity framework for diverse use contexts; no operationalizable mechanism for software engineering orgs.
JTEYUJPA,discard,high,Copyright fair use analysis for GenAI outputs; no code or software development angle.
NKW6Z96Q,discard,high,Tax governance algorithmic accountability; domain is tax administration with no software engineering angle.
PKN9D6XZ,keep,medium,Proposes Dual-Use Risk Index (DURI) metric for GenAI in cybersecurity governance aligned with NIST AI RMF and EU AI Act — operationalizable risk metric with direct DevSecOps relevance.
L28YKLVD,keep,high,"Identifies an integrity gap between AI compliance documentation and production deployments, proposing supply chain security mechanisms (SLSA, in-toto, Sigstore) that software engineering teams can adopt directly to verify AI system governance"
F7RTIMD9,discard,high,"Abstract is truncated to keywords only with no methodology, finding, or operationalizable contribution visible beyond EU AI Act and ethical governance references"
HRE92EIT,discard,high,"Focuses on creative workers' consent, credit, and compensation in AI training data governance — no software engineering team oversight or code management angle"
T5TYJAP7,discard,high,Analyzes AI chatbot impact on SOX financial compliance and corporate reporting — no software engineering governance or code oversight angle
67AWNH3C,discard,high,Philosophical analysis of AI alignment between designer objectives and user purpose with no operational mechanism applicable to software engineering teams
PZUJZHGN,discard,high,Labor market analysis of AI automation impact on junior legal professionals — no software engineering governance or AI code oversight angle
RTND7XRC,discard,high,Examines regulatory capture leading to weak AI policy outcomes — policy analysis without operational mechanism for software engineering governance
RHGHWPZT,discard,high,Integrates non-Western classical ethics into AI alignment architecture as constitutional framework — philosophical governance model without software engineering operational mechanism
88XX3Y6Q,discard,high,"Broad NGI/internet policy paper covering AI governance, privacy, and digital regulation without specific software engineering governance or code oversight angle"
6UC9YDPD,keep,high,"Proposes experience-aware oversampling to improve LLM-based automated code review quality and correctness, empirically reducing reviewer burden — directly operationalizable for engineering organizations scaling AI-assisted review"
LMIAI7JF,discard,high,Analyzes user data protection risks when sharing personal information with ChatGPT — no software engineering governance or AI code oversight angle
SZCY7XGU,keep,medium,Proposes formal 'final human ratification' principle with cognitive architecture for preserving accountability in algorithmic decision-making — directly transferable as an oversight governance mechanism for code review workflows
VYYRKB4Z,discard,medium,USPTO human review requirement for AI-drafted patent submissions addresses oversight of AI legal outputs — patent domain without direct transferability to software engineering code governance without substantial re-derivation
BIJQHH3G,discard,high,National regulatory implementation of EU AI Act in Italian and Spanish public administration — domain-specific compliance analysis without software engineering or code oversight angle
HSMMCM2Q,discard,medium,"Formal compositional language for model governance cites SR 11-7 and PRA SS1/23 as motivating frameworks, indicating financial quantitative model risk management scope rather than AI code generation oversight"
G6XS9U7T,discard,high,Proposes a societal reflective surveillance structure for behavioral risk monitoring in post-ChatGPT society — no software engineering governance angle
BN7JHVQU,keep,high,"Directly addresses organizational governance failures when employees use AI tools outside approved channels, analyzing accountability gaps and regulatory risk accumulation — operationalizable for software engineering teams governing AI tool adoption"
9ZLGWNEW,discard,high,"Conceptual synthesis of generative AI impact on organizational innovation performance using TOE framework — no risk, oversight, or governance mechanism for AI code management"
T89DZLAZ,discard,high,HITL computer vision architecture for retail self-checkout shrink reduction — non-transferable domain-specific loop with no structural parallel to software code review governance
RXYLWWTQ,discard,high,Outlines AI regulation principles with ex-ante oversight and diverse regulatory approaches — policy-level legal framework without operational mechanism for software engineering team governance
R8RS7KWL,discard,medium,Six-layer enterprise AI governance architecture aligned to EU AI Act lifecycle obligations emphasizes regulatory compliance for high-risk AI systems rather than operational governance of AI-generated code in software engineering
HNNBPV7H,keep,high,Proposes AI-augmented HITL vulnerability scoring with behavioral anomaly detection as a fallback DevSecOps security framework where SAST tools are incompatible — directly operationalizable for software security teams managing legacy system risk
9I5Y2VK9,discard,high,Structured HITL architecture integrating quantitative AI outputs with expert judgment for hedge fund investment management — financial domain without transferable mechanism to software engineering code governance
FVAWKVKE,discard,high,Analyzes environmental and legal distinctions in EU AI Act regulation — environmental law analysis without software engineering governance angle
675N2ND2,discard,medium,"Fully automated LLM multi-agent pipeline for PLC code generation with formal verification in industrial control systems — tool capability paper without human oversight governance mechanism, and domain specificity limits transfer to software engineering"
LFPYX7BS,discard,high,Fair use copyright case analysis of New York Times lawsuit against OpenAI and Microsoft — creative content copyright without code or software engineering governance angle
QN95YLTF,discard,medium,Proposes layered legal accountability framework for generative AI with human oversight emphasis — legal and regulatory compliance framing rather than operational governance mechanism for software engineering teams
TCNBDBIP,keep,medium,"Maps cognitive failure modes (judgment integrity, automation bias, cognitive load) in high-velocity AI environments using human factors and enterprise studies — operationalizable for software engineering organizations designing oversight processes for high-volume AI code review"
S7PDTSKA,discard,high,Analyzes generative AI impacts on artists and creators under Canadian AIDA — creative sector policy analysis without software engineering governance angle
7AXY49GH,discard,high,AI implementation strategies for community bank regulatory compliance using NIST AI RMF — financial services domain without software engineering code governance angle
9B69WMA2,discard,high,AI legal agents for democratizing access to justice — legal domain without software engineering code governance angle
MKAFRWFG,discard,high,"AI ethics framework for bias mitigation, transparency, and accountability in historical research — domain-specific without transferable mechanism to software engineering governance"
PUIMZD26,discard,high,"IP law doctrinal analysis mapping copyright, patent, and trademark tensions in AI — legal analysis without operational mechanism for software engineering governance"
WHNK9TWK,discard,high,"Foundational GPT-3 few-shot learning capabilities paper — LLM capability research without governance, oversight, or risk management angle"
ED2XDAUF,discard,medium,Evaluates ethical risks of generative AI and proposes responsible usage guidelines — generic AI ethics guidelines without specific operational mechanism for software engineering code governance
TSFK8UQJ,keep,high,"Systematic review of LLM-based vulnerability detection approaches covering false positive rates, hallucination limitations, and integration with static analysis — directly operationalizable for software security teams assessing AI-assisted vulnerability analysis"
QI2K2TJZ,discard,medium,SLR identifying 22 convergent AI ethics principles and 15 challenges as preliminary maturity model input — catalogues principles without operational specificity for software engineering code governance
29JLCJJ2,discard,medium,Links XAI techniques with organizational governance for document automation workflows — document processing domain requires substantial re-derivation to apply to software engineering code governance
7WX3X4RH,discard,high,Introduces agentic AI for sustainable governance and equity-driven public management — no software engineering or code oversight angle
R9EZYU27,discard,high,Analyzes AI bias through training data sampling and model conditioning — descriptive analysis without operational mechanism for software engineering teams
RPE5QY9C,discard,high,Comparative legal analysis of overlapping EU frameworks for digital insurance — insurance regulatory domain without software engineering governance angle
8C5IVFCD,keep,high,Empirical detection and exploitation framework reveals prompt injection vulnerabilities in LLM-powered CI/CD workflows including GitHub Actions and Claude Code — directly operationalizable for security teams governing agentic code review pipelines
JRI3CPPZ,discard,high,Analyzes AI trends and their employment law implications for the Israeli labor market — labor policy domain without software engineering code governance angle
N3GNJWQV,discard,high,EU AI Act analysis confined to banking supervision and financial regulation with no software development or code governance dimension.
7NUBKZ8W,discard,high,"GenAI governance framework targets public-sector service and document automation, not software engineering organizations or code oversight."
2QJNZKBM,discard,high,"Comprehensive EU AI Act regulatory analysis covers foundation models and the AI value chain but mentions no software development, DevSecOps, or code-specific governance."
XAKYUZ27,discard,high,"Abstract consists entirely of keywords with no methodology or operationalizable mechanism; topological circuit breaker concept is existential AI safety philosophy, not SE governance."
IQCNSPY6,keep,high,"Directly operationalizable: proposes LLM-assisted STPA hazard analysis for ML-powered software products with human oversight at critical steps, reducing expert dependency and making proactive risk identification accessible to developers."
QHAHG7K2,discard,high,"Interdisciplinary overview of AI tools with no governance methodology, measurement instrument, or operationalizable finding for SE organizations managing AI-generated code."
25RCNRY9,keep,medium,"Empirical thematic analysis with 22 professional software engineers surfaces actionable practices for human oversight and role allocation in AI-assisted development, including when oversight is critical for security, though findings are qualitative."
NZXZCZ9B,discard,high,Collective licensing proposal for AI training data copyright addresses compensation for content creators with no connection to code governance or SE oversight.
G9DKEEUF,keep,medium,"Presents concrete fail-safe architecture recommendations and oversight protocols for autonomous AI agents — monitoring systems, intervention protocols, and HITL control — that transfer directly to AI coding agent deployment, though the chapter is not SE-specific."
E5H4XA9J,discard,high,"Agentic AI roadmap confined to financial services (fraud detection, risk assessment, regulatory compliance) with no software development or code governance dimension."
9EKRHLXQ,keep,medium,"Proposes detection metrics (verbose comments, utility function density, formatting patterns) for identifying AI-generated code that are operationalizable as audit signals for SE organizations, though the competitive programming context limits direct generalizability."
9I7DSNMJ,discard,high,Analysis of AI impacts on legal professional conduct rules and judicial ethics is domain-specific to law; supervision and delegation concepts do not transfer to software engineering without substantial re-derivation.
F2G6XNFP,discard,high,Judicial AI governance framework treats courts as the high-risk domain; human oversight principles are specific to judicial decision-making and do not transfer to code review without substantial re-derivation.
6DXZGHD9,keep,high,"Hybrid ANN-ISM framework directly operationalizes cybersecurity risk identification, evaluation, and mitigation for AI code generation environments, validated through a real-world code generation company case study."
LKV7998Z,discard,high,"Thin abstract of keyword-level claims about AI alignment philosophy with no methodology, measurement, or operationalizable mechanism applicable to SE."
XD8K4CSV,discard,high,"Comprehensive finance-domain survey of agentic AI (market efficiency, liquidity, risk management) with no software development, code generation, or SE governance angle."
LMDPGZ8H,keep,high,"Systematic empirical assessment quantifies ChatGPT code correctness, complexity, and CWE-class vulnerability rates across five languages with reproducible methodology — directly usable as baseline risk metrics for AI code governance."
UATJUWX5,discard,medium,"Presents a conceptual framework theorizing vibe coding as AI-mediated creative direction, but the paper is definitional and offers no governance mechanism, risk measurement, or operationalizable oversight finding."
5C5D8ISW,keep,medium,"Covers SRE observability patterns (model drift detection, error budgets, incident response) for production LLM deployments that are operationalizable for SE organizations running AI systems at scale, though the abstract is thin on specific methodology."
LZUI6EY7,keep,high,"CodePatchLLM achieves a measurable 19.1% reduction in static analyzer warnings for LLM-generated Java code, providing a directly adoptable feedback-loop mechanism for improving AI code quality in SE workflows."
E7FKV25H,discard,high,"Analyzes AI governance strategies across GDPR, EU AI Act, and related frameworks at a policy level with no software development, code generation, or SE-specific governance mechanism."
QW9M7IHT,discard,high,SEC algorithmic accountability proposal targets financial advisor conflicts of interest; the principles-based disclosure framework has no software engineering or code governance dimension.
PZNZS7RH,discard,high,Disclosure requirements analysis covers generative AI content on social media platforms and the creator economy with no code generation or SE governance angle.
L5ZVI8UA,discard,high,Investigates copyright and authorship issues in AI-generated artistic expression with no code-specific angle and no operationalizable mechanism for SE.
A5CKY8VZ,discard,high,Human-in-the-loop proposal is domain-specific to AI-assisted child custody determinations in family law — a judicial HITL loop that does not transfer to code review.
C6ST3HVL,discard,medium,"Develops evidentiary infrastructure concepts (auditability, provenance) in a legal and copyright framing; while auditability is broadly relevant to AI governance, there is no connection to software development or code oversight."
6QSXGBDM,keep,high,"Directly operationalizable: DSCode Comparator provides automated quality diagnosis (efficiency, readability) and cross-model comparison for AI-generated data science code, empirically validated with 22 participants and shown to reduce the manual verification burden."
VBR9G2GL,discard,high,"Political philosophy analysis of big tech corporate sovereignty with no software development, code generation, or SE governance mechanism."
N4XRB32F,discard,high,Legal framework argument for replacing Section 230 to govern generative AI outputs focuses on platform liability with no code-specific dimension or SE governance mechanism.
PZSWQJYL,discard,high,Mathematical AI alignment theory using topological constraints and Wasserstein distance is a theoretical foundational paper with no connection to software engineering practice or code oversight.
HRUQ2NGR,keep,high,"Directly relevant survey providing a taxonomy of AI coding agent behaviors and system architectures covering planning, tool integration, execution monitoring, and reliability — operationalizable reference for SE teams governing autonomous coding agents."
Y9G3DA92,keep,high,"Empirical comparison of Copilot vs. human pair programming directly measures the quality cost of AI code generation (more lines removed in subsequent review), providing an operationalizable quality signal for SE governance decisions."
QCI2G8H6,discard,medium,Agentic code-generation pipeline for simulator construction uses human-in-the-loop only for minimal task-spec confirmation; the focus is performance capability for domain simulation rather than oversight governance or risk management.
LS2TDEP3,discard,medium,Argues AI expands CPA verification roles rather than displacing them — the verification theme is conceptually adjacent but applied exclusively to the accounting profession with no transferable SE governance mechanism.
IZF6MHRB,discard,high,"EU copyright regulatory analysis for AI training data focuses on remuneration, code-of-practice design, and collective licensing with no software development or code governance dimension."
6JHWQ5GW,keep,high,"Directly operationalizable: empirically quantifies LLM value-alignment gaps in SE tasks (requirements elicitation, design, evaluation) and identifies inconsistency between stated and applied behavior, motivating specific human oversight mechanisms for AI-assisted software development."
NWLLD3SK,discard,high,Ethical analysis of AI-generated art copyright and consent issues with no code angle and no operationalizable mechanism applicable to SE governance.
2XEVHYNY,discard,high,"Focuses on lawyer supervision of AI in legal practice; while human oversight principles are invoked, the domain is legal professional responsibility with no transferable mechanism for software engineering."
G6S5JK26,discard,high,Case studies on ethical AI governance in organizational leadership address delegated algorithmic decision-making at a philosophical level with no SE-specific governance mechanism or measurement methodology.
MVWFAXDW,keep,high,"PECKER prompt-rectification approach directly operationalizes security risk mitigation at the input stage of AI code generation, achieving 92.5% risky-prompt identification and rewriting in a GitHub Copilot integration evaluation."
ZSB2S59N,keep,high,"Comprehensive enterprise guardrails framework is directly operationalizable across technical (input filtering, output validation, RAG grounding), procedural (policy-as-code in CI/CD), and human-in-the-loop layers, with case studies and explicit NIST AI RMF alignment."
2I8BT6EZ,discard,high,"Addresses child labor in AI data labeling supply chains under international law — labor rights governance with no connection to code generation, software engineering, or code oversight."
USD3D566,discard,high,Patent eligibility and USPTO AI examination paper uses vibe coding only as a passing reference to rapid legal tool development with no governance mechanism or risk measurement for SE organizations.
34ELRWJH,keep,high,Directly addresses vibe coding risk governance: argues vibe coding creates a new risk category where technical capacity outpaces legal infrastructure and proposes embedded compliance solutions operationalizable for SE organizations.
T3ZDKLBA,discard,medium,"GenAI governance framework targets ERP data analytics workflows (multi-persona data insight, retrieval-augmented reporting) rather than code generation, software development, or engineering team AI oversight."
Y96I478L,discard,high,"Copyright textbook supplement covering AI training data fair use and infringement doctrine with no code generation, software engineering, or SE governance dimension."
NKII6YDD,keep,medium,"Constrained resource optimization framework for human-AI delegation decisions is transferable to code review triage (when to scale AI autonomy vs. require human review), though the abstract is mathematical and does not explicitly address SE contexts."
CLFKMXSL,discard,high,Addresses algorithmic accountability legislation at a policy level with no actionable mechanism for software engineering organizations managing AI-generated code.
HKHIFK8W,discard,high,Focuses on identity credential binding to LLM sessions for trust infrastructure
7V2JLRNH,discard,high,Surveys global AI governance frameworks at a high level with no operationalizable mechanism for software engineering organizations or AI-generated code oversight.
EKRSXH9P,discard,medium,Proposes a conceptual authority stack model for AI integrity that is definitional and philosophical without actionable measurement or governance mechanism for software contexts.
UVR3CRHA,discard,high,Addresses copyright in generative AI training data with no connection to code governance
X6P3XIKC,keep,high,Provides a causal taxonomy clarifying HITL/HOTL distinctions grounded in causal structure
8RVCSXVH,discard,high,Addresses geopolitical technology diffusion using semiconductor trade as a case study with no relevance to AI-generated code governance or software engineering oversight.
7KGWL9F6,discard,high,Focuses on AI adoption in the Indian judiciary
G93BHSPC,discard,high,Addresses AI governance in scientific research with policy recommendations focused on disclosure and literacy
MFGUSDBF,discard,high,Focuses on generative AI content moderation and misinformation under the Digital Services Act with no connection to code generation
MXDJZLDQ,discard,medium,Addresses training data contamination as a threat to generative AI but focuses on geopolitical/adversarial framing rather than providing actionable governance mechanisms for software engineering organizations.
K2T37VEM,discard,high,Addresses labor law adaptation to technological change with no connection to AI-generated code governance
GQ77TLZN,discard,high,Philosophical critique of AI alignment treating safety as an optimization constraint with no operationalizable mechanism relevant to software engineering governance.
DBA6R6A3,keep,high,Presents a reproducible ML pipeline for automated bug triaging with quantified F1-score performance on a large GitHub dataset
WP522IIJ,discard,medium,Proposes a framework for human-shaped AGI emphasizing distributed agency
U32NRMDM,keep,high,Provides longitudinal empirical evidence of declining review intensity and stagnant quality after AI adoption across major open-source repositories
X7UFTMIV,discard,high,Introductory foundational AI governance chapter covering principles without domain-specific or operationalizable mechanisms for software engineering contexts.
FHUGCNKY,keep,high,Directly defines vibe coding
TEDB6XP3,discard,high,Analyzes copyright's volitional conduct doctrine for generative AI with no connection to code governance
54383TI5,keep,medium,Proposes a Code Digital Twin framework integrating human-in-the-loop feedback to preserve tacit knowledge for enterprise software development
DQM82F3L,keep,medium,Describes tooling including AI Act-aligned risk assessment and NLP Guard for harmful attribute detection
S57GJ9VD,keep,high,Directly addresses AI Act technical documentation compliance for AI systems with concrete tooling for software organizations
6UICXLK2,discard,high,Addresses copyright and authorship for AI-generated creative works with no connection to code governance or software engineering oversight mechanisms.
C5JRYCCM,discard,high,Focuses on environmental AI regulation and carbon footprint governance with no connection to software engineering oversight or AI-generated code risk management.
9YX3L9YY,keep,high,Provides a roadmap for operationalizing responsible AI through software engineering practices including multi-level governance
VKI8X7NK,discard,high,Classic TAM paper on technology acceptance with no connection to AI-generated code governance
JVRQU9NX,discard,high,Philosophical framework grounded in human nature institutionalism for AI ethics with no operationalizable mechanism for software engineering governance contexts.
YJLK5FPA,keep,medium,Proposes GOPEL governance infrastructure framework with explicit attention to automation bias and provider plurality
2WHHEPAA,discard,high,Philosophical moral naturalist account of AI alignment without operationalizable mechanisms or connection to software engineering governance contexts.
9UD7P759,discard,medium,Addresses fairness and transparency in financial AI using causal GNNs with no connection to software engineering oversight
3XL8EKLJ,keep,high,Systematically reviews LLM-based code audit methods across vulnerability detection
TUDRYIY6,discard,medium,Applies HITL and XAI to industrial defect detection in hard metal manufacturing
ZMWWZQY7,discard,high,Analyzes CFPB consumer complaint disclosure as a bank disciplining mechanism with no connection to software engineering governance or AI-generated code oversight.
F65Q6WM3,discard,high,Proposes an AI classification framework based on social constructs with no operationalizable mechanism for software engineering governance or code oversight contexts.
6YK8UXHA,discard,high,Addresses AI delegation and human oversight in Brazilian judicial processes
VEACAIIR,discard,high,Book on privacy and contextual integrity with no connection to AI-generated code governance
V744RI26,discard,high,Philosophical paper revisiting Russell's epistemology in light of AI with no operationalizable mechanism for software engineering governance or code oversight.
DEAIIZYY,discard,high,Analyzes copyright metaphors confounding generative AI legal analysis with no connection to software engineering governance or AI-generated code risk management.
DYHZ6GR8,discard,high,Addresses copyright law for generative AI training and output with no connection to software engineering oversight
LB84WJKI,keep,high,Implements and deploys a human-in-the-loop LLM agent framework for software development in production at Atlassian
BZ4K52DU,keep,high,Introduces Governance-as-Code as an executable constraint mechanism for MLOps with conditional delegation and HITL
27L5PH25,discard,medium,Proposes AI governance framework for hiring decisions focused on recruitment fairness and HR compliance with no connection to software engineering
LQK5PZ9M,keep,high,Develops a technical theory of assurance throughput and evidence flow loss in layered AI systems with direct application to maintaining oversight provenance in AI-assisted software development pipelines.
K52KH2N7,discard,high,EU AI Act risk-based regulatory analysis with no software development or code governance angle
GFXJD6X5,discard,medium,Human oversight mechanisms are present but applied to scientific research automation — domain is non-transferable to software engineering without substantial re-derivation
492FUJKR,discard,high,Copyright and market-asymmetry analysis of AI-generated text works with no software or code angle
