item_key,title,abstract,prior_decision,prior_confidence,prior_rationale,source_queue
D62FTR38,"Stuck on suggestions: automation bias, the anchoring effect, and the factors that shape them in computational pathology","Artificial intelligence (AI)-driven decision support systems can improve diagnostic accuracy and efficiency in computational pathology. However, collaboration between human experts and AI may introduce cognitive biases such as automation and anchoring bias, where users adopt system predictions blindly or are disproportionately influenced by AI advice, even when inaccurate. These effects may be amplified under time pressure, common in routine pathology, or shaped by individual user characteristics. We conducted an online experiment in which pathology experts (n = 28) estimated tumor cell percentages: once independently and once with AI support. A subset of estimations in each condition was performed under time strain. Overall, AI assistance improved diagnostic performance but introduced a 7% automation bias rate, defined as accepted negative consultations where previously correct independent judgments were overturned by incorrect AI advice. While time pressure did not increase the frequency of automation bias, it appeared to intensify its severity, reflected in stronger performance declines associated with increased AI reliance under cognitive load. A linear mixed-effects model (LMM) simulating weighted averaging showed a statistically significant positive coefficient for AI advice, indicating moderate anchoring on system output. This effect increased under time pressure, suggesting anchoring bias becomes more pronounced when cognitive resources are limited. A second LMM assessing automation reliance, a proxy for automation and anchoring bias, showed that professional experience and self-efficacy were associated with lower dependence on AI, whereas higher confidence during AI-assisted decisions was tied to increased AI reliance. These findings highlight the dual nature of AI integration in clinical workflows: improving performance while introducing risks of bias-driven diagnostic errors.",maybe,medium,"Empirically measures 7% automation bias rate and anchoring effects under time pressure in pathology AI, with experience and self-efficacy as moderating factors — measurement methodology could transfer to code review oversight studies but medical domain requires translation",maybe_queue
X7S3ELFB,Decision-agent fit in business intelligence: a governance-first framework for agentic AI,"Findings Human-in-the-loop and rule-based agents enhance governance and reliability; conversational agents improve speed and user acceptance; autonomous / Practical implications The DAF framework enables BI leaders to balance automation benefits with governance and cost objectives through risk-based agent / Business intelligence, Decision intelligence, Agentic AI, Decision-agent fit (DAF), Governance, Decision support systems",maybe,medium,Governance-first framework for selecting agentic AI types (HITL vs. autonomous) based on risk in business intelligence — framework could transfer to software engineering decisions about AI agent autonomy but BI domain requires translation,keep_queue
M87789CG,Structure before content: why probabilistic AI requires prior structural commitment,"This paper is part of a series examining accountability, auditability, and operational viability in probabilistic and agentic AI systems / Generative AI, Large Language Models, Probabilistic AI Systems, AI Governance, Trustworthy AI, AI Accountability, Structural Commitment, Decision Boundaries",maybe,low,"Part of a series on accountability, auditability, and operational viability for probabilistic and agentic AI systems — thin abstract prevents confident assessment of whether structural commitment framework is operationalizable for software engineering code governance",keep_queue
NZTEAVN4,Entangled AI: Artificial Intelligence That Serves the Future,,discard,low,No abstract available — operationalizability and relevance to software engineering governance cannot be assessed,maybe_queue
3KRMAPK3,From AI adoption to AI advantage: why configuration design matters,"AI innovation, dynamic capabilities, innovation configurations, AI governance, scale-diversity trade-off",discard,low,Configuration design for AI competitive advantage with AI governance keywords — abstract is too sparse to assess operationalizability or software engineering governance applicability,maybe_queue
524TWMDJ,"AI knows best? The paradox of expertise, AI-reliance, and performance in educational tutoring decision-making tasks","We present an empirical study of how both experienced tutors and non-tutors judge the correctness of tutor praise responses under different Artificial Intelligence (AI)-assisted interfaces, types of explanation (textual explanations vs. inline highlighting). We first fine-tuned several Large Language Models (LLMs) to produce binary correctness labels and explanations, achieving up to 88% accuracy and 0.92 F1 score with GPT-4. We then let the GPT-4 models assist 95 participants in tutoring decision-making tasks by offering different types of explanations. Our findings show that although human-AI collaboration outperforms humans alone in evaluating tutor responses, it remains less accurate than AI alone. Moreover, we find that non-tutors tend to follow the AI's advice more consistently, which boosts their overall accuracy on the task: especially when the AI is correct. In contrast, experienced tutors often override the AI's correct suggestions and thus miss out on potential gains from the AI's generally high baseline accuracy. Further analysis reveals that explanations in text reasoning will increase over-reliance and reduce underreliance, while inline highlighting does not. Moreover, neither explanation style actually has a significant effect on performance and costs participants more time to complete the task, instead of saving time. Our findings reveal a tension between expertise, explanation design, and efficiency in AI-assisted decision-making, highlighting the need for balanced approaches that foster more effective human-AI collaboration.",maybe,medium,"Empirical study on expertise-driven over/under-reliance in AI-assisted decision-making produces transferable automation-bias findings, but the educational tutoring domain requires explicit argument to apply to code review contexts.",maybe_queue
MVKNQPM4,"The great displacement: AI-driven professional commoditization, premium erosion, and the enterprise sovereignty™ response","end-to-end agentic automation, and evaluates emerging platform-driven dynamics in which professional services increasingly shift toward verification and oversight / The paper concludes by proposing Enterprise Sovereignty as a governance and strategic response framework for organizations navigating these transitions / Artificial Intelligence, workforce displacement, professional automation, enterprise sovereignty, agentic AI, domain expertise, Jevons Paradox, professional",maybe,medium,Proposes Enterprise Sovereignty governance framework addressing the shift to verification-and-oversight roles under agentic AI automation — the governance framing is not SE-specific but the verification and oversight dimensions plausibly transfer to engineering organizations.,maybe_queue
7NAH36ZU,AgentLedger: a causal ledger architecture for auditable AI agent actions,"Tamper-evident logging, AI agent accountability, AI governance, Automated decision accountability, Causal ledger, Agentic AI",maybe,medium,Tamper-evident causal logging for AI agent actions could transfer to audit trails for AI-generated code,keep_queue
H7ZEP6FZ,"Navigating the AI regulatory labyrinth: a comparative analysis of legal, technical, and audit frameworks for compliance by design","As artificial intelligence (AI) systems become embedded in critical infrastructure, enterprise workflows, and public services, the global governance landscape / This paper presents a comparative analysis of six influential AI governance frameworks: the European Union Artificial Intelligence Act (EU AI Act), the / AI, artificial intelligence, EU AI Act, NIST Artificial Intelligence Risk Management Framework, AI RMF, ISO/IEC 42001, SOC 2, U.S. / Copyright Office guidance, AI governance, AI governance framework",maybe,medium,Comparative analysis of six AI governance frameworks including EU AI Act and NIST AI RMF could inform compliance-by-design for software organizations,keep_queue
TL59BYKT,The state of play: generative AI litigation market overview,"Generative AI lawsuits provide an insight as to what is driving real word AI risk. / Testudo's data provides a map of understanding for liability in the AI economy to date. / Generative AI, GenAI, AI Insurance, AI Liability Insurance, Testudo, Lloyd's",maybe,medium,Maps generative AI litigation patterns as an empirical dataset that could inform liability risk frameworks,maybe_queue
36NC2GK8,Agentic AI risk in financial systems: a model risk management framework for autonomous decision-making systems,"addressed by traditional model risk management. / This paper develops a financial-sector framework for agentic AI governance built on four elements: a practical risk taxonomy, behavioral stress testing / agentic AI, model risk management, AI governance, financial stability, validation, banking regulation, financial risk",maybe,medium,Financial-sector agentic AI governance framework with behavioral stress testing and risk taxonomy could transfer to software engineering contexts but requires substantial domain re-derivation.,keep_queue
N5RK5TBY,The self-healing enterprise: a control-theoretic framework and the proactivity ratio (Pr) for the agentic era,"This paper introduces CX Control Model, a feed-forward control framework for experience governance, grounded / We formalize the Proactivity Ratio (Pr) as a governance metric that measures a system’s internal regulatory capacity by quantifying / Control Theory, Autonomic Computing, Customer Experience, Proactivity Ratio (P r ), Agentic AI, Experience Stability, Service Systems Engineering, Experience / Drift, Friction Tax, Feed-Forward Control, Digital Services, Decision Systems, Operational Metrics, Customer Experience Governance",maybe,medium,Introduces Proactivity Ratio as a formal governance metric for agentic AI systems which could transfer to measuring oversight capacity in code review pipelines,maybe_queue
HIG7TK9E,Trust-by-design in proactive E-commerce: human-in-the-loop mechanisms to mitigate automation distrust,"This study advances Trust-by-Design as a core architecture within proactive e-commerce systems, embedding human-in-the-loop (HITL) mechanisms to mitigate / automation distrust through UX protocols like draft-state management, explainable interfaces, and undo/rollback functions. / Trust-By-Design, Automation Distrust, Human-In-The-Loop, UX Protocols, Proactive E-Commerce, Explainable AI, Undo/Rollback, Draft-State Management, Trust / , Multi-Tenant Saas, Digital Transformation, Ethical AI, High-Risk Economies, User Agency, Interpretability, Adoption Metrics, Patent Novelty",maybe,medium,"HITL mechanisms (draft-state management, undo/rollback, explainable interfaces) are potentially transferable to code review tooling, but domain is e-commerce UX not software development",maybe_queue
Q6SVKUCU,Nondeterministic torts: a technical approach to AI liability,"But modern artificial intelligence (AI) systems, specifically large language models (LLMs) and other types of “generative AI” (GenAI), challenge this assumption / Even as AI applications spread rapidly, liability for AI systems gone awry remains an open question. / tort law, negligence, product liability, artificial intelligence, AI, LLMs, large language models, emerging technology",maybe,medium,"Technical liability framework for nondeterministic LLM/GenAI outputs could apply to AI-generated code liability, but no code-specific angle is confirmed in the abstract",keep_queue
VCQF8J5T,Standardizing intelligence: aligning generative AI for regulatory and operational compliance,"standards, regulation, generative AI, alignment, compliance, large language models, domain",maybe,low,"GenAI alignment for regulatory and operational compliance could apply to code generation contexts, but the abstract is entirely keywords with no evaluable content or methodology",keep_queue
HKK5KQXB,VIRTSI: a novel trust dynamics model enhancing artificial intelligence collaboration with human users – insights from a ChatGPT evaluation study,"The rapid integration of intelligent processes and methods into information systems in the Artificial Intelligence (AI) era has led to a substantial shift towards autonomous software decision-making. This evolution necessitates robust human oversight, especially in critical domains like Healthcare, Education, and Energy. Human trust in AI plays a vital role in influencing decision-making processes of users interacting with AI. This paper presents VIRTSI (Variability and Impact of Reciprocal Trust States towards Intelligent systems), a novel rigorous computational model for human-AI Interaction. VIRTSI simulates human trust states, spanning from overtrust to distrust, through user modelling. It comprises: 1. A trust dynamics representational model based on Deterministic Finite State Automata (DFAs), illustrating transitions among cognitive trust states in response to AI-generated replies. 2. A trust evaluation model based on Confusion Matrices, originating from machine learning and Accuracy Metrics, providing a quantitative framework for analysing human trust dynamics. As a result, this is the first time that trust dynamics have been thoroughly traced in a representational model and a method has been developed to assess the impact of possibly harmful states like overtrust and distrust. An empirical study on the recently launched Large Language Model of generative AI, ChatGPT (version 3.5), provides a radical underexplored AI-generated platform for evaluating the human-AI interaction through VIRTSI. The study involved 1200 interactions of real users as well as AI experts together with experts in two very different domains of evaluation, namely software engineering and poetry. This study traces trust dynamics and the emerging human-AI interaction, in concrete examples of real user synergies with generative AI. The research reveals the vital role of maintaining normal trust states for optimal human-AI interaction and that both AI and human users need further steps towards this goal. The real-world implications of this research can guide the creation and evaluation of user interfaces with AI and the incorporation of functionalities in the development of generative AI chatbots in terms of trust by providing a new rigorous DFA representational method of trust dynamics and a corresponding new perspective of confusion matrix evaluation method of the dynamics’ impact in the efficiency of human-AI dialogues. © 2024 The Author(s)",maybe,medium,"DFA + confusion matrix framework for trust state dynamics (overtrust/distrust) is operationalizable and evaluated in a software engineering domain, but primary instantiation is chatbot dialogue — translation to code review oversight requires argument not resolvable from abstract",maybe_queue
DXIJWSLA,"Algorithmic advice, human review, and shared liability","Information Design, Bayesian Persuasion, Human-AI Decision Making, Liability, Costly Information Acquisition, Delegation, Accountability",maybe,low,"Formal Bayesian model for shared liability under algorithmic advice + human review could provide theoretical grounding for code review accountability, but abstract is keywords-only preventing confident domain or methodology assessment",keep_queue
T5GJ5VZU,Governing the agentic enterprise guardrails for autonomous AI agents in B2B,"FASTRAC introduces a formal governance function G(A) = {C, V, R, M, L} integrating constraints, validation, risk scoring, monitoring, and learning into / Through formal modeling and a B2B payment execution scenario, this study demonstrates how adaptive governance mechanisms such as dynamic risk thresholds / Agentic AI, AI Governance, B2B Payments, Financial Compliance, Control Theory, Risk Management, Autonomous Systems, Trust Calibration, FASTRAC",maybe,medium,"Formal governance function G(A) = {C,V,R,M,L} with adaptive risk thresholds for autonomous AI agents is structured and potentially transferable to code generation agent governance, but primary instantiation is B2B financial payments",keep_queue
4B2BGBL6,Why SOC 2 isn't enough for AI -and what real enterprise assurance looks like,SOC 2 attestations long regarded as the gold standard of service-organization control that offer valuable insight into security and availability within / Risk Management Framework (AI RMF).,maybe,low,"Argues SOC 2 is insufficient for enterprise AI assurance and references NIST AI RMF — potentially operationalizable gap analysis for AI code governance audit frameworks, but abstract too thin to confirm scope or methodology",maybe_queue
NG9SITNU,Security and risk implications of transformer-based large language models,"The growing adoption of Large Language Models (LLMs) across a wide range of applications has introduced new challenges in application security, complementing / Prompt Injection, Agentic AI Systems, Retrieval-Augmented Generation (RAG), AI Risk Management, Model Governance, Semantic Vulnerability, AI Security,",maybe,medium,"LLM security governance keywords (Model Governance, Semantic Vulnerability, Prompt Injection) are directly relevant, but the sparse abstract cannot confirm whether the contribution is operational rather than descriptive.",maybe_queue
4J2KY56A,Misfortune or blessing? The effects of GAI misinformation on human-GAI collaboration,"The advent of generative artificial intelligence (GAI) increasingly transforms artificial intelligence (AI) models from passive tools to proactive social actors. Organizations are increasingly deploying GAI as a teammate to improve work efficiency and decrease costs. However, this promising and sustainable development of GAI is uncertain because its output possesses much misinformation. Inadequate reliability and accuracy of GAI misinformation may distrust of human teammates and elicit unsatisfied collaboration outcomes. Decreasing over-reliance and over-trust may also offer the opportunity to dilute the harm of AI on human unique knowledge and activate innovative thoughts. Given these mixed theorizations, this paper leverages affordance actualization theory to draw a comprehensive understanding of misinformation in human-GAI team collaboration. Leveraging a mixed-methods design, we aim to begin with a qualitative study to identify the affordances of AI and interpret the actualization process. Based on the results, we intend to conduct a Wizard of Oz experiment to examine the proposed model. © 2025 IEEE Computer Society. All rights reserved.",maybe,medium,"Human-GAI collaboration trust and calibration findings are plausibly relevant to software oversight design, but the domain (general GAI teamwork) requires translation to code review contexts.",maybe_queue
69LKIAPV,A multidimensional experimental benchmark of human–AI cognitive augmentation in higher–order thinking,"Analysis identifies critical AI limitations—hallucinations, logical inconsistencies, context misinterpretations—and highlights the indispensable role of human oversight. human-AI collaboration, Cognitive Augmentation, Artificial Intelligence in Higher-Order Thinking, human-centered AI, Performance Metrics (HAAC, E-HAAC)",maybe,low,"Benchmarks human-AI cognitive augmentation and identifies AI limitations requiring human oversight, but the sparse abstract leaves domain applicability to software engineering governance unresolved.",maybe_queue
BGV78XUB,AI: defend the defender: part IV — fault-tolerant defense architecture (revise edition),"However, these systems introduce novel attack surfaces-including data poisoning, adversarial perturbation, governance manipulation, and vendor absorptionthat / The AoR addresses a critical gap in existing frameworks-MITRE ATLAS, NIST AI RMF, and vendor-specific XDR architectures-none of which provide a unified",maybe,medium,"Fault-tolerant AI defense architecture addresses governance attack surfaces and references NIST AI RMF, but the primary focus on cybersecurity defense systems rather than software code governance requires a transferability argument.",maybe_queue
5DMEXMK5,Section 230's immunity for generative artificial intelligence,"Second, it highlights White House and congressional activity surrounding generative AI. / to develop and allow those harmed by generative AI to petition courts for redress.",maybe,medium,"Section 230 liability analysis for generative AI could generalize to code generation liability governance, but the abstract focuses on legislative activity without code-specific operationalization.",keep_queue
ZH8F3UC8,The predictive organization: architecture for enterprise intelligence working paper -february 2026,"The AI can summarize a risk report but cannot tell you what happens to the risk profile when you change a counterparty's credit limit. / Compliance mandates — BCBS 239's data lineage, DORA's dependency mapping, SR 11-7's model governance, the EU AI Act's documentation requirements — already / graphs, claims-based architecture, dynamics blindness, JEPA, latent predictive dynamics, organizational intelligence, FIBO, BIAN, neuro-symbolic AI, agentic / AI, regulatory compliance",maybe,low,"Mentions several relevant governance frameworks (DORA, SR 11-7, EU AI Act) in an enterprise intelligence architecture context, but primary focus appears to be financial/enterprise data architecture rather than software code governance.",maybe_queue
ML88MC4H,"A taxonomy of AI governance approaches: distinguishing visibility, alignment, and authorization","The term ""AI governance"" has become semantically overloaded. / The goal is to provide enterprise buyers, regulators, researchers, and auditors a shared vocabulary for evaluating AI governance claims against the requirements / AI governance, deterministic governance, proof-carrying decisions, regulatory compliance, enterprise AI, authorization layer, GRC, AI accountability, algorithmic",maybe,medium,"Enterprise AI governance taxonomy covering authorization and accountability layers could apply to SE organizations, but abstract lacks explicit software/code development application",keep_queue
UIPQFFDH,Agentic business process management: practitioner perspectives on agent governance in business processes,"With the rise of generative AI, industry interest in software agents is growing. Given the stochastic nature of generative AI-based agents, their effective and safe deployment in organizations requires robust governance, which can be facilitated by agentic business process management. However, given the nascence of this new-generation agent notion, it is not clear what BPM practitioners consider to be an agent, and what benefits, risks and governance challenges they associate with agent deployments. To investigate how organizations can effectively govern AI agents, we conducted a qualitative study involving semi-structured interviews with 22 BPM practitioners from diverse industries. They anticipate that agents will enhance efficiency, improve data quality, ensure better compliance, and boost scalability through automation, while also cautioning against risks such as bias, over-reliance, cybersecurity threats, job displacement, and ambiguous decision-making. To address these challenges, the study presents six key recommendations for the responsible adoption of AI agents: define clear business goals, set legal and ethical guardrails, establish human-agent collaboration, customize agent behavior, manage risks, and ensure safe integration with fallback options. Additionally, the paper outlines actions to align traditional BPM with agentic AI, including balancing human and agent roles, redefining human involvement, adapting process structures, and introducing performance metrics. These insights provide a practical foundation for integrating AI agents into business processes while preserving oversight, flexibility, and trust. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",maybe,medium,"Practitioner study of AI agent governance with transferable recommendations (HITL, risk management, fallback integration), but domain is generic business processes rather than software development specifically",keep_queue
S9PIS4IB,ChainBuddy: an AI agent system for generating LLM pipelines,"As large language models (LLMs) advance, their potential applications have grown significantly. However, it remains difficult to evaluate LLM behavior on user-defined tasks and craft effective pipelines to do so. Many users struggle with where to start, often referred to as the ""blank page problem."" ChainBuddy, an AI workflow generation assistant built into the ChainForge platform, aims to tackle this issue. From a single prompt or chat, ChainBuddy generates a starter evaluative LLM pipeline in ChainForge aligned to the user's requirements. ChainBuddy offers a straightforward and user-friendly way to plan and evaluate LLM behavior and make the process less daunting and more accessible across a wide range of possible tasks and use cases. We report a within-subjects user study comparing ChainBuddy to the baseline interface. We find that when using AI assistance, participants reported a less demanding workload, felt more confident, and produced higher quality pipelines evaluating LLM behavior. However, we also uncover a mismatch between subjective and objective ratings of performance: participants rated their successfulness similarly across conditions, while independent experts rated participant workflows significantly higher with AI assistance. Drawing connections to the Dunning-Kruger effect, we draw design implications for the future of workflow generation assistants to mitigate the risk of over-reliance.",maybe,medium,User study revealing overreliance and Dunning-Kruger calibration gap in AI-assisted LLM pipeline creation — transferable oversight insight but domain is evaluation tooling not code generation governance,maybe_queue
CJNMEJ9L,Blockchain as an enabler of trusted AI,"Drawing on insights from the INATBA AI-BC Task Force and emerging global regulations (such as the EU AI Act), we explore how tools such as blockchain can / directly contribute to establishing trusted AI by bolstering its integrity through decentralized governance, immutable audit trails, and enhanced data",maybe,medium,"Blockchain-based immutable audit trails and decentralized governance for trusted AI could extend to AI code provenance tracking, but domain is general AI trust not SE specifically",keep_queue
A8FT9SZP,From autonomy to agency: a 10-level framework for AI's evolution and organisational readiness,"R. et al., 2023), user control mechanisms (Feng et al., 2025), or liability allocation (Morris, J. et al., 2024). / Organisational prerequisites are mapped across infrastructure, governance, culture, and leadership dimensions, drawing / Organisational prerequisites are mapped across infrastructure, governance, culture, and leadership dimensions, drawing / artificial intelligence, AI autonomy, AI agency, organisational readiness, recursive self-improvement, agentic AI, organisational transformation, multi-agent",maybe,medium,"10-level AI autonomy framework with organizational readiness dimensions across governance and infrastructure could guide SE team AI adoption decisions, but lacks explicit code development application",keep_queue
D9AGX3KW,BeautyGuard: designing a multi-agent roundtable system for proactive beauty tech compliance through stakeholder collaboration,"As generative AI enters enterprise workflows, ensuring compliance with legal, ethical, and reputational standards becomes a pressing challenge. In beauty tech, where biometric and personal data are central, traditional reviews are often manual, fragmented, and reactive. To examine these challenges, we conducted a formative study with six experts (four IT managers, two legal managers) at a multinational beauty company. The study revealed pain points in rule checking, precedent use, and the lack of proactive guidance. Motivated by these findings, we designed a multi-agent ""roundtable"" system powered by a large language model. The system assigns role-specialized agents for legal interpretation, checklist review, precedent search, and risk mitigation, synthesizing their perspectives into structured compliance advice. We evaluated the prototype with the same experts using System Usability Scale (SUS), The Official NASA Task Load Index (NASA-TLX), and interviews. Results show exceptional usability (SUS: 77.5/100) and minimal cognitive workload, with three key findings: (1) multi-agent systems can preserve tacit knowledge in standardized workflows, (2) information augmentation achieves higher acceptance than decision automation, and (3) successful enterprise AI should mirror organizational structures. This work contributes design principles for human-AI collaboration in compliance review, with broader implications for regulated industries beyond beauty tech.",maybe,medium,"Multi-agent compliance review design principles (tacit knowledge preservation, information augmentation over automation) plausibly transfer to software governance but beauty tech domain prevents confident classification.",maybe_queue
9SME5D6V,The missing control plane in healthcare AI: a framework for deterministic governance in regulated systems,"However, adoption in regulated contexts remains limited. / healthcare AI governance, deterministic interpretation, semantic admissibility boundary, control plane architecture, clinical audit infrastructure, compliance",maybe,medium,"Control plane architecture for deterministic healthcare AI governance has architectural concepts (semantic admissibility boundaries, audit infrastructure) potentially transferable to software but clinical domain prevents confident classification.",keep_queue
7RV3XLMV,From von neumann to intent-aware architecture: a thesis on verified execution and authority-gated computation,The emergence of autonomous artificial intelligence systems capable of executing actions without direct human oversight exposes a structural limitation,maybe,low,"Verified execution and authority-gated computation concepts are directly relevant to software engineering AI governance but abstract is too thin to assess methodology, scope, or operationalizability.",keep_queue
