item_key,decision,confidence,rationale,prior_decision,prior_confidence
FYS3UNC6,keep,high,Deskilling mechanism where AI efficiency erodes experiential/contextual knowledge transfers directly to code review oversight risk; identifies how human review capability degrades as AI handles more reviews,maybe,medium
ISP9P9CX,discard,medium,'Reflects on' and 'practitioner's perspective' framing indicates descriptive commentary without operationalizable methodology; directly on-topic but fails operationalizability test,discard,low
KDVYPBWW,keep,medium,Comparative analysis measuring AI tool outputs against established architectural principles provides assessment methodology; best practices for AI integration could inform governance processes,maybe,medium
MFSG8J76,keep,high,ISO/IEC 42001 is the international AI management system standard; foundational operational governance framework for SE organizations despite empty abstract (standards documents lack traditional abstracts),keep,low
DS98KNBC,keep,medium,Epistemic debt framework reframes AI verification gaps as quantifiable structural liability; provides economic argument for governance investment useful in SE org prioritization decisions,maybe,medium
LL3MSMUB,keep,medium,Maps EU AI Act to ISO 42001 providing operationalizable compliance framework for AI management systems; software orgs deploying AI coding tools need this regulatory-to-operational translation directly,maybe,medium
B5LIQ844,keep,medium,Five-stage lifecycle governance schema (design through feedback) for generative AI is domain-agnostic and transfers to software organizations without re-derivation; critical infrastructure is validation context not constraint,maybe,medium
ZFMEWNXZ,keep,medium,Enterprise AI governance framework addressing NIST/EU AI Act gaps is directly applicable to software organizations managing AI coding tools; enterprise context matches SE org adoption needs,maybe,medium
3YPJ63ZW,discard,medium,"While measurement dimensions (trust, automation bias, workload) are relevant, the clinical huddle intervention design and domain-specific metrics require substantial re-derivation; findings are descriptive of their context not generalizable detection mechanisms",maybe,medium
SQGWEB56,discard,high,Empty abstract prevents any assessment of operationalizability; sustainability framing in title suggests domain outside software engineering governance,discard,low
4D4DBZ3R,keep,medium,Tool-call interception mechanism for last-mile oversight of agentic AI systems is directly applicable to governing AI coding agents; the virtue-ethics framing is the philosophical grounding not the technical architecture which is deployable,maybe,medium
BBNEFGN9,discard,medium,Despite direct vibe coding topic the abstract emphasizes definition and research agenda rather than operationalizable findings; per tier criteria definitional work without actionable governance output is discard,maybe,medium
3LJCSWBK,keep,medium,Third-party risk management framework for AI systems transfers directly to SE organizations evaluating AI coding tool vendors; supply chain accountability mechanisms are domain-agnostic,maybe,medium
99MDCADU,keep,high,Authority illusion framework diagnosing how HITL nominally preserves control while deferring actual authority directly addresses rubber-stamp code review failure patterns; authority mapping is operationalizable,maybe,medium
TW9IB9DE,keep,medium,"Enterprise AI risk quantification with regulatory mapping (EU AI Act, NIST, ISO) provides measurable risk framework SE organizations can adopt for AI coding tool assessment",maybe,medium
SP7IN769,discard,medium,Abstract too sparse to confirm operationalizable mechanism; keywords mention relevant concepts but inference routing for heterogeneous compute doesn't establish governance contribution,maybe,low
E89ASTEW,keep,medium,DARPA ARCOS-aligned automated software certification with formal verification methodology addresses scalable code quality assurance; aerospace regulations are the validation domain but the logic-based verification pattern transfers,maybe,medium
BIWDG2AL,discard,high,Empty abstract prevents assessment; title indicates theoretical thermodynamic analysis of alignment scaling limits with no apparent software engineering application,discard,low
N9825KAC,keep,high,Reconstructability framework and AI reliance logging for audit trails transfers directly to AI-generated code provenance tracking; the mechanism is output-agnostic and banking/pharma are validation contexts,maybe,medium
XC4DI5Y3,discard,medium,Vision paper outlining concepts and open challenges for future work; lacks operationalizable framework despite directly addressing vibe coding risks—the actionable contribution is future research agenda not present findings,maybe,medium
LEXRXNNR,discard,medium,Abstract lacks explicit code generation angle and legal copyright analysis doesn't provide adoptable mechanism; generative AI copyright discourse typically centers creative content not code,maybe,medium
P9F4Z8ND,keep,medium,Decentralized malicious agent detection with strong empirical validation (near-perfect detection 95% accuracy recovery) directly applicable to securing multi-agent AI coding pipelines; the mechanism is domain-agnostic,maybe,medium
HLMH49XE,keep,medium,"Empirical findings on overreliance, role distribution and feedback loops in human-AI hybrid systems transfer to code review oversight design; the identified challenges and recommendations are structurally parallel",maybe,medium
9U8PK4ZP,keep,high,Agency reversal framework with Work System Theory design principles directly addresses core challenge of humans becoming passive reviewers of AI-generated code; the mechanism for counteracting passive execution is the contribution,maybe,medium
QIV7DL7L,keep,high,Decision-state isolation architecture preventing automation surprise and preserving decision traceability is an architectural pattern that transfers to code review pipelines without domain re-derivation,maybe,medium
986DSDWX,discard,medium,"Paper presents financial AI governance framework with human oversight mechanisms; while risk control and escalation concepts are generic, the financial decision context (credit assessment, fraud monitoring) requires substantial domain re-derivation—the failure modes and oversight triggers don't map to code review without significant translation work.",maybe,medium
ASD3EP5G,discard,high,"Research outlook paper identifying oversight loss and epistemic fragility as challenges—correctly identifies problems relevant to agentic coding tools but provides no operationalizable mechanism or framework, only a research agenda.",maybe,medium
Q9CDH2YB,discard,high,"Abstract consists only of keywords with no methodology, framework, or findings visible; cannot verify any operationalizable contribution exists.",maybe,low
83ZMMU6H,discard,medium,Multi-domain review identifies unresolved questions about human oversight for ML-enabled changes but does not provide operationalizable solutions—the key contribution is 'this is an open problem deserving further research' rather than a mechanism SE orgs can adopt.,maybe,medium
JSWRRJ89,discard,high,Analyzes value-ladenness challenges in AI Act standards-making process; this is meta-level standards policy analysis without actionable guidance for engineering organizations implementing compliance.,maybe,medium
HNRMAX7G,discard,high,Highly abstract cybernetic theory with 'fractal governance' and 'cognitive flywheel' constructs; empirical validation is proposed future work (PLS-SEM agenda) not completed research—no operationalizable mechanism an SE org could act on today.,maybe,medium
BPL78SWJ,keep,medium,"Deterministic audit architecture emphasizing reproducibility over accuracy for compliance-grade AI auditing presents a transferable principle; while metrics are employment-domain-specific, the reproducibility-first compliance architecture translates directly to AI code quality auditing contexts.",maybe,medium
QIDAHDRS,discard,medium,"Primary contribution is benchmark creation for evaluating LLM software development capabilities; while HITL annotation framework exists, it serves benchmark construction rather than providing an ongoing governance or oversight mechanism for SE organizations.",maybe,medium
WXBMMVX9,keep,medium,"Trust calibration framework drawing explicitly on human-automation interaction research from high-stakes environments; the underlying psychology of trust calibration, AI adoption resistance, and fiduciary oversight transfers directly to code review contexts without domain-specific re-derivation.",maybe,medium
TF38UFMR,discard,medium,Conceptual governance framework describing 'recursive risk' and 'operational instability' for agentic AI; abstract provides no specific mechanism or measurement methodology—remains at theoretical framing level without operationalizable contribution.,maybe,medium
K9A8Z32M,keep,medium,"SLR of 238 studies quantifies tight correlations among reproducibility, hallucinations, and interpretability challenges (>=35% co-occurrence), concluding these require coordinated solutions not isolated fixes; governance-aware development roadmap is actionable and directly software-relevant.",maybe,medium
6F5S59DR,keep,medium,"Proposes real-time adversarial auditing mechanism and explicitly critiques HITL fallacies; while framed in corporate governance context, the adversarial auditing approach and cognitive fluency oversight standard transfer to engineering team contexts.",maybe,medium
JXTFT642,discard,high,EU reproduction right liability analysis using media/streaming case law; legal liability framework without governance mechanism or code-specific applicability—provides legal background but nothing SE orgs can operationalize.,maybe,medium
KWTKFL8V,discard,high,EU product liability framework overview for generative AI; legal analysis of liability allocation without governance mechanisms—understanding liability risk is context but paper provides no actionable framework for managing AI code quality.,maybe,medium
ZX8V7UJS,keep,high,Empirically quantifies LLM vs human SRE diagnostic accuracy (44-74% vs 80%+) with reproducible chaos engineering methodology; demonstrates measurable human oversight necessity and finding that 'LLMs can be co-pilots but human oversight remains essential' transfers directly to code review.,maybe,medium
Z2VYE325,keep,medium,"Proposes concrete mechanisms: intent-gating, capability-scoping, evidence-generation with tamper-evident logs for agentic AI; even if specific DSL is pre-release, the policy-as-code architecture for constraining agentic AI operations provides operationalizable governance concepts.",maybe,medium
XIMJ3DHW,discard,high,"Single-sentence abstract provides no information about domain, methodology, or specific mechanism; cannot assess operationalizability or transferability from this level of detail.",maybe,low
W45LQPBM,discard,medium,Motivation-agnostic harm prevention framework for general technology development; abstract does not establish specific connection to AI code governance—framework may be useful but transferability to code review oversight context is not demonstrated.,maybe,medium
DYYFCXQD,discard,medium,TDM copyright legal analysis explicitly addressing computer programs; provides legal classification context for AI training on code but no governance mechanism for SE organizations—legal background rather than operational framework.,maybe,medium
JCAQ3AHU,keep,low,Practical AI compliance methodology using established Fraunhofer Assessment Catalogue for EU AI Act; abstract is fragmentary but Fraunhofer catalogue is known to cover software/ML systems—practical compliance assessment tool likely operationalizable pending full-text verification.,maybe,medium
VKJCRD4X,discard,high,One-sentence abstract provides no evaluable content; position papers typically offer conceptual arguments rather than operationalizable mechanisms; cannot assess whether alignment-through-reasoning-norms yields anything a software team could implement,discard,low
JUYPVSIW,keep,low,Title indicates empirical diffusion study of AI coding tools — directly within Tier 1 scope; absent abstract forces reliance on title but global adoption data would inform governance scaling decisions; human verification needed,keep,low
89YLID37,discard,high,Legal theory critique that AI Act misapplies engineering logic to human rights protection; provides no operational framework for software organizations — it diagnoses a regulatory design flaw rather than offering mechanisms teams can adopt,maybe,medium
Y5IZ4RW6,discard,medium,EU AI Act value chain coordination framework addresses provider/deployer risk allocation but abstract establishes no software engineering or DevSecOps connection; transferability would require substantial domain re-derivation from general AI supply chain to code pipelines,maybe,medium
H2F9R5RA,keep,medium,Governance diagnostic framework for agentic AI readiness with cognitive surrender and accountability gap mechanisms; agentic coding tools fall within scope and diagnostic frameworks transfer directly — a team could assess its own readiness without domain re-derivation,maybe,medium
B4DXPGDG,discard,high,Empty abstract combined with title indicating macro-economic workforce automation audit; no evidence of software engineering governance scope or operationalizable mechanism for code oversight,discard,low
AVLEUGVB,discard,medium,AI-native organization framework addresses general organizational transformation and human-AI collaboration but frames contribution at enterprise design level rather than code governance; software team adoption would require substantial organizational theory re-derivation,maybe,medium
JS8VQXPH,keep,medium,Reports HITL governance achieves 4.3× critical incident reduction across 200 B2B deployments — quantitative oversight evidence is directly operationalizable as a benchmark; software teams can apply HITL adoption patterns even from cross-industry data,maybe,medium
ACPKFPNE,keep,high,"Five-step TRUST Model (Triage, Review, Underwrite, Strengthen, Track) provides concrete operational HITL framework; Triage and Review steps directly parallel code review workflows and the banking regulatory mapping demonstrates compliance operationalization",maybe,medium
F72TIGMC,keep,medium,Bounded Agency Limit (BAL) framework for constraining autonomous AI in enterprise automation contexts; constraint mechanism is operationalizable and enterprise automation explicitly includes coding tool scope — translation is minimal,maybe,medium
Z955M55A,discard,medium,"Despite discussing automation bias, over-reliance, and centaur systems, the legal education framing indicates pedagogical rather than framework contribution; transferring to code review would require domain re-derivation from legal practice",maybe,medium
3TL98CSA,keep,medium,Investigates enterprise GenAI risks including HITL and manipulation risks with experimental analysis; enterprise LLM risk management is directly relevant to software organizations deploying coding assistants — they are the enterprise context,maybe,medium
BQKB8WTD,discard,high,Cybersecurity landscape analysis describes ChatGPT's ecosystem influence but abstract provides no measurement methodology or governance response mechanism; descriptive-only without operationalizable contribution,discard,low
RYXXXIFJ,discard,medium,Legal access doctrine framework for algorithmic accountability focuses on law-of-access mechanisms; transferability to software team audit requirements would require substantial legal-to-engineering domain re-derivation,maybe,medium
5257HHP3,keep,medium,Explores practical T&S and AI auditing intersection with tools for practitioners; AI auditing mechanisms are operationalizable and T&S risk assessment approaches transfer to code review as AI-generated content expands into code,maybe,medium
REIRCM24,discard,medium,"Professional liability framework for generative AI in tax practice; while 'who's liable when AI errs' is relevant conceptually, tax professional responsibility context requires substantial domain re-derivation to code liability",maybe,medium
PQ4EJ94L,discard,medium,"Irreversibility threshold for preventive AI governance addresses societal-level systemic risks (labor displacement, model collapse); scale mismatch — software team governance operates at deployment rather than civilization level",maybe,medium
NTJ4X4LE,discard,high,Abstract too thin to establish any code-specific watermarking mechanism; generative AI watermarking for text/image provenance does not trivially transfer to code attribution without substantial re-derivation,maybe,low
NH5MSAQ4,keep,high,Presents automated unit testing validation for AI-generated code and explicitly recommends human-expert collaboration; the validation methodology is directly operationalizable for code quality assurance and HITL recommendation addresses oversight,maybe,medium
DQYFMUG9,keep,medium,Principal-agent analytical framework for governing agentic AI addresses exactly the accountability structure needed when AI coding agents act on developer behalf; shadow principal reasoning transfers directly to coding agent oversight without re-derivation,maybe,medium
8R9TKC2I,discard,high,No abstract available; cannot assess operationalizability without content and title suggests general AI ethics discussion without actionable mechanism,discard,low
MDTBNGDC,keep,medium,Federated observability architecture for multi-agent agentic AI systems provides directly applicable monitoring infrastructure for AI coding agents at scale; observability is a prerequisite for governance,maybe,medium
9LSVAEIL,keep,medium,Operational architecture integrating EU AI Act/NIST/ISO 42001 with empirical auditability improvements is directly adoptable by software organizations for AI tool compliance without re-derivation,maybe,medium
QGFVHN46,discard,medium,Law firm governance framework requires substantial domain re-derivation for software engineering contexts; the 'what AI replaces vs produces' principle is interesting but the implementation framework is domain-bound,maybe,medium
8BPVBQ2H,keep,medium,"Reference architecture addressing SE pipeline challenges (bias propagation, security vulnerabilities) with HITL reinforcement directly addresses governance of AI systems in software development contexts",maybe,medium
NGIH5T4C,keep,medium,Directly addresses AI-enhanced code review with explicit human oversight angle and case examples from tech firms; even as survey the case studies provide actionable reference points for practitioners,maybe,medium
3IH4PUPA,keep,medium,Empirical evaluation of XAI techniques for trust calibration in human oversight provides measurement methodology transferable to code review contexts; context-dependence finding itself is operationalizable,maybe,medium
KNX6AJCH,discard,medium,Theoretical model for organizational knowledge credibility requires substantial re-derivation for code governance; evidence graphs concept is interesting but the paper's focus on knowledge credibility not code provenance,maybe,medium
778DRS29,discard,medium,Abstract contains only keywords; cannot identify operationalizable mechanism or methodology despite relevant-sounding terminology about AI governance in software development,maybe,low
K8PJIPQJ,keep,low,Claims reproducible AI auditing and bias detection infrastructure validated empirically; sparse abstract but empirical validation framing and practical/reproducible language suggest operationalizability worth verifying,keep,low
ZT2YAEN9,discard,high,Conceptual framing about 'living enterprises' and 'probabilistic' governance without identifiable operationalizable mechanism; reads as thought leadership rather than actionable framework,maybe,low
GBGN236Z,discard,medium,"Pharmaceutical regulatory context (GxP, clinical trials) requires substantial re-derivation for software engineering; the 'governance as trust infrastructure' concept is too abstract without domain-specific implementation",maybe,medium
BE3RJELK,discard,medium,Entropy/cybernetics framing without identifiable operationalizable mechanism; 'actionable guidance' claim not substantiated in abstract with concrete measures or methods,maybe,low
8I9VS22E,keep,medium,Algorithmic impact assessment frameworks are directly adoptable governance mechanisms for software organizations evaluating AI coding tools; institutional design perspective informs implementation,maybe,medium
SD744UB3,keep,medium,Empirical measurement of compliance readiness (19% finding) provides benchmarking methodology and baseline; software organizations can use methodology to assess their own AI governance maturity,maybe,medium
YBBKP9QC,keep,medium,"Concrete KPIs for agentic AI (hallucination rate, task completion) are directly measurable metrics applicable to AI coding agent governance; agent oversight pillar addresses scaling challenge",maybe,medium
IEKZGF9W,keep,medium,Automation bias and algorithm aversion mitigation tactics with case studies transfer directly to AI-assisted code review; hybrid decision-making models address the core human oversight scaling challenge,maybe,medium
GP6BAA4C,discard,high,LLM-based documentation maintenance tooling is useful but does not address AI code governance or oversight scaling; the HITL workflow is for documentation updates not code review,maybe,medium
ZC86LTPH,keep,low,Agentic AI governance components and structural governability concept potentially applicable but abstract is vague about code-specific mechanisms; worth verifying implementation details,maybe,medium
ADUKIXA3,keep,medium,Human oversight as organizational labor induced by legal regulation provides structural mechanism for how software organizations can implement AI Act-mandated oversight roles,maybe,medium
3HHHN3FE,discard,high,No abstract available and title indicates theoretical AI alignment philosophy; cannot assess operationalizability and no evident mechanism for software engineering governance,discard,low
R6JISKKW,keep,medium,"Governance architecture with decision-state logging, suppression transparency, and embedded human oversight checkpoints transfers to AI code review pipelines; mechanisms are domain-agnostic patterns despite energy sector context",maybe,medium
Q5RS3ZXV,keep,medium,AACT framework for reducing AI over-reliance through counterfactual analysis of human reasoning transfers to code review trust calibration; cognitive mechanism is domain-agnostic and translation from prediction to review is trivial,maybe,medium
BS4B2728,discard,medium,Abstract is predominantly keywords with no assessable methodology; human intervention prerequisites framing is descriptive rather than providing operationalizable mechanisms,maybe,medium
2G7XY3PU,discard,medium,XAI for cloud orchestration decisions is infrastructure automation rather than code quality governance; explanation mechanisms for orchestration vs code review require substantial re-derivation of what constitutes meaningful explanation,maybe,medium
FNTL6JN9,keep,medium,Human-LLM iterative refinement workflow with validation mechanisms in software engineering context (Stack Overflow) transfers structurally to code review oversight; synergistic collaboration pattern directly operationalizable,maybe,medium
HCPRUGB6,discard,high,One-sentence abstract provides no assessable content despite relevant title; cannot confirm any operationalizable contribution to AI-first software development methodology,discard,low
NBDTTWLH,discard,medium,Democratic accountability framing and DAGS-CVCA context indicate public-sector AI governance focus; transferability to software engineering teams requires substantial re-derivation beyond what abstract supports,maybe,medium
695YSSVC,discard,high,Historical-legal analysis of right-to-human-review constructions provides regulatory context but no operational mechanisms; informational rather than operationalizable for software teams,maybe,medium
KV98BNHC,keep,medium,Semantic governance layer addressing prompt injection and LLM security for enterprise AI assistants directly applies to AI coding tool governance; mechanisms transfer without domain re-derivation,maybe,medium
DD55YWWF,discard,medium,Abstract mentions advertising alongside civil liability suggesting creative content focus; no confirmation of code-specific liability treatment prevents operationalizability assessment,maybe,medium
LLMIKPLX,discard,high,Single-sentence abstract provides no assessable methodology or mechanism; braking-device inversion concept uninterpretable without content,discard,low
VMIN7FX9,discard,medium,Keywords-only abstract prevents assessment of law-following AI framework methodology; cannot confirm software engineering applicability or operationalizability,maybe,medium
JFYZV2MZ,discard,low,"Despite highly relevant title (scalable oversight, drift detection), keywords-only abstract prevents methodology assessment; human verification recommended given title relevance",maybe,low
W5UFVCR9,discard,medium,Panel discussion format lacks empirical methodology; aspirational framework contribution without delivered operationalizable mechanisms for software validation or risk assessment,maybe,medium
P8CUB84H,keep,medium,"HITL supervision, immutable audit trails, source verification to prevent hallucinations, and mandatory disclosure are domain-agnostic governance mechanisms directly transferable to code review pipelines",maybe,medium
QULWS3JL,keep,medium,"Design-science evaluated framework with privacy gateway, RAG, continuous control monitoring, and HITL provides technical governance architecture transferable to AI coding tool governance",maybe,medium
TLCN4EKE,discard,medium,Keywords-only abstract prevents assessment of cognitive decompression attack framework; theoretical LLM security contribution unassessable for software engineering operationalizability,maybe,medium
N3PMUPGK,discard,high,"Vision-specific methodology (OOD detection, open-set recognition, category discovery) has no structural parallel to code review; compliance framing is generic but mechanisms are non-transferable",maybe,medium
6NR73DTR,discard,high,Qualitative perception study of UX designers provides descriptive observations about skill degradation but no operational governance mechanisms; substantial domain re-derivation required,maybe,low
EPBF85Q9,discard,high,"Abstract is keywords plus a single-line claim; no mechanism, methodology, or findings visible to assess operationalizability for SE teams.",discard,low
Z2EYJP79,keep,medium,Empirical governance gap data (85% lack protective measures despite 95% risk awareness) quantifies adoption barriers; risk-prioritization frameworks for resource-constrained environments transfer to SE teams.,maybe,medium
WIFK95JQ,keep,medium,Auditing methodology for LLM behavior where correctness is undefined directly applies to AI code quality assessment; employment domain but the audit framework structure transfers without re-derivation.,maybe,medium
3X9FU8H9,discard,high,"Abstract is keywords plus one claim about monitoring costs; no game-theoretic model, methodology, or concrete mechanism described to operationalize.",maybe,medium
77GQQEXZ,discard,medium,Legal technology commentary proposing generic audit mechanisms; 'three reasons to pause' framing is cautionary not constructive; no reproducible methodology or specified mechanisms.,maybe,low
