item_key,title,sources,decisions,queue_only_in,superseded,superseded_collections,current_tags,tags_to_add,all_desired_tags
9YX3L9YY,Towards a roadmap on software engineering for responsible AI,ieee,ieee:keep,,,,AI|DevOps|Ethics|Industries|MLOps|Regulation|Regulators|Software|Software algorithms|Stakeholders|ethics|machine learning|requirement engineering|responsible AI|software architecture|software engineering,s1:human:keep|source:ieee,s1:human:keep|source:ieee
YJECSBHW,Towards automated governance: a DSL for human-agent collaboration in software projects,ieee,ieee:keep,,,,Automation|Collaboration|DSL|Decision making|Domain specific languages|Open source software|Software development management|Software engineering|Stakeholders,s1:human:keep|source:ieee,s1:human:keep|source:ieee
QUXRX9ZL,The prompt–refactor–verify (PRV) cycle: a human-centered framework for AI-assisted programming,ieee|scopus,ieee:keep|scopus:keep,,,,AI|AI-assisted programming|Artificial intelligence|Automation|Code changes|Codes|Codes (symbols)|Encoding|Engineering techniques|Human engineering|Human-AI collaboration|Language model|Pipelines|Programming|Prompt engineering|Reliability engineering|Software design|Software development governances|Software development management|Software reliability|Transforms|Vibe coding|human-AI collaboration|human–AI collaboration|software development governance|vibe coding,s1:human:keep|source:ieee|source:scopus,s1:human:keep|source:ieee|source:scopus
HCRVJ6VH,Toward hybrid LLM-assisted vulnerability detection for continuous integration: a bias-free framework with a context-rich dataset,ieee,ieee:keep,,,,Application security|Codes|Containers|Continuous integration|Large language models|Pipelines|Security|Software|Sustainable development|Testing|continuous integration|dynamic examination|massive language types|software security|static code analysis|vulnerability scan,s1:human:keep|source:ieee,s1:human:keep|source:ieee
B4TVIG5Y,Toward a maturity model for AI-assisted software development: conceptual framework and research agenda,ieee,ieee:keep,,,,AI-Assisted Software Development|Current measurement|Design Science Research|Ethics|IEC Standards|ISO Standards|Organizational Adoption of Generative AI|Organizational Maturity Model|Organizations|Security|Software Development Life Cycle|Software development management|Standards organizations|Testing|Uncertainty,s1:human:keep|source:ieee,s1:human:keep|source:ieee
RAD67P8T,The accuracy of AI-generated code towards productivity,ieee|scopus,ieee:keep|scopus:keep,,,,AI-Generated Codes|AI-generated code|Accuracy|Code Accuracy|Code accuracy|Codes|Codes (symbols)|Codex|Computer software|Empirical studies|Function code|GitHub Copilot|Github copilot|Language model|Large Language Models|Large language model|Large language models|Natural language processing systems|Natural languages|Productivity|Research papers|Software Engineering|Software design|Software development management|Technological innovation|Training|Training data|Transforms,s1:human:keep|source:ieee|source:scopus,s1:human:keep|source:ieee|source:scopus
LQVJ7XT6,State of the art of the security of code generated by LLMs: a systematic literature review,ieee,ieee:keep,,,,/unread|Code Recommenders|Codes|Guidelines|LLM|Large language models|Programming profession|Secure Software Development|Security|Software|Software development management|Software engineering|Systematic Literature Review|Systematic literature review|Training data,s1:human:keep|source:ieee,s1:human:keep|source:ieee
Y9EKDJY8,Software trustworthiness assessment via large language models (LLMs),ieee,ieee:keep,,,,/unread|Codes|Large Language Models|Large language models|Risk management|Security|Software|Software Security|Software Trustworthiness Assessment|Software development management|Software engineering|Software measurement|Software reliability|Software systems|Static Code Analysis,s1:human:keep|source:ieee,s1:human:keep|source:ieee
2SRQ7Z6N,The “code” of ethics: a holistic audit of AI code generators,ieee,ieee:keep,,,,AI code generator|Codes|Computational modeling|Data models|Law|Source coding|Training|Training data|accountability|programming language generation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
AGMUZP58,Self-admitted GenAI usage in open-source software,ieee,ieee:keep,,,,Aerospace and electronic systems|Circuits|Circuits and systems|Contacts|Feedback|Filtering|Filters|Frequency modulation|Generative Artificial Intelligence|Large Language Models|Radio broadcasting|Software Engineering|Software Maintenance and Evolution|Telemetry,s1:human:keep|source:ieee,s1:human:keep|source:ieee
KQKP3BMR,SOEN-101: code generation by emulating software process models using large language model agents,ieee,ieee:keep,,,,Agents|Benchmark testing|Code Generation|Codes|Large Language Model|Large language models|Reviews|Software|Software Process Model|Software development management|Software engineering|Stability analysis|Standards|Thermal stability,s1:human:keep|source:ieee,s1:human:keep|source:ieee
7QKJH8EG,Semantic kernel for software engineering: a multi-agent framework for autonomous development lifecycles,ieee,ieee:keep,,,,AI-Driven Development|Automation|Codes|DevOps Orchestration|Kernel|Multi-Agent System|Multi-agent systems|Natural Language Processing (NLP)|Natural language processing|Production|Semantic Kernel|Semantics|Software|Software Automation|Software engineering|Testing,s1:human:keep|source:ieee,s1:human:keep|source:ieee
RAAVB72Z,Securing applications of large language models: a shift-left approach,ieee,ieee:keep,,,,Ethics|LLMs|Large language models|Particle measurements|Privacy|Robustness|Security Integration|Security Shift-Left|Toxicology|Transformers,s1:human:keep|source:ieee,s1:human:keep|source:ieee
TPAAIV8D,Security degradation in iterative AI code generation: a systematic analysis of the paradox,ieee,ieee:keep,,,,/unread|AI-Generated Code|Codes|Degradation|Feedback Loops|Feedback loop|Iterative Feedback|Iterative methods|LLM Prompting Strategies|Large Language Models|Large language models|Safety|Secure Coding Practices|Security|Security Vulnerabilities|Software|Software Security|Software development management|Systematics,s1:human:keep|source:ieee,s1:human:keep|source:ieee
TLEX7FBP,"Security and quality in LLM-generated code: a multi-language, multi-model analysis",ieee,ieee:keep,,,,/unread|AI-generated Code|Artificial intelligence|C++ languages|Chatbots|Codes|Computer languages|Java|LLM|Measurement|Python|Security|Semantics|Software development management,s1:human:keep|source:ieee,s1:human:keep|source:ieee
MVWFAXDW,Securing AI code generation - a prompt rectification approach for mitigating cyber risks,ieee,ieee:keep,,,,Artificial intelligence|Codes|Generators|Optimization|Privacy|Productivity|Programming|Security|Software development management|Syntactics|cyber security|large language model|prompt optimization|secure code generation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
QVRZ4GP5,SecureFixAgent: a hybrid LLM agent for automated python static vulnerability repair,ieee,ieee:keep,,,,Aerospace and electronic systems|Circuits|Data communication|Feedback|HTTP|LLM agents|LoRa|Protocols|Radio access networks|Regional area networks|Telemetry|automated code repair|large language models|software vulnerability detection|static program analysis,s1:human:keep|source:ieee,s1:human:keep|source:ieee
MG5CGSTX,Securing AI code generation through automated pattern-based patching,ieee,ieee:keep,,,,AI -generated Code|Accuracy|Artificial intelligence|Codes|Complexity theory|Generators|Maintenance engineering|Python|Security|Software development management|Static Analysis|Static analysis|Vulnerability Detection|Vulnerability Patching,s1:human:keep|source:ieee,s1:human:keep|source:ieee
V7FNIB6B,Secure code generation with open source generative AI models,ieee,ieee:keep,,,,Codes|Encoding|Large language models|Python|Reactive power|Reviews|Security|Software development management|Software engineering|Static analysis,s1:human:keep|source:ieee,s1:human:keep|source:ieee
N7E3MR2V,SDLC AutoPilot AI: agentic automation of software development life cycle,ieee,ieee:keep,,,,AI in Software Development|Agentic AI|Automation|Autopilot|Collaboration|Continuous Deployment (CD)|Continuous Integration (CI)|Delay Prediction|Delays|Governance|Intelligent Orchestration|Large Language Models (LLMs)|Large language models|Observability|Pipelines|Project Automation|Requirements Engineering|Role Assignment|Software Development Life Cycle (SDLC)|Software Engineering|Software engineering|Transforms|Uncertainty|Workflow Automation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
UW2R6BBJ,Secure AI-SDLC for critical infrastructure: operationalizing the NIST AI RMF with evidence-driven controls,ieee,ieee:keep,,,,Artificial intelligence|Computer security|Critical Infrastructure|Critical infrastructure|Cybersecurity|IEC Standards|Industrial Control Systems|MLOps Security|NIST|NIST AI Risk Management Framework|Pipelines|Risk management|Robustness|Secure AI Development|Software Development Lifecycle|Software development management|Time measurement,s1:human:keep|source:ieee,s1:human:keep|source:ieee
P54Q3QHZ,"Retrieve, refine, or both? Using task-specific guidelines for secure python code generation",ieee,ieee:keep,,,,/unread|Codes|Encoding|Guidelines|Large Language Models|Large language models|Prompt Engineering|Python|Retrieval Augmented Generation|Retrieval augmented generation|Secure Code Generation|Security|Training|Training data|Tuning,s1:human:keep|source:ieee,s1:human:keep|source:ieee
D4KYZAMX,SCodeGen: a real-time trustworthy constrained decoding framework for secure code generation with LLMs,ieee,ieee:keep,,,,/unread|Code Security Weaknesses|Codes|Computer architecture|Constrained Decoding|Controllability|Decoding|Large Language Models|Large language models|Real-time systems|Secure Code Generation|Security|Semantics|Software development management|Software reliability,s1:human:keep|source:ieee,s1:human:keep|source:ieee
WANIXQUJ,SCCA: a multi-agent code security analysis framework for AI-assisted code generation,ieee,ieee:keep,,,,/unread|Artificial intelligence|Codes|LLM|Multi-Agent|Security|Smart systems|Vulnerability Detection,s1:human:keep|source:ieee,s1:human:keep|source:ieee
CBXBKRA9,Rethinking code review workflows with LLM assistance: an empirical study,ieee,ieee:keep,,,,/unread|Code Review|Codes|Empirical Software Engineering|Large Language Models|Large language models|Pipelines|Prototypes|Retrieval augmented generation|Reviews|Software development management|Software engineering|Software measurement|Switches,s1:human:keep|source:ieee,s1:human:keep|source:ieee
3XL8EKLJ,Research status and analysis of LLM-based methods for code audit,ieee,ieee:keep,,,,/unread|Cloning|Codes|Large language models|Reviews|Security|Semantics|Software engineering|Source coding|Systematics|Training|code audit|code clone detection|code comment generation|code style analysis|large language model|vulnerability detection,s1:human:keep|source:ieee,s1:human:keep|source:ieee
VR9V8XT8,Rethinking software development considering collaboration with AI assistants,ieee,ieee:keep,,,,AI Assistants|Artificial intelligence|Collaboration|Encoding|HCI|LLMs|Productivity|Software development management|Software engineering|Software quality,s1:human:keep|source:ieee,s1:human:keep|source:ieee
ZBQ65FKI,Reinforcement learning from automatic feedback for high-quality unit test generation,ieee,ieee:keep,,,,Analytical models|Codes|Deep learning|Large language models|Measurement|Reinforcement learning|Software reliability|Software testing|Test pattern generators|Training|code smells|codex|deep learning|gpt-4|reinforcement learning|test generation|test smells,s1:human:keep|source:ieee,s1:human:keep|source:ieee
HMHZ7I89,QAID: a comprehensive framework for evaluating AI coding assistants beyond vendor claims,ieee,ieee:keep,,,,Artificial intelligence|Circuits and systems|Communication systems|Communications technology|Computer networks|Contacts|Conversational artificial intelligence|Generative Pre-trained transformer|Information and communication technology|Internet,s1:human:keep|source:ieee,s1:human:keep|source:ieee
NWQP7G88,"Quality In, quality out: investigating training data's role in AI code generation",ieee,ieee:keep,,,,Code Generation|Codes|Deep learning|Encoding|Generators|Productivity|Python|Security|Software development management|Training|Training Data|Training data,s1:human:keep|source:ieee,s1:human:keep|source:ieee
N32ITKU4,PwnPilot: reflections on trusting trust in the age of large language models and AI code assistants,ieee|scopus,ieee:keep|scopus:keep,,,,AI Driven N-Version Programming (AID-NVP)|AI code assistant|Artificial intelligence  and machine learning  security|Artificial intelligence code assistant|Artificial intelligence driven N-version programming|Artificial intelligence learning|ChatGPT|Codes|Computational linguistics|GitHub Copilot|Github copilot|Machine learning|Machine-learning|N version programming|PwnPilot|Pwnpilot|Reflection|Risk management|Safety engineering|Security|Software engineering|Source coding|Surveys|Systematics|Trusting trust|artificial intelligence (AI) and machine learning (ML) security,s1:human:keep|source:ieee|source:scopus,s1:human:keep|source:ieee|source:scopus
B9SCIW2Y,Preconditions and postconditions as design constraints for LLM code generation,ieee,ieee:keep,,,,Accuracy|Automated code generation|Benchmark testing|Codes|Complexity theory|Natural languages|Software design|Software engineering|Software systems|Source coding|Translation|large language models|software design,s1:human:keep|source:ieee,s1:human:keep|source:ieee
PV989YFX,Protect your secrets: understanding and measuring data exposure in VSCode extensions,ieee,ieee:keep,,,,Codes|Natural language processing|Passwords|Privacy|Productivity|Security|Software|Software development management|Vectors|Visualization|integrated development environments|security,s1:human:keep|source:ieee,s1:human:keep|source:ieee
ZYWHNXIT,Prompting for security: a cross-model evaluation of code generation in LLMs,ieee,ieee:keep,,,,Codes|Computer architecture|Large language models|Pipelines|Reliability|Runtime|Security|Software|Software development management|Static analysis|large language models|prompt engineering|secure code generation|software security|static code analysis,s1:human:keep|source:ieee,s1:human:keep|source:ieee
HUVIWYNF,Poisoning programs by un-repairing code: security concerns of AI-generated code,ieee,ieee:keep,,,,AI-based Code Generators|Codes|Data Poisoning|Data models|Generators|Offensive Security|Software reliability|Toxicology|Training data|Writing,s1:human:keep|source:ieee,s1:human:keep|source:ieee
Y7X3I96U,PALM: synergizing program analysis and LLMs to enhance rust unit test coverage,ieee,ieee:keep,,,,Codes|Context modeling|Large language models|Reviews|Rust|Software engineering|Software reliability|Software testing|Test pattern generators|automated test generation|coverage|large language models|program analysis|unit testing,s1:human:keep|source:ieee,s1:human:keep|source:ieee
EVQPIQWK,Poisoned ChatGPT finds work for idle hands: exploring developers’ coding practices with insecure suggestions from poisoned AI models,ieee,ieee:keep,,,,AI-powered coding assistant tools|Chatbots|Codes|Encoding|Large language model|Security|Software|Surveys|Task analysis|code generation|poisoning attacks|software development|usable security,s1:human:keep|source:ieee,s1:human:keep|source:ieee
TUYBSBZ2,On the performance of large language models for code change intent classification,ieee,ieee:keep,,,,Change Intent Analysis|Codes|Intent recognition|Knowledge engineering|Large Language Models|Large language models|Machine Learning|Machine learning algorithms|Modern Code Review|Random forests|Reviews|Software|Software engineering|Transformers,s1:human:keep|source:ieee,s1:human:keep|source:ieee
RQVAMSU5,Opportunities and challenges of software engineering bots: a forward-looking analysis,ieee,ieee:keep,,,,Chatbots|Codes|Foundation models|Human-machine systems|Maintenance|Reviews|Software engineering|Software reliability|Surveys|Trajectory|artificial intelligence|bots|chatbots|human-machine collaboration|software engineering,s1:human:keep|source:ieee,s1:human:keep|source:ieee
6BWAN4ED,Optimizing IT governance and project management in software development through AI integration and COBIT 2019 framework,ieee,ieee:keep,,,,Artificial Intelligence|COBIT 2019|Delays|Estimation|IT Governance|Organizations|Project Management|Project management|Resource management|Scheduling|Software|Software Development|Software development management|Software reliability|Technological innovation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
22JBEZNK,Non-programmers assessing AI-generated code: a case study of business users analyzing data,ieee|scopus,ieee:keep|scopus:keep,,,,/unread|Artificial intelligence|Business|Business-users|Case-studies|Codegeneration|Codes|Codes (symbols)|Commerce|Data Analysis|Data analysis|Data reduction|End-User Programming|End-user programming|End-users|Face recognition|Information analysis|Language model|Large Language Models|Large language model|Large language models|Marketing|Model errors|Natural languages|Programming profession|Reliability engineering|Technical tasks|Turning|Verifiability|Visualization,s1:human:keep|source:ieee|source:scopus,s1:human:keep|source:ieee|source:scopus
RGJP64BN,Multimodal classification of software issue reports using CLIP: a fine-tuned approach for bug and feature detection,ieee,ieee:keep,,,,Accuracy|Codes|Computer bugs|Software|Software development management|Software engineering|Software maintenance|Software systems|Solid modeling|Tuning|bug|clip|code|feature|multimodal|software issue classification|zero-shot classification,s1:human:keep|source:ieee,s1:human:keep|source:ieee
LMDPGZ8H,No need to lift a finger anymore? Assessing the quality of code generation by ChatGPT,ieee,ieee:keep,,,,/unread|ChatGPT|Chatbots|Codes|Complexity theory|Electronic mail|Large language model|Security|Task analysis|Transformers|code generation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
LI8B7LK7,Multi-stage generation of rust unit tests with LLMs,ieee,ieee:keep,,,,Codes|Computer languages|Optimization|Semantics|Software engineering|Software reliability|Test pattern generators|Testing|Training data|Writing|large language models|rust unit test|unit test generation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
KPLHA4MH,Multi-modal machine learning for automated CVSS severity prediction for conservative vulnerability assessment,ieee,ieee:keep,,,,Accuracy|CVSS prediction|Codes|Computer security|GraphCodeBERT|ML cybersecurity|Machine learning|Manuals|Measurement|Safety|Security|Semantics|Software|Vulnerability assessment|class imbalance|code representation|conservative prediction|multi-modal fusion|ordinal classification|security evaluation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
CLHB8SRT,"More code, less understanding? On the impact of AI assistants on developers’ productivity and code ownership",ieee,ieee:keep,,,,AI Assistants|Amplitude modulation|Amplitude shift keying|Broadcasting|Code Ownership|Communication systems|Controlled Experiment|Developer Productivity|Internet|Motion pictures|Radio access networks|Regional area networks|Telecommunications|Web services,s1:human:keep|source:ieee,s1:human:keep|source:ieee
LAKYKVTB,Malicious and unintentional disclosure risks in large language models for code generation,ieee,ieee:keep,,,,/unread|Code Generation|Codes|Context modeling|Data models|Large Language Models|Large language models|Memorization|Privacy|Security|Soft sensors|Supply chains|Testing|Training|Training data,s1:human:keep|source:ieee,s1:human:keep|source:ieee
3U3EL7YY,Make a feint to the east while attacking in the west: blinding LLM-based code auditors with flashboom attacks,ieee,ieee:keep,,,,Attention mechanisms|Codes|Computer languages|Payloads|Prevention and mitigation|Privacy|Reviews|Security|Software development management|Systematics,s1:human:keep|source:ieee,s1:human:keep|source:ieee
QYT8RRWL,Methods and techniques of agentic software engineering: a systematic literature review,ieee,ieee:keep,,,,Agentic software engineering|Automation|Autonomous agents|Codes|Maintenance|Multi-agent systems|Protocols|Software|Software development management|Software engineering|Systematic literature review|autonomous agents|code generation|multi-agent systems|software automation|systematic review,s1:human:keep|source:ieee,s1:human:keep|source:ieee
76DYS6RI,Model-assisted and human-guided: perceptions and practices of software professionals using LLMs for coding,ieee,ieee:keep,,,,Codes|Cognitive load|Debugging|Encoding|Ethics|LLMs|Productivity|Software|Software development management|Surveys|Testing|coding|programming|survey,s1:human:keep|source:ieee,s1:human:keep|source:ieee
CAXNTRJF,Machine learning solutions to automated governance and code analysis to compliance,ieee,ieee:keep,,,,AI|AI Auditing|AI Secured Code|Code Analysis|Codes|Compliance|Computer security|Cybersecurity|Data Protection|Defect Management|Fault diagnosis|GDPR|GRC|GRC Analyser|ISO 27001|ISO Standards|Machine Learning|Machine learning|Organizations|Risk Management|Risk management|SOC 2|Secure Code|Secure SDLC|Secure Software Development|Software|Software development management|Standards organizations,s1:human:keep|source:ieee,s1:human:keep|source:ieee
UN88XLZ6,Look before you leap: an exploratory study of uncertainty analysis for large language models,ieee,ieee:keep,,,,/unread|Adaptation models|Artificial intelligence|Codes|Electronic mail|Estimation|Hidden Markov models|Large language models|Risk management|Training|Transformers|Uncertainty|deep neural networks|software reliability|uncertainty estimation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
VYKP32I7,LLMLOOP: improving LLM-generated code and tests through automated iterative feedback loops,ieee,ieee:keep,,,,AI4SE|Codes|Feedback loop|Iterative methods|Large Language Models|Large language models|Refining|Software testing|Source coding|Static analysis|Test pattern generators|Videos|automated test generation|program synthesis|software testing,s1:human:keep|source:ieee,s1:human:keep|source:ieee
LLU6CTBC,LLMTestCraft: an automated unit test case generator using large language models,ieee,ieee:keep,,,,AI in Software Engineering|Automated Testing|Generators|Large Language Models|Large language models|Manuals|Pipelines|Prompt Engineering|Prompt engineering|Python|Software engineering|Software testing|Test pattern generators|Unit Test Generation|Writing,s1:human:keep|source:ieee,s1:human:keep|source:ieee
W8238NKU,LLMSecEval: a dataset of natural language prompts for security evaluations,ieee,ieee:keep,,,,CWE|Codes|Computer languages|Data mining|LLMs|NL prompts|Natural languages|Programming|Security|Software|code security,s1:human:keep|source:ieee,s1:human:keep|source:ieee
N8HSZ7BC,Licoeval: evaluating LLMs on license compliance in code generation,ieee,ieee:keep,,,,/unread|Accuracy|Benchmark testing|Codes|Licenses|Production|Protection|Research and development|Software development management|Software engineering|Standards|code generation|llm|open-source license,s1:human:keep|source:ieee,s1:human:keep|source:ieee
7UASJDLI,Leveraging pre-trained large language models (LLMs) for on-premises comprehensive automated test case generation: an empirical study,ieee,ieee:keep,,,,AI-Assisted Testing|Accuracy|Adaptation models|Artificial Intelligence (AI)|Data Security and Privacy|Deep Learning|Informatics|Intelligent Systems|Large Language Models (LLMs)|Large language models|Machine Learning (ML)|Memory management|Natural Language Processing (NLP)|Natural languages|Neural Networks|On-Premises Deployment|Onpremises Deployment|Pre-trained LLMs|Prompting and Alignment Techniques|Quality Assurance (QA)|Scalability|Security|Software|Software Development and Testing|Software Testing|Software testing|Test Case Generation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
LZUI6EY7,LLM-based interactive code generation: empirical evaluation,ieee,ieee:keep,,,,/unread|Accuracy|Analytical models|Code verification|Codes|Computer bugs|Large Language Model|Large language models|Natural languages|Programming|Reliability|Safety|Security|Trusted code,s1:human:keep|source:ieee,s1:human:keep|source:ieee
DUBFF52U,Liability in AI-enabled clinical decision support: toward a tiered responsibility model,ieee|scopus,ieee:keep|scopus:keep,,,,AI liability|Adaptive software|Artificial intelligence|Automation bias|Clinical decision support|Decision support systems|Diagnosis|Driven system|European union|Explainability|Governance|Hospitals|Physician oversight|Power|Procurement|Product liability|Public policy|Regulators|Resource management|Risk analysis|Risk assessment|Shape|Software design|Standardization|Surveillance|Technological innovation|Weight measurement|explainability|governance|physician oversight,s1:human:keep|source:ieee|source:scopus,s1:human:keep|source:ieee|source:scopus
HYCHNXIV,Leveraging long method decomposition to improve large language model-based test case generation,ieee,ieee:keep,,,,Codes|Iterative methods|Large Language Model|Large language models|Long Method|Maintenance engineering|Pipelines|Refining|Reliability|Static Analysis|Static analysis|Test pattern generators|Testing|Unit Test Generation,s1:human:keep|source:ieee,s1:human:keep|source:ieee
