item_key,sonnet_decision,sonnet_confidence,sonnet_rationale,opus_decision,opus_confidence,opus_rationale,escalation_reason,reviewer_decision,reviewer_notes,title,abstract,year,authors,item_type
JFYZV2MZ,maybe,low,"Title's 'scalable oversight' is directly relevant but the abstract is only keywords, making methodology and software-context applicability unassessable",discard,low,"Despite highly relevant title (scalable oversight, drift detection), keywords-only abstract prevents methodology assessment; human verification recommended given title relevance",opus_low_confidence,Keep,Scalable oversight keyword,"SORT-AI: a projection-based structural framework for AI safety alignment stability, drift detection, and scalable oversight","AI safety, alignment theory, structural risk analysis, alignment stability, deceptive alignment, mesa-optimization, representation drift, scalable oversight",2026,Gregor Herbert Wegener,journalArticle
4LCRC3BZ,maybe,low,Title directly addresses meaningful oversight design for multimodal AI systems but absent abstract prevents assessment of methodology or transferability to software engineering contexts.,discard,low,Title addresses meaningful oversight design but absent abstract prevents verifying any operationalizable methodology or mechanism; cannot confirm the paper provides actionable contribution beyond conceptual framing.,opus_low_confidence,Keep,Oversight keyword,Designing for meaningful oversight: human and organisational agency in multimodal AI systems,,2025,Zhu; ACM,conferencePaper
DC7AUEZU,maybe,low,"AI alignment mimicking accountability while evading it is governance-relevant, but the bare title with no abstract prevents evaluating methodology or software applicability.",discard,low,Absent abstract prevents evaluating methodology or software applicability; title suggests governance-relevant critique but cannot confirm operationalizable contribution.,opus_low_confidence,discard,About AI being sneaky. Not a topic.,When AI sounds judicious: how AI alignment mimic procedure while evading accountability,,2026,Ruoxi Li; Sirui Han; Yi-Ke Guo,journalArticle
S5ZBQ5QW,maybe,low,Human-AI teaming literature review title suggests governance relevance but the absent abstract prevents evaluating contribution to code review or software oversight contexts.,discard,low,Absent abstract prevents evaluating whether the Human-AI teaming review synthesizes transferable mechanisms or remains a general literature survey without code review applicability.,opus_low_confidence,maybe,Seems like a summary article in related area,Unraveling Human-AI Teaming: A Review and Outlook,,2025,Lou; Lu; Raghu; Zhang,preprint
RN7NR3UM,maybe,low,"Proposes an operational governance framework with immutable audit logs compatible with NIST AI RMF, but the abstract emphasizes philosophical foundations over practical software-applicable mechanisms, leaving domain fit unresolvable from the abstract.",keep,low,Immutable audit logs and demonstrated interoperability with NIST AI RMF and EU AI Act provide actionable compliance alignment mechanism; philosophical emphasis warrants human verification of practical applicability.,opus_low_confidence,maybe,Mapping of governance frameworks might be useful,Ternary moral logic (TML): a governance framework for ethical accountability and immutable AI systems,"enforced ethical governance. / We demonstrate TML's practical interoperability with leading international standards, including the EU AI Act, the NIST AI Risk Management Framework, and / AI Ethics, Computational Governance, Immutable Logs, Accountability, Ternary Moral Logic, Blockchain, Risk Management, Regulatory Technology",2025,Lev Goukassian,journalArticle
9NY6ZFHY,discard,low,Empty abstract prevents assessment of methodology; title claims AI coding increases technical debt but no findings or measurement method are visible to evaluate operationalizability.,keep,low,Title directly addresses AI-assisted programming increasing technical debt — exactly the risk measurement this SLR needs; empty abstract prevents methodology verification but topic alignment warrants human verification rather than discard,opus_low_confidence,discard,Not relavent for the question.,AI-assisted programming decreases the productivity of experienced developers by increasing the technical debt and maintenance burden,,2025,Feiyang Xu; Poonacha K. Medappa; Murat M Tunc; Martijn Vroegindeweij; Jan C. Fransoo,journalArticle
555NUHVA,maybe,medium,"Prototypes EU AI Act Articles 13 and 52 transparency requirements with legal feedback, potentially guiding SE org compliance implementation, but primarily policy-level analysis without clear engineering controls.",keep,low,'Prototyping' implies practical implementation attempt rather than pure legal analysis; policy-to-practice translation could yield actionable compliance guidance but abstract doesn't confirm engineering controls — human should verify,opus_low_confidence,discard,AI Systems not vibe coding,From policy to practice: prototyping the EU AI act’s transparency requirements,"The European Union's (EU) AI Act emphasizes the importance of transparency regarding AI systems and imposes related requirements in order to foster trust / In addition, the report provides legal feedback for policymakers regarding articles 13 and 52 AI Act. / Artificial intelligence, AI Act, policy prototyping, transparency, AI governance, deep fake, compliance, AI regulation",2024,Thomas Gils; Frederic Heymans; Wannes Ooms; Jan De Bruyne,journalArticle
EZVVZMPM,maybe,medium,"Evaluator Age framework repositioning enterprise roles around human evaluation of AI outputs may transfer to software engineering oversight scaling, but applicability depends on specificity of the governance and analytics models presented.",keep,low,"Evaluator role repositioning framework could provide organizational structure for scaling code review oversight, but 'analytics models' specificity unclear — human should verify mechanism depth",opus_low_confidence,discard,Not relavent for the question.,The evaluator age: generative AI and the future of knowledge work,"Evaluator Age, Generative AI, AI literacy and digitization, Smart agents in business operations, Enterprise AI governance and analytics models",2026,Bryan Southworth; Wei Chen; Hemant K. Bhargava,journalArticle
9E8E27L7,maybe,medium,"Decision-boundary construct (admissibility, escalation, override, accountability) for GenAI could transfer to code review escalation governance design, but it originates from business-strategy effectuation theory requiring substantial re-derivation",keep,low,"Decision boundary constructs (admissibility, escalation, override, accountability) map directly to code review governance design despite effectuation theory origin — translation is non-trivial but concepts are operational; human verify",opus_low_confidence,maybe,arbitrar / triage might need this.,Effectuation under uncertainty: organizational decision boundaries in the age of generative AI,"logic focused on action, commitment, and control under uncertainty-because effectuation traditionally assumes human-centered judgment, authority, and accountability / Decision boundaries are introduced as an organizational design construct that regulates admissibility, escalation, override, and accountability in joint",2026,Steph Sharma; Mark Esposito; Yusaf H. Akbar; Joachim Layes,journalArticle
9NFBWNGF,maybe,medium,Layered GenAI safety framework with explicit HITL integration at each development stage (Training Data through Societal Impact) could inform AI deployment governance but appears conceptual without empirical validation or software-engineering-specific application,keep,low,Layered GenAI safety framework integrating HITL at each development stage (Training through Societal Impact) provides actionable governance structure; conceptual nature means adaptation may be needed but layer-stage approach is operational,opus_low_confidence,discard,AI Systems not vibe coding,Generative AI safety: a layered framework for ensuring responsible AI development and deployment,"This article discusses a multi-layered framework to address the challenges around Generative AI safety. / key stages: Training Data, Algorithm, Inference, Publication, and Societal Impact, each layer integrates principles of quality, fairness, transparency, accountability / Generative AI, AI Safety, Accountability, Fairness, Transparency, Human in the Loop, Responsible AI, Philippines",2025,Dominic Vincent Ligot,journalArticle
BZD4TI55,maybe,low,GitHub Copilot study in software engineering domain identifying code quality and trust concerns as unresolved — thin abstract does not reveal measurement methodology or whether findings are operationalizable beyond establishing that problems exist,discard,low,"On-topic (GitHub Copilot, code quality, trust) but thin abstract reveals no methodology or findings; indicates descriptive investigation of unresolved concerns rather than quantified measurement or operationalizable contribution",opus_low_confidence,keep,Quantifies risks we are trying to address,The effects of AI-assisted programming in software engineering: a study on GitHub copilot,"This study investigates the transformative impact of AI-assisted programming through tools like GitHub Copilot on the field of software engineering. / However, ethical concerns around data privacy, code quality, and trust remain unresolved. / GitHub Copilot, Generative AI, Software Engineering, Programmer Efficiency, AI Ethics",2025,Pradnya Niwas Suryavanshi; RameshD Jadhav,journalArticle
PJ7WAG66,maybe,low,"AI accountability framework from established researchers (Novelli, Taddeo, Floridi) — no abstract provided prevents assessment of methodology, domain applicability, or whether operationalizable mechanisms are presented",discard,low,No abstract available to assess operationalizability; title suggests explanatory/definitional treatment of accountability concept rather than operational framework with mechanisms,opus_low_confidence,maybe,Basics for accountability definition,Accountability in Artificial Intelligence: What it is and How it Works,,2023,Novelli; Taddeo; Floridi,journalArticle
TPV2AGCB,maybe,low,"No abstract available; title suggests empirical study of human-AI collaboration behaviors in LLM-assisted writing that might generalize to code review oversight, but domain and methodology cannot be assessed",discard,low,No abstract available; writing domain requires translation argument to code review; cannot verify transferable operational contribution or behavioral patterns that would apply to code oversight,opus_low_confidence,discard,Not relavent for the question.,Prototypical human-AI collaboration behaviors from LLM-assisted writing in the wild,,2025,Mysore; Das; Cao; Sarrafzadeh,conferencePaper
Y4YHMRYE,maybe,low,Title implies actionable security testing findings but the abstract is truncated and shows only exploratory framing — no measurement methodology or governance mechanism is confirmed.,discard,low,"Title is directly relevant but truncated abstract shows only exploratory framing ('examines', 'exploring') without confirmed methodology or findings; cannot verify operationalizable contribution.",opus_low_confidence,maybe,Risk quantification,The impact of AI-assisted code generation on software vulnerabilities and the role of AI in automated security testing,"However, their impact on software security remains a critical concern. / This paper examines how AI-generated code influences the prevalence of software vulnerabilities, exploring whether these tools introduce new security risks",2025,Sunday Oladele; Faruk Lawal,journalArticle
3XJHPV3K,maybe,medium,"Quantifies LLM safeguard degradation with measurable deviation and compliance rate metrics across interaction volume — operationalizable monitoring signals, but the domain is conversational AI not code generation specifically",keep,low,"Quantifiable safeguard degradation metrics (deviation rates, compliance decay over interaction volume) provide monitoring signals; mechanism could detect AI coding tool drift but conversational AI domain limits direct applicability",opus_low_confidence,discard,AI Systems not vibe coding,Beyond the mirror: systemic vulnerabilities in LLM safeguards exposed through intentional conditioning,"Key findings show deviation rates of 1.0 for high-risk terms like bypass, ghost, and exploit across projects, with compliance dropping to 0.2 after 1,200 / Risk Detection:, 🔴 Scanned for dangerous terms (e.g., bypass, ghost)., Scanned for refusal phrases (e.g., ""I can't assist""). 3. / ), OpenAI, ChatGPT, Human-AI Interaction, Neural Networks, Bias in AI, Ethical AI Design",2025,Lokesh Gupta,journalArticle
HQIXPITB,maybe,medium,Clarifies HITL/HOTL/HOVL control distinctions for AI system architecture using Parasuraman-level framing; operationalizability for code review depends on prescriptive content not confirmed by abstract,keep,low,Parasuraman-level framework clarifying HITL/HOTL/HOVL control distinctions for AI system architecture; prescriptive content uncertain but definitional framework informs oversight design choices,opus_low_confidence,keep,Oversight angle.,Preposition salad: making sense of human-in/on/over-the-loop control for AI systems,"Governments across the world have called for AI to be trustworthy. / human-in-the-loop and human-on-the-loop control. / trustworthy AI, system architecture, human factors",2024,Aditya Singh; Zoe Szajnfarber,journalArticle
FTICIPDY,keep,low,"'Interpretive sovereignty failure' as an interaction-level safety risk in human-AI systems is topically relevant to code review oversight failure modes, but the near-keyword-only abstract prevents confident scope or methodology assessment",discard,medium,Keyword-only abstract prevents assessment of whether 'interpretive sovereignty failure' concept is operationalizable or merely conceptual,sonnet_opus_conflict,maybe,Oversight / alignment as background,Interpretive sovereignty failure: an interaction-level safety risk in human–AI systems,"Interpretive Sovereignty, Human–AI Interaction, AI Governance, AI Auditing, Alignment Evaluation",2026,Hillary Segeren,journalArticle
7QVX75AV,maybe,medium,"Multi-agent HITL pipeline for scaling empirical research with human oversight shares structural features with code review scaling, and explicit 'vibe research' framing suggests intentional parallel, but economic research domain requires transfer argument",keep,low,Multi-agent HITL architecture for scaling research with explicit 'vibe research' framing suggests structural parallel; transfer to code review plausible but domain-specific mechanisms unclear,opus_low_confidence,discard,Separate domain,HLER: human-in-the-loop economic research via multi-agent pipelines for empirical discovery,"We introduce HLER (Human-in-the-Loop Economic Research), a multi-agent architecture that supports empirical research automation while preserving critical / These results suggest that Human-AI collaborative pipelines may provide a practical path toward scalable empirical research. / HLER, Multi-agent, Automate Research, Vibe Research, Human-in-the-Loop",2026,Chen Zhu; Xiaolu Wang,journalArticle
9SWGI2RY,keep,low,"Addresses AI model backdoor detection with named tools (Neural Cleanse, STRIP) and EU AI Act audit compliance, but the one-sentence abstract prevents confirming operationalizable methodology scope for software engineering orgs.",keep,low,"Names operationalizable backdoor detection tools (Neural Cleanse, STRIP) for model validation audits, but one-sentence abstract prevents confirming methodological depth beyond tool enumeration.",opus_low_confidence,discard,AI Systems not vibe coding,AI model vulnerability to backdoors and the role of auditors in model validation,"Auditors use tools like Neural Cleanse and STRIP, conduct adversarial testing, and ensure compliance with regulations like the EU AI Act.",2025,Sunando Roy,journalArticle
FWE8KERE,maybe,medium,"Presents a five-layer agentic AI governance framework claiming production validation, but derivation from a single survival-maximization objective function raises operationalizability questions that require reading beyond the abstract.",keep,low,"Five-layer governance framework claims production validation for agentic AI, but 'survival maximization' objective function and axiomatic derivation raise questions about practical operationalizability vs theoretical contribution.",opus_low_confidence,keep,Model for framework,Axiomatic governance for agentic AI: a five-layer constitutional framework derived from first principles and validated in production,"Agentic AI systems-capable of autonomous planning, reasoning, and execution-are transitioning from prototypes to production deployment, yet existing governance / We present ORISMION, a five-layer axiomatic governance framework that derives all rules from a single objective function (survival maximization) through / Agentic AI Governance, Multi-Agent Systems, AI Safety Framework, First-Principles Derivation, Fractal Architecture, Axiomatic AI Framework, Human-AI Collaboration",2026,Hirosawa Amakawa,journalArticle
24ZVGAAA,maybe,medium,Empirical TLoD risk management framework study with Dutch public sector orgs — governance distribution mechanism is operationalizable but requires domain re-derivation from public sector ethical AI to software code risk.,discard,low,"TLoD framework distributes risk management responsibility operationally, but application is to ethical AI risks in public sector adoption broadly — translation to code quality governance in software teams requires re-derivation the paper doesn't perform",opus_low_confidence,keep,Potential model for framework,Embedding ethical AI risks in public sector risk management practice an explorative analysis using the three lines of defense risk management model,"Artificial intelligence (AI) adoption by public sector organizations (PSOs) introduces various ethical risks stemming from a lack of integrating human values into AI design. Addressing these ethical risks is a complex collective responsibility among designers, developers, risk experts, and public sector managers. Embedding these risks in existing risk management practices is crucial for responsible AI adoption, as emphasized by the legal requirements of the EU AI Act. However, the responsibility for managing these ethical risks is often unclear. Public sector organizations face unique challenges due to the complex, uncertain, and rapidly evolving nature of AI technologies, further complicating the management of ethical risks. This paper explores using the Three Lines of Defense (TLoD) risk management model to understand and address these ethical risks in public sector AI adoption. The TLoD model structures risk management across three lines: operational management, risk oversight and compliance, and internal audit. This framework helps to distribute and integrate the collective responsibility for ethical AI risk management within public sector organizations, emphasizing alignment and collaboration among different actors. Through an exploratory study involving a survey and semi-structured interviews with professionals responsible for AI-related risk management in Dutch public sector organizations, we assess the TLoD model’s usefulness in addressing ethical AI risks. The study examines the challenges and opportunities in applying the TLoD model to manage ethical risks and identifies the potential gaps in responsibility and oversight. The findings suggest that while the TLoD model offers a valuable lens for distributing risk management responsibilities, there are limitations in addressing the emergent and complex nature of ethical risks in AI adoption. © 2024 Copyright held by the owner/author(s).",2024,Sattlegger; Bharosa; Liao H.-C.; Cid D.D.; Macadar M.A.,conferencePaper
BT4UHCN5,maybe,low,Proposes intent-aware AI code generation paradigm with HITL design addressing intent-code misalignment — concept is relevant to code governance but abstract is truncated and methodology is unclear.,keep,low,Addresses intent-code misalignment in AI code generation with explicit HITL design — problem statement is exactly vibe coding's core challenge; methodology unclear from truncated abstract but concept warrants inclusion,opus_low_confidence,maybe,"About inner loop, understand requiremetns. Adjacent domain",From intent to code: an AI-powered paradigm for translating declarative specifications into optimized implementations,"present ""Decrypt,"" a novel intent-aware programming paradigm that directly addresses the critical misalignment between a user's expressed goal and the code / Current conversational AI for code often fails to capture the full nuance of a user's intent, leading to frustration and inefficient feedback loops. / intent-aware programming, AI code generation, natural language to code, program synthesis, semantic programming, human-in-the-loop AI, context-aware optimization / , reinforcement learning for code, declarative programming, low-code AI, intent compiler, Decrypt language",2026,Ndenga Lumbu Barack,journalArticle
ZZLFGHQX,maybe,low,"Title directly names vibe coding but abstract is absent, making it impossible to determine whether the paper presents governance or risk implications versus a purely aesthetic or definitional critique.",discard,low,Title directly names vibe coding but empty abstract prevents assessment; 'aesthetic homogenization' suggests quality critique rather than governance framework — cannot confirm operationalizability,opus_low_confidence,discard,Unclear what it is,AI-assisted coding (vibe coding): the paradox of productivity as aesthetic homogenization,,2026,Ramon Christian Bustamante,journalArticle
M964K4XX,maybe,medium,"Comparative analysis of governance frameworks including NIST AI RMF and SOC 2 could yield software-relevant insights, but the abstract is too thin to confirm whether software systems or code are substantively addressed.",keep,low,Comparative analysis includes SOC 2 and NIST AI RMF which are directly used by software organizations for compliance; framework comparison could yield actionable guidance but abstract thinness warrants human verification.,opus_low_confidence,keep,Grounding in the regulatory frameworks,"Comparative analysis of AI governance, assurance, and administrative oversight NIST AI RMF 1.0, ISO/IEC 42001, SOC 2, OMB memoranda M-24-10 and M-25-21, and U.S. copyright office guidance",NIST AI RMF 1.0 provides a flexible and voluntary structure for AI risk management. / A concise formulation is therefore possible: NIST AI RMF 1.0 provides a voluntary risk-management structure; ISO/IEC 42001,2026,Sung Woo Shon,journalArticle
LUA6VMXR,maybe,medium,"Technical AI agent design paper for law/finance that examines safety layers (termination conditions, human escalation protocols) with structural parallels to code review oversight pipelines, but requires domain translation not resolvable from abstract.",keep,low,Termination conditions and human escalation protocols for AI agents are structural safety mechanisms transferable to code review pipelines; law/finance domain requires translation but mechanisms are architectural.,opus_low_confidence,maybe,Potential model for framework,"How to design an AI agent: architectures, protocols, and technical evaluation of agentic AI systems for law & finance","Crucially, we examine the safety layers required for professional deployment: termination conditions, human escalation protocols, and governance.",2025,Michael James Bommarito; Daniel Martin Katz; Jillian Bommarito,journalArticle
I9RP82ZF,maybe,medium,Legal AI paper examining automation bias and automation complacency in AI-assisted decisions — these concepts transfer directly to code review oversight but the paper lacks a software engineering domain anchor.,keep,low,Automation bias and automation complacency are well-documented cognitive failure modes directly applicable to code review oversight; mechanisms transfer without domain re-derivation despite legal framing.,opus_low_confidence,maybe,Related to triage and oversight in legal area. ,Regenerating justice: ChatGPT and the legal minefield of generative AI,"Generative AI (GenAI) has taken the Internet by storm. / Even well-meaning individuals aiming to keep a “human-in-the-loop” of any automated decision can fall prey to this phenomenon. / ChatGPT, automation bias, automation complacency, generative AI, GenAI, law & technology, science & technology studies, large language models,",2024,Katie Szilagyi,journalArticle
4UQ2LF3J,maybe,medium,Proposes formal metrics for AI-mediated enterprise decisions and legal accountability — transferability to software engineering team accountability for AI-generated code is plausible but domain is legal/corporate rather than SE.,keep,low,'Operationalising' in title with 'formal metrics' for AI-mediated enterprise decision accountability suggests actionable framework structurally relevant to code review governance accountability.,opus_low_confidence,maybe,observability angle might be interesting,Operationalising extended cognition: formal metrics for corporate knowledge and legal accountability,Yet these assumptions are under challenge as generative AI increasingly mediates enterprise decision-making.,2025,Elija Perrier,journalArticle
EVZAIJTY,maybe,medium,"ML reliability evaluation methodology including memorization quantification for generative AI at scale is potentially operationalizable for software teams but abstract conflates technical evaluation with copyright legal analysis, leaving scope unclear.",discard,low,"Methods for evaluating generative AI including memorization quantification could inform code generation risk assessment, but abstract conflates technical evaluation with copyright legal scholarship leaving operational scope unclear.",opus_low_confidence,discard,AI Systems not vibe coding,Between randomness and arbitrariness: some lessons for reliable machine learning at scale,"Third, we provide methods for evaluating generative-AI systems, with specific focuses on quantifying memorization in language models and training / We provide an abridged discussion of landmark legal scholarship that details the complicated relationships between generative-AI supply chain and copyright",2024,A. Feder Cooper,journalArticle
MI86B4XX,maybe,medium,LLM-driven BDD artifact generation merged via human PR review with measured outcomes — has a human-in-the-loop review workflow for AI-generated software artifacts but the paper's focus is productivity efficiency rather than governance or risk.,discard,low,"LLM generates BDD artifacts merged via human PR review with measured efficiency gains — demonstrates working HITL for AI-generated software artifacts but contribution is productivity measurement, not governance framework or risk assessment.",opus_low_confidence,maybe,"About how to generate code that meets requirements, different than the oversight question",Reverse-engineering and automating BDD for modern software development with LLMs,"Behavior-Driven Development (BDD) frameworks like Cucumber and Behave align business requirements with executable tests but remain costly to author and maintain, especially for legacy or evolving systems [1], [2]. We present a novel LLM-driven approach, leveraging LLaMA to reverse-engineer requirements from schemas, API payloads, and partial tests to automatically generate Gherkin feature files with corresponding step definitions. Generated artifacts are drafted into automated pull requests and merged into the repositories via human review [3]. Our proposed method when tested across two enterprise systems, over six sprints, reduced authoring time by about 75%, expanded negative test coverage by 30%, and achieved cost savings ranging from 7,725 in conservative adoption to over 40,000 in high-volume adoption, maintaining infrastructure overhead costs below 3%. Beyond efficiency gains, the approach lowers barriers for teams new to BDD and demonstrates a practical, cost-effective path for industry adoption while opening avenues for research in adaptive prompting, coverage-aware generation, and retrieval-augmented workflows. [3]. © 2025 IEEE.",2025,Patel; Nigam; Mahale,conferencePaper
