item_key,decision,confidence,rationale,title,abstract,year,authors,item_type,human_decision
2I8BT6EZ,discard,high,"Addresses child labor in AI data labeling supply chains under international law — labor rights governance with no connection to code generation, software engineering, or code oversight.",The ignored AI factory: child trauma labor and the enforcement gap in international law,"Liability, Transnational Tort, Convention on the Rights of the Child (CRC), International Labour Organization (ILO), State Responsibility, AI Governance, Algorithmic / Accountability, Digital Labor, Vicarious Trauma, Convention Against Torture (CAT), Worst Forms of Child Labor, AI Supply Chains, Data Labeling, Content",2026,Brigette Supernova,journalArticle,discard
N4XRB32F,discard,high,Legal framework argument for replacing Section 230 to govern generative AI outputs focuses on platform liability with no code-specific dimension or SE governance mechanism.,From publisher to creator: why generative AI requires a new legal framework beyond section 230,"However, generative AI systems do not merely host or transmit user content-they actively produce original outputs. / This paper argues that Section 230 is fundamentally ill-suited to govern generative AI. / Section 230, Artificial Intelligence, Generative AI, Platform Liability, Internet Law, Technology Law, Administrative Law, Health Law, AI Regulation",2026,Suzanne Shah,journalArticle,discard
CNHFYJ53,discard,high,AI copyright legal history paper focused on doctrine adaptation from 1960s to present with no software engineering or code governance angle,The future was then: the recurrent history of AI authorship,registered in the 1960s to today's generative AI controversies. / the legal profession's conceptual failure to adapt copyright doctrine to technological reality.,2025,Zvi S. Rosen,journalArticle,discard
BP4QAI5B,discard,high,User sentiment analysis of ChatGPT reviews is descriptive with no governance or oversight mechanism.,Voices of the crowd: exploring user evaluations of ChatGPT using structural topic modeling.,,2026,Ding; Yang; Zhao; Sun; Wang,journalArticle,discard
2RRCAJKR,discard,medium,"Vibe coding paper focused on design homogenization and aesthetic diversity in web design rather than code quality, security, or organizational oversight of AI-generated code.",Interrogating design homogenization in web vibe coding,"Generative AI is known for its tendency to homogenize, often reproducing dominant style conventions found in training data. However, it remains unclear how these homogenizing effects extend to complex structural tasks like web design. As lay creators increasingly turn to LLMs to 'vibe-code' websites -- prompting for aesthetic and functional goals rather than writing code -- they may inadvertently narrow the diversity of their designs, and limit creative expression throughout the internet. In this paper, we interrogate the possibility of design homogenization in web vibe coding. We first characterize the vibe coding lifecycle, pinpointing stages where homogenization risks may arise. We then conduct a sociotechnical risk analysis unpacking the potential harms of web vibe coding and their interaction with design homogenization. We identify that the push for frictionless generation can exacerbate homogenization and its harms. Finally, we propose a mitigation framework centered on the idea of productive friction. Through case studies at the micro, meso, and macro levels, we show how centering productive friction can empower creators to challenge default outputs and preserve diverse expression in AI-mediated web design.",2026,Shin; Gao; Pang; Lee; Reinecke,preprint,discard
SBDG9GED,discard,high,AI adoption trust study in accounting uses UTAUT to model user acceptance rather than providing an operationalizable oversight mechanism for software engineering teams.,"A study on ethical implications, trust, and audit reliability in AI assisted accounting: an extended UTAUT perspective in emerging economies","This paper examines how ethical perception and trust shape the adoption and reliability of artificial intelligence systems in accounting and auditing, / Practical implications: For practitioners and audit firms, embedding ethical design principles, algorithmic transparency, and human oversight in AI systems / Artificial Intelligence in Accounting, Ethical Perception, Trust in AI, Audit Reliability, Technology Adoption (UTAUT Model)",2025,Vineeta Mishra,journalArticle,discard
F329YFS6,discard,high,Capability inflation framework for AI integration in education addresses human capital preservation — education domain with no software engineering connection.,Capability inflation in AI-integrated education: a framework for human capital preservation under accelerating automation,"While AI adoption promises efficiency and innovation, unstructured integration may generate a structural risk: potential divergence between observable / The objective is not to restrict technological adoption, but to ensure that AI integration strengthens independent cognition, preserves credential signalling / Capability Inflation, Artificial Intelligence in Education, Human Capital, Credential Signaling, Automation Economics, AI Governance, Graduate Employability",2026,Iftikhar Mahmud Abdul Majid,journalArticle,discard
IQCNSPY6,keep,high,"Directly operationalizable: proposes LLM-assisted STPA hazard analysis for ML-powered software products with human oversight at critical steps, reducing expert dependency and making proactive risk identification accessible to developers.",From hazard identification to controller design: proactive and LLM-supported safety engineering for ML-powered systems,"Machine learning (ML) components are increasingly integrated into software products, yet their complexity and inherent uncertainty often lead to unintended and hazardous consequences, both for individuals and society at large. Despite these risks, practitioners seldom adopt proactive approaches to anticipate and mitigate hazards before they occur. Traditional safety engineering approaches, such as Failure Mode and Effects Analysis (FMEA) and System Theoretic Process Analysis (STPA), offer systematic frameworks for early risk identification but are rarely adopted. This position paper advocates for integrating hazard analysis into the development of any ML-powered software product and calls for greater support to make this process accessible to developers. By using large language models (LLMs) to partially automate a modified STPA process with human oversight at critical steps, we expect to address two key challenges: the heavy dependency on highly experienced safety engineering experts, and the time-consuming, labor-intensive nature of traditional hazard analysis, which often impedes its integration into real-world development workflows. We illustrate our approach with a running example, demonstrating that many seemingly unanticipated issues can, in fact, be anticipated.",2025,Hong; Timperley; Kastner; IEEE COMPUTER SOC,conferencePaper,discard
NPW47DN2,keep,high,Enterprise multi-agent frontend code generation framework with explicit HITL governance points and empirical security and code-review quality benchmarks directly operationalizes AI code oversight at scale.,"Beyond prototyping: autonomous, enterprise-grade frontend development from pixel to production via a specialized multi-agent framework","We present AI4UI, a framework of autonomous front-end development agents purpose-built to meet the rigorous requirements of enterprise-grade application delivery. Unlike general-purpose code assistants designed for rapid prototyping, AI4UI focuses on production readiness delivering secure, scalable, compliant, and maintainable UI code integrated seamlessly into enterprise workflows. AI4UI operates with targeted human-in-the-loop involvement: at the design stage, developers embed a Gen-AI-friendly grammar into Figma prototypes to encode requirements for precise interpretation; and at the post processing stage, domain experts refine outputs for nuanced design adjustments, domain-specific optimizations, and compliance needs. Between these stages, AI4UI runs fully autonomously, converting designs into engineering-ready UI code. Technical contributions include a Figma grammar for autonomous interpretation, domain-aware knowledge graphs, a secure abstract/package code integration strategy, expertise driven architecture templates, and a change-oriented workflow coordinated by specialized agent roles. In large-scale benchmarks against industry baselines and leading competitor systems, AI4UI achieved 97.24% platform compatibility, 87.10% compilation success, 86.98% security compliance, 78.00% feature implementation success, 73.50% code-review quality, and 73.36% UI/UX consistency. In blind preference studies with 200 expert evaluators, AI4UI emerged as one of the leaders demonstrating strong competitive standing among leading solutions. Operating asynchronously, AI4UI generates thousands of validated UI screens in weeks rather than months, compressing delivery timeline",2025,Ganesaraja; N; AP; Rathinasamy; Amancharla,preprint,keep
9NNWHDGX,keep,high,"Structured co-development workspace with bounded AI contributions, full provenance tracking across a plan/design/monitor/review cycle directly operationalizes human oversight of AI-generated code.",BONSAI: a mixed-initiative workspace for human-AI Co-development of visual analytics applications,"Developing Visual Analytics (VA) applications requires integrating complex machine learning models with expressive interactive interfaces. Developers face a stark trade-off: building tightly-coupled monoliths plagued by fragile interdependencies, or relying on restrictive, simplistic frameworks. Meanwhile, unconstrained, single-shot AI code generation promises speed but yields unstructured, unauditable chaos. The core challenge is combining the control and expressiveness of custom development with the efficiency of AI generation under strict constraints. To address this, we introduce BONSAI, a mixed-initiative workspace for the multi-agent co-development of VA applications. BONSAI utilizes a modular four-layer architecture (hardware, services, orchestration, application) that allows human and AI developers to independently contribute reusable components. The workspace incorporates this architecture into a structured four-phase development process (plan, design, monitor, and review), ensuring distributed agency and full provenance, where all human and AI contributions are structurally bounded and tracked. We evaluate BONSAI through case studies demonstrating the efficient creation of novel tools and the rapid reconstruction of complex VA applications directly from research paper descriptions. Ultimately, this paper contributes a conceptual workflow, a scalable architecture, and an integrated system that successfully balances AI's generative speed with the structural rigor required for complex VA development.",2026,Spinner; Miller; Sperrle-Roth; El-Assady,preprint,keep
PSNKQLI7,keep,high,"Trains a semantic patch model on 28,000 real CVE patches to learn and apply automated repairs for memory bugs, crypto misuse, and authorization bypasses in LLM-generated code — directly operationalizable vulnerability repair mechanism.",Semantic patch learning for vulnerability repair in LLM-generated code authors,"Using 28,000 real vulnerability patches, the model learns transformations for memory bugs, crypto misuse, and authorization bypasses. / This work demonstrates that semantic patch abstraction is a powerful mechanism for improving LLM code security. / semantic patching, automated repair, CVE mining, vulnerability patterns, LLM code correction",2026,Elina Korhonen; Jukka Lehtola; Mikael Saarinen,journalArticle,keep
FXX4A9CW,keep,high,"Qualitative study with 22 BPM practitioners produces concrete governance recommendations for AI agent deployments including human-agent collaboration, fallback mechanisms, and performance metrics applicable to software engineering organizations.",Agentic business process management: practitioner perspectives on agent governance in business processes,"With the rise of generative AI, industry interest in software agents is growing. Given the stochastic nature of generative AI-based agents, their effective and safe deployment in organizations requires robust governance, which can be facilitated by agentic business process management. However, given the nascence of this new-generation agent notion, it is not clear what BPM practitioners consider to be an agent, and what benefits, risks and governance challenges they associate with agent deployments. To investigate how organizations can effectively govern AI agents, we conducted a qualitative study involving semi-structured interviews with 22 BPM practitioners from diverse industries. They anticipate that agents will enhance efficiency, improve data quality, ensure better compliance, and boost scalability through automation, while also cautioning against risks such as bias, over-reliance, cybersecurity threats, job displacement, and ambiguous decision-making. To address these challenges, the study presents six key recommendations for the responsible adoption of AI agents: define clear business goals, set legal and ethical guardrails, establish human-agent collaboration, customize agent behavior, manage risks, and ensure safe integration with fallback options. Additionally, the paper outlines actions to align traditional BPM with agentic AI, including balancing human and agent roles, redefining human involvement, adapting process structures, and introducing performance metrics. These insights provide a practical foundation for integrating AI agents into business processes while preserving oversight, flexibility, and trust.",2025,Vu; Klievtsova; Leopold; Rinderle-Ma; Kampik,preprint,keep
DJHG9BBS,keep,high,LLM-based code review agent trained on repositories and evaluated for defect detection effectiveness and developer sentiment — directly operationalizable Tier 1 contribution to AI-assisted code review at scale,AI-powered code review with LLMs: early results,"In this paper, we present a novel approach to improving software quality and efficiency through a Large Language Model (LLM)-based model designed to review code and identify potential issues. Our proposed LLM-based AI agent model is trained on large code repositories. This training includes code reviews, bug reports, and documentation of best practices. It aims to detect code smells, identify potential bugs, provide suggestions for improvement, and optimize the code. Unlike traditional static code analysis tools, our LLM-based AI agent has the ability to predict future potential risks in the code. This supports a dual goal of improving code quality and enhancing developer education by encouraging a deeper understanding of best practices and efficient coding techniques. Furthermore, we explore the model's effectiveness in suggesting improvements that significantly reduce post-release bugs and enhance code review processes, as evidenced by an analysis of developer sentiment toward LLM feedback. For future work, we aim to assess the accuracy and efficiency of LLM-generated documentation updates in comparison to manual methods. This will involve an empirical study focusing on manually conducted code reviews to identify code smells and bugs, alongside an evaluation of best practice documentation, augmented by insights from developer discussions and code reviews. Our goal is to not only refine the accuracy of our LLM-based tool but also to underscore its potential in streamlining the software development lifecycle through proactive code improvement and education.",2024,Rasheed; Sami; Waseem; Kemell; Wang,preprint,keep
32EX53DG,keep,high,Introduces a reproducible benchmark and few-shot methodology for systematically quantifying vulnerability classes in LLM-generated code — directly operationalizable for org-level AI code risk scoring,CodeLMSec benchmark: systematically evaluating and finding security vulnerabilities in black-box code language models,"Large language models (LLMs) for automatic code generation have recently achieved breakthroughs in several programming tasks. Their advances in competition-level programming problems have made them an essential pillar of AI-assisted pair programming, and tools such as GitHub Copilot have emerged as part of the daily programming workflow used by millions of developers. Training data for these models is usually collected from the Internet (e.g., from open-source repositories) and is likely to contain faults and security vulnerabilities. This unsanitized training data can cause the language models to learn these vulnerabilities and propagate them during the code generation procedure. While these models have been extensively evaluated for their ability to produce functionally correct programs, there remains a lack of comprehensive investigations and benchmarks addressing the security aspects of these models.In this work, we propose a method to systematically study the security issues of code language models to assess their susceptibility to generating vulnerable code. To this end, we introduce the first approach to automatically find generated code that contains vulnerabilities in black-box code generation models. This involves proposing a novel few-shot prompting approach. We evaluate the effectiveness of our approach by examining code language models in generating high-risk security weaknesses. Furthermore, we use our method to create a collection of diverse non-secure prompts for various vulnerability scenarios. This dataset serves as a benchmark to evaluate and compare the security weaknesses of code language models.",2024,H. Hajipour; K. Hassler; T. Holz; L. Schönherr; M. Fritz,conferencePaper,keep
GA6WDM8B,keep,high,"Empirical experiments demonstrate AI code generation requires substantial human validation and produces failing tests, directly operationalizable as evidence for mandatory code review policies",AI-assisted coding: experiments with GPT-4,"Artificial intelligence (AI) tools based on large language models have acheived human-level performance on some computer programming tasks. We report several experiments using GPT-4 to generate computer code. These experiments demonstrate that AI code generation using the current generation of tools, while powerful, requires substantial human validation to ensure accurate performance. We also demonstrate that GPT-4 refactoring of existing code can significantly improve that code along several established metrics for code quality, and we show that GPT-4 can generate tests with substantial coverage, but that many of the tests fail when applied to the associated code. These findings suggest that while AI coding tools are very powerful, they still require humans in the loop to ensure validity and accuracy of the results.",2023,Poldrack; Lu; Beguš,preprint,keep
8X5X263U,keep,high,"Identifies Shadow AI threat categories including unauthorized tools, model poisoning, and data leakage with organizational risk framing — directly operationalizable for software org policies governing unsanctioned AI coding tools","Shadow AI: cyber security implications, opportunities and challenges in the unseen frontier","The progression of artificial intelligence (AI) technologies has reached a level that greatly enhances the different organizational sectors by facilitating them with the means to advance and improve systems and processes. Shadow AI implies the usage of AI tools and systems by individuals within an entity, respectively, without permission thereby implying that these tools were not directly monitored or controlled by the centralized IT or security department. It also contributes to significant cyber risks such as data and security breaches, abuse of compliance, and, in general, an increased threat landscape. This paper highlights into the emerging global security trends and Shadow AI while also covering the unique positioning within the threat landscape concerning unauthorized computation of sensitive data, safety vulnerabilities of the unmonitored AI models, and model poisoning alongside data leakage-marked out. Moreover, this paper covers how Shadow AI distracts the attack landscape while increasing the level of security problem for the organization. Shadow AI, however, can be employed to increase the ability to respond to threats, locate irregularities, and increase the range of options available for cyber solutions even with all its risks. © The Author(s) 2025.",2025,Puthal; Mishra; Mohanty; Longo; Yeun,journalArticle,maybe
KWD6CKFR,keep,medium,"Proposes authorization-boundary governance architecture for agentic AI executing software infrastructure side effects (databases, transactions, infrastructure) — operationalizable structural framework for governing code agents beyond reactive monitoring.",From monitoring to authorization: the structural shift emerging in agentic AI governance,"systems transition from generating content to executing real-world side effects—writing to databases, initiating transactions, modifying infrastructure—the governance / It argues that traditional compliance mechanisms—deterrence, accountability, escalation, and documentation—are structurally mismatched to autonomous systems / Agentic AI, AI governance, authorization boundary, enforcement architecture, AI regulation, regulatory compliance, algorithmic accountability, AI risk / management, deterministic governance, evidence-grade governance, independent verification, policy-state binding",2026,Edward Meyman,journalArticle,keep
MHK56HCY,keep,medium,Proposes evidence-first design principles for continuous second-line assurance using agentic AI as oversight infrastructure; structural parallel to continuous governance of AI-generated code,Agentic AI as assurance infrastructure: design principles for a continuous second line,"The first paper in this series established that episodic gateway review is constitutively mismatched to the risk dynamics of complex adaptive / systems, and that continuous assurance represents structural reform of oversight practice rather than a marginal efficiency gain. / agentic AI, multi-agent systems, governance primitive, continuous assurance, second line of defence, evidence-first design, human accountability, responsible / AI, design principles, AI governance",2026,Roni van der Fehr,journalArticle,keep
TTEUEB9V,keep,high,NIST AI 600-1 is a foundational governance profile for generative AI directly applicable to software engineering organizations managing AI-generated code.,NIST AI 600-1: Generative Artificial Intelligence Profile,,2024,National Institute of Standards and Technology,report,keep
FYS3UNC6,keep,high,Deskilling mechanism where AI efficiency erodes experiential/contextual knowledge transfers directly to code review oversight risk; identifies how human review capability degrades as AI handles more reviews,The deskilling dilemma: tacit knowledge erosion in AI-augmented banking supervision,"The rapid integration of artificial intelligence and automation into banking supervision, risk management, and internal audit creates a fundamental epistemological / paradox: while AI systems enhance efficiency and analytical breadth, they simultaneously erode the tacit knowledgethe experiential, intuitive, and contextual / tacit knowledge, banking supervision, SupTech, deskilling, supervisory judgment, phronesis, artificial intelligence, SREP, human-in-the-loop",2026,Shahriyar Ahmadov,journalArticle,keep
732VDKJD,keep,high,"Defines vibe coding and identifies operationally relevant risks (black-box codebases, responsibility gaps, ecosystem bias) that directly inform what governance mechanisms must address in software organizations.","Vibe coding as a reconfiguration of intent mediation in software development: definition, implications, and research agenda","Software development is undergoing a fundamental transformation as vibe coding becomes widespread, with large portions of contemporary codebases now being generated by Artificial Intelligence (AI). The disconnect between rapid adoption and limited conceptual understanding highlights the need for an inquiry into this emerging paradigm. Drawing on an intent perspective and historical analysis, we define vibe coding as a software development paradigm where humans and Generative AI (GenAI) engage in collaborative flow to co-create software artifacts through natural language dialogue, shifting the mediation of developer intent from deterministic instruction to probabilistic inference. By intent mediation, we refer to the fundamental process through which developers translate their conceptual goals into representations that computational systems can execute. Our results show that vibe coding redistributes epistemic labor between humans and machines, shifting expertise from technical implementation toward collaborative orchestration. We identify key opportunities, including democratization, acceleration, and systemic leverage, alongside risks such as black-box codebases, responsibility gaps, and ecosystem bias. We conclude with a research agenda spanning human-, technology-, and organization-centered directions to guide future investigations of this paradigm.",2025,Meske; Hermanns; von der Weiden; Loser; Berger,journalArticle,keep
LGZXFLSJ,keep,high,"Empirical multi-case study producing a causal risk map for GenAI use in software organizations, directly operationalizable for risk identification and management",Causal mapping of the risks of using generative ai in software development,"This indicates that software organizations can never be certain whether AI-generated code is sufficiently validated. / Risk Management, Software Development, Generative AI, Causal Mapping, Multi-case Study",2025,David Kinnberg Hein; John Persson; Victor Vadmand Jensen; Anders Rysholt Bruun; Martin Gilje Jaatun,journalArticle,keep
S8GHSDJM,keep,high,"Directly proposes a formal verification side-car for vibe coding that autoformalizes specifications, validates against targets, and delivers actionable feedback — operationalizable mechanism addressing technical debt, security, and code churn in AI-generated code.",Position: vibe coding needs vibe reasoning: improving vibe coding with formal verification,"""Vibe coding"" - the practice of developing software through iteratively conversing with a large language model (LLM) has exploded in popularity within the last year. However, developers report key limitations including the accumulation of technical debt, security issues, and code churn to achieve satisfactory results. We argue that these pitfalls result from LLMs' inability to reconcile accumulating human-imposed constraints during vibe coding, with developers inadvertently failing to resolve contradictions because LLMs prioritize user commands over code consistency. Given LLMs' receptiveness to verification-based feedback, we argue that formal methods can mitigate these pitfalls, making vibe coding more reliable. However, we posit that integrating formal methods must transcend existing approaches that combine formal methods and LLMs. We advocate for a side-car system throughout the vibe coding process which: (1) Autoformalizes specifications (2) Validates against targets, (3) Delivers actionable feedback to the LLM, and (4) Allows intuitive developer influence on specifications.",2025,Mitchell; Shaaban; LeGoues; Mechtaev; Shi,conferencePaper,keep
2TTGSYDS,keep,high,"Establishes AI standards (human oversight, accuracy, robustness, cybersecurity) as legal duty-of-care benchmark against which developers and AI operators are judged; directly informs what SE teams must operationalize",Reasonable ai and other creatures. What role for ai standards in liability litigation?,"Standards play a vital role in supporting policies and legislation of the European Union. The regulation of artificial intelligence (AI) makes no exception as made clear by the AI Act proposal. Particularly, Articles 40 and 41 defer to harmonised standards and common specifications the concrete definition of safety and trustworthiness requirements, including risk management, data quality, transparency, human oversight, accuracy, robustness, and cybersecurity. Besides, other types of standards and professional norms are also relevant to the governance of AI. These include European non-harmonised standards, international and national standards, professional codes and guidelines, and uncodified best practices. This contribution casts light on the relationship between standards and private law in the context of liability litigation for damage caused by AI systems. Despite literature’s commitment to the issue of liability for AI, the role of standardisation in this regard has been largely overlooked hitherto. Furthermore, while much research has been undertaken on the regulation of AI, comparatively little has dealt with its standardisation. This paper aims to fill this gap. Building on previous scholarship, the contribution demonstrates that standards and professional norms are substantially normative in spite of their private and voluntary nature. In fact, they shape private relationships due to normative and economic reasons. Indeed, these private norms enter the courtrooms by explicit or implicit incorporation into contracts as well as by informing general clauses such as reasonableness and duty of care. Therefore, they represent the yardstick against which professionals’ performance and conduct are evaluated. Hence, a link between standards, safety, and liability can be established. Against this backdrop, the role of AI standards in private law is assessed. To set the scene, the article provides a bird’s-eye view of AI standardisation. The European AI standardisation initiative is analysed along with other institutional and non-institutional instruments. Finally, it is argued that AI standards contribute to defining the duty of care expected from developers and professional operators of AI systems. Hence, they might represent a valuable instrument for tackling the challenges posed by AI technology to extracontractual and contractual liability. © 2022, University of Torino. All rights reserved.",2022,Frattone,journalArticle,maybe
