seq,item_key,title,year,item_type,abstract,bin,centrality,reason_code,rationale
11,SI9LR7W3,"Why providing humans with interpretable algorithms may, counterintuitively, lead to lower decision-making performance",2022,journalArticle,"Interpretable AI, Artificial Intelligence, Machine Learning, Algorithm Aversion, AI Adoption, Firm Productivity, AI and Strategy, Human-in-the-loop Decision",,,,
12,58FAJ59D,The infrastructure gap: why platform security cannot protect against agentic attacks,2026,journalArticle,"The November 2025 disclosure by Anthropic of a state-sponsored cyber espionage campaign using Claude Code as an autonomous attack orchestrator has sparked / The incident highlights the accelerating need for interoperable identity and trust mechanisms aligned with emerging global governance frameworks under / AI Agent Security, Agent Identity, Trust Infrastructure, Autonomous Systems, Behavioural Monitoring, Blockchain Verification, AI Governance, Smart Policy",,,,
13,98A3UITB,Impact and implications of generative AI for enterprise architects in agile environments: a systematic literature review,2025,preprint,"Generative AI (GenAI) is reshaping enterprise architecture work in agile software organizations, yet evidence on its effects remains scattered. We report a systematic literature review (SLR), following established SLR protocols of Kitchenham and PRISMA, of 1,697 records, yielding 33 studies across enterprise, solution, domain, business, and IT architect roles. GenAI most consistently supports (i) design ideation and trade-off exploration; (ii) rapid creation and refinement of artifacts (e.g., code, models, documentation); and (iii) architectural decision support and knowledge retrieval. Reported risks include opacity and bias, contextually incorrect outputs leading to rework, privacy and compliance concerns, and social loafing. We also identify emerging skills and competencies, including prompt engineering, model evaluation, and professional oversight, and organizational enablers around readiness and adaptive governance. The review contributes with (1) a mapping of GenAI use cases and risks in agile architecting, (2) implications for capability building and governance, and (3) an initial research agenda on human-AI collaboration in architecture. Overall, the findings inform responsible adoption of GenAI that accelerates digital transformation while safeguarding architectural integrity.",,,,
14,PD297DUM,My code is less secure with gen AI: surveying developers' perceptions of the impact of code generation tools on security,2025,conferencePaper,"Background: Generative AI (GAI) tools like GitHub Copilot and ChatGPT are transforming software development by automating code generation and enhancing developers' productivity. However, since these tools are often trained on open-source repositories, they may inadvertently reproduce vulnerable code, raising concerns about the security of AI-generated outputs. Aims: In this paper, we aim to investigate how developers perceive code security when using GAI tools. Method: We conducted a survey with 105 software developers with diverse experience levels to gather their perceptions regarding the security of generated code and their suggestions for improving it. Results: While developers reported increased development speed when using GAI tools, many spend additional time on security reviews and documentation of the generated code, and they are worried about the overreliance on AI and vulnerabilities in the code. Only about a quarter of the developers expressed confidence in the code generated by AI, and, moreover, experienced developers perceive that their proficiency in secure coding decreases when using GAI tools. Our results provide organizations with a better understanding of the risks associated with GAI tools and help improve their software security programs. Copyright © 2025 held by the owner/author(s).",,,,
15,RLCF33SM,AI deployment authorisation: a global standard for machine-readable governance of high-risk artificial intelligence,2026,journalArticle,"legally and economically grounded dimensions: Risk, Alignment, Externality, Control, and Auditability, derived from safety engineering, alignment theory, algorithmic / accountability, and liability economics. / Artificial intelligence governance, algorithmic accountability, AI safety certification, deployment authorisation, insurance-based regulation, safety-critical",,,,
16,WEWQ9NTT,Verified adversarial reasoning intelligence (VARI): multi-agent adversarial verification for regulated AI decision-making,2026,journalArticle,"We previously demonstrated VARI as a reference architecture for EU AI Act Article 14 compliance in employment AI (Swidey, 2025). / The regulatory trajectory, including Article 14 of the EU AI Act, the Colorado AI Act (effective June 30, 2026), and the NAIC Model Bulletin, demands both / AI Governance, Adversarial Verification, Multi-Agent Systems, Legal AI, Insurance AI, Hallucination Detection, Algorithmic Discrimination, Per-Decision / Verification, EU AI Act Article 14",,,,
17,EB9PFYBS,From 'human control' in international law to 'human oversight' in the new EU act on artificial intelligence,2022,journalArticle,"autonomous systems and ""human oversight"" of artificial intelligence in the light of the international legal discussions and the EU’s recent proposal for an AI / It also identifies some weaknesses of the draft EU AI Act and proposes ways of improving it. / Autonomous systems, Autonomous weapons, CCW, Artificial Intelligence, Machine Learning, EU Commission, Meaningful Human Control, Human Oversight, International",,,,
18,PMSYQJQQ,"Towards just-In-time, inclusive clone refactoring",2025,conferencePaper,"Code clones are a well-known source of technical debt, often degrading software maintainability. Modern AI coding assistants can unintentionally introduce clones or even licenseincompatible code, posing maintenance and legal challenges. This research proposes a Large Language Model (LLM)-powered clone refactoring assistant that proactively detects duplicative code during development and suggests high-level refactorings. By bridging traditional clone detection with LLM-driven code generation or transformation, the approach aims to remove redundancies early while ensuring changes remain behavior preserving and legally compliant. The assistant will integrate into development workflows to prevent clone propagation, flag potential intellectual property risks, and incorporate developer feedback for explainable, trustworthy operation. We will evaluate its impact on code quality and developer productivity, and assess how AI enhancements influence long-term maintenance efforts.",,,,
19,GMU2V4QQ,An empirical analysis of ESLint information components and their interactions in LLM-based program repair,2025,conferencePaper,"Static analysis tools like ESLint are widely used for code quality assurance, yet optimizing their integration with LLM-based Automated Program Repair remains underexplored. While existing approaches typically use complete static analysis reports, the impact of individual information components and their interactions has received limited attention. This paper presents an empirical analysis of 12 ESLint information components’ impact on GPT-4 Turbo’s repair performance. Through experiments on the complete TFix test dataset (10,504 cases), we find: (1) Concise components (e.g., linter messages) show high performance per token, while verbose components show diminishing returns in combination. (2) Components exhibit interaction effects; some components with low individual performance show high importance in combinations. (3) Strategic component selection based on interaction analysis can achieve comparable performance to using all components while reducing token usage. Our findings suggest that prompt optimization for LLM-based APR can benefit from analyzing both individual component contributions and their interactions.",,,,
20,SMHWVB9J,"Designing human-automation redundancy: overreliance, automation shirking, and the operator’s dilemma",2025,journalArticle,"In some cases, these systems might encourage automation shirking, a form of overreliance in which operators deliberately reduce monitoring and checking / Across three studies (N = 970), Serial increased automation shirking and accident risk. / Automation bias, Human in the loop, Decisions from experience, Human computer interaction, Underweighting of rare events, Socio-technical systems, Behavioral",,,,
21,Y4TIF9KW,"Code prism: a multi-agent, multi-LLM, semantic indexing artifact for regulatory code audits — a design science research study",2025,conferencePaper,"Static code review remains essential for identifying vulnerabilities before deployment, yet existing tools frequently fall short of meeting regulatory requirements or producing auditor-ready evidence. This paper presents Code Prism, a design-science research artifact that combines multi-agent, multi-LLM orchestration with retrieval-augmented generation (RAG) and semantic indexing to deliver automated but auditable static code reviews. Developed and refined through iterative testing on a vulnerable open-source repository, the artifact was evaluated against established tools and reviewed by security auditors and UX specialists. The findings indicate that Code Prism can increase vulnerability coverage, shorten the preparation of standards-aligned reports, and provide configurable reporting flows that align with regulatory workflows. While the current evaluation is limited to a single repository and lacks benchmarking against high-end commercial suites, the results demonstrate the practical feasibility of applying agentic, multi-LLM approaches to audit-oriented static code review and point to avenues for broader validation and refinement.",,,,
22,VYRFCCU8,Large language models for vulnerability detection in static code analysis: a survey,2025,conferencePaper,"As software systems grow increasingly complex, security vulnerabilities pose escalating threats to digital infrastructure. This survey examines how Large Language Models (LLMs) enhance static vulnerability detection and systematically categorizes adaptation strategies into five approaches: Base Application, Static Analysis Augmentation, Knowledge Enhancement, Fine-tuning Based, and Hybrid Feature Fusion. Through standardized benchmark comparisons, we demonstrate these strategies' differential impact on detection performance and reveal complementary strengths between encoder-only and decoder-only architectures for varying security priorities. Despite advancements, challenges persist in model robustness, generalization, and adaptation to emerging vulnerabilities. Our comprehensive analysis establishes a foundation for future research while providing practical guidance for selecting and implementing LLM adaptation strategies in security-critical applications.",,,,
23,ML88MC4H,"A taxonomy of AI governance approaches: distinguishing visibility, alignment, and authorization",2026,journalArticle,"The term ""AI governance"" has become semantically overloaded. / The goal is to provide enterprise buyers, regulators, researchers, and auditors a shared vocabulary for evaluating AI governance claims against the requirements / AI governance, deterministic governance, proof-carrying decisions, regulatory compliance, enterprise AI, authorization layer, GRC, AI accountability, algorithmic",,,,
24,JVBZNVW8,AI for software engineering: from probable to provable,2025,preprint,"Vibe coding, the much-touted use of AI techniques for programming, faces two overwhelming obstacles: the difficulty of specifying goals (""prompt engineering"" is a form of requirements engineering, one of the toughest disciplines of software engineering); and the hallucination phenomenon. Programs are only useful if they are correct or very close to correct. The solution? Combine the creativity of artificial intelligence with the rigor of formal specification methods and the power of formal program verification, supported by modern proof tools.",,,,
25,LKCDAMLF,"Legal, policy, and compliance issues in using AI for security: using taiwan's cybersecurity management act and penetration testing as examples",2024,conferencePaper,"As artificial intelligence (AI) technology advances rapidly, integrating AI into cybersecurity practices poses new challenges for professionals. This paper focuses on the legal and policy implications of employing AI tools in penetration testing (PT). Key issues explored include liability in cases where AI tools cause damage and legal compliance challenges for organizations mandated to conduct PT. This paper argues that in the case of Taiwan, a comprehensive consideration of relevant laws, such as the Code of Civil Procedure, will be needed as AI products and tools become more widespread. The other issue concerns defining qualified PT, using Taiwan's Cybersecurity Management Act as an example. This paper concludes that, in addition to proper AI governance, governments should consider the legal frameworks necessary for the practical application of AI products or systems and develop appropriate AI safety testing methods to offer reference guidelines for public agencies to introduce risk-controllable AI tools, thus preparing for the transition into the AI era. © 2024 NATO CCDCOE.",,,,
